{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.2, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 5, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=5), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3915,  679,  514,  362,  268,  263,  241,  181,  181,  188,  158,
        138,  120,  154,  184,  194,  333])}
      train: epoch 0 loss 0.115242  auc  0.0000 MAE  0.1770 rmse  0.2419  df(ActivateDay.Avg) 0.0199
               valid loss 0.548028  auc  0.0000 MAE  0.1636 rmse  0.2242  df(ActivateDay.Avg) 0.0192
                test loss 0.555918  auc  0.0000 MAE  0.1640 rmse  0.2280  df(ActivateDay.Avg) 0.0305
      train: epoch 1 loss 0.100794  auc  0.0000 MAE  0.1630 rmse  0.2263  df(ActivateDay.Avg) 0.0015
               valid loss 0.620025  auc  0.0000 MAE  0.1511 rmse  0.2244  df(ActivateDay.Avg) 0.1363
      train: epoch 2 loss 0.096622  auc  0.0000 MAE  0.1588 rmse  0.2215  df(ActivateDay.Avg) 0.0012
               valid loss 0.506563  auc  0.0000 MAE  0.1700 rmse  0.2237  df(ActivateDay.Avg) 0.0988
                test loss 0.513597  auc  0.0000 MAE  0.1709 rmse  0.2265  df(ActivateDay.Avg) 0.0845
      train: epoch 3 loss 0.097520  auc  0.0000 MAE  0.1599 rmse  0.2226  df(ActivateDay.Avg) 0.0075
               valid loss 0.623267  auc  0.0000 MAE  0.1498 rmse  0.2231  df(ActivateDay.Avg) 0.1302
                test loss 0.634359  auc  0.0000 MAE  0.1520 rmse  0.2290  df(ActivateDay.Avg) 0.1432
      train: epoch 4 loss 0.096693  auc  0.0000 MAE  0.1585 rmse  0.2216  df(ActivateDay.Avg) 0.0028
               valid loss 0.482766  auc  0.0000 MAE  0.1744 rmse  0.2245  df(ActivateDay.Avg) 0.1750
      train: epoch 5 loss 0.095759  auc  0.0000 MAE  0.1583 rmse  0.2205  df(ActivateDay.Avg) 0.0024
               valid loss 0.553457  auc  0.0000 MAE  0.1557 rmse  0.2200  df(ActivateDay.Avg) 0.0181
                test loss 0.562498  auc  0.0000 MAE  0.1571 rmse  0.2252  df(ActivateDay.Avg) 0.0282
      train: epoch 6 loss 0.095469  auc  0.0000 MAE  0.1575 rmse  0.2202  df(ActivateDay.Avg) 0.0057
               valid loss 0.546604  auc  0.0000 MAE  0.1590 rmse  0.2190  df(ActivateDay.Avg) 0.0323
                test loss 0.554009  auc  0.0000 MAE  0.1605 rmse  0.2242  df(ActivateDay.Avg) 0.0400
      train: epoch 7 loss 0.093788  auc  0.0000 MAE  0.1562 rmse  0.2183  df(ActivateDay.Avg) 0.0043
