{'model_name': 'RNN', 'input_size': 6, 'hidden_size': 64, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=0), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'day_numpy_train': array([3915,  679,  514,  362,  268,  263,  241,  181,  181,  188,  158,
        138,  120,  154,  184,  194,  333])}
      train: epoch 0 loss 0.139835  auc  0.0000 MAE  0.2099 rmse  0.2665  df(ActivateDay.Avg) 0.1835
               valid loss 0.520781  auc  0.0000 MAE  0.1772 rmse  0.2452  df(ActivateDay.Avg) 0.1635
                test loss 0.524944  auc  0.0000 MAE  0.1787 rmse  0.2477  df(ActivateDay.Avg) 0.1593
      train: epoch 1 loss 0.112974  auc  0.0000 MAE  0.1796 rmse  0.2395  df(ActivateDay.Avg) 0.0686
               valid loss 0.512507  auc  0.0000 MAE  0.1789 rmse  0.2330  df(ActivateDay.Avg) 0.1077
                test loss 0.519065  auc  0.0000 MAE  0.1796 rmse  0.2352  df(ActivateDay.Avg) 0.0986
      train: epoch 2 loss 0.109950  auc  0.0000 MAE  0.1745 rmse  0.2363  df(ActivateDay.Avg) 0.0373
               valid loss 0.549038  auc  0.0000 MAE  0.1685 rmse  0.2312  df(ActivateDay.Avg) 0.0105
                test loss 0.554661  auc  0.0000 MAE  0.1690 rmse  0.2334  df(ActivateDay.Avg) 0.0066
      train: epoch 3 loss 0.109894  auc  0.0000 MAE  0.1731 rmse  0.2363  df(ActivateDay.Avg) 0.0232
               valid loss 0.539217  auc  0.0000 MAE  0.1747 rmse  0.2318  df(ActivateDay.Avg) 0.0110
      train: epoch 4 loss 0.106775  auc  0.0000 MAE  0.1705 rmse  0.2329  df(ActivateDay.Avg) 0.0278
               valid loss 0.534170  auc  0.0000 MAE  0.1736 rmse  0.2297  df(ActivateDay.Avg) 0.0181
                test loss 0.540251  auc  0.0000 MAE  0.1737 rmse  0.2315  df(ActivateDay.Avg) 0.0133
      train: epoch 5 loss 0.107160  auc  0.0000 MAE  0.1699 rmse  0.2333  df(ActivateDay.Avg) 0.0145
               valid loss 0.505775  auc  0.0000 MAE  0.1756 rmse  0.2284  df(ActivateDay.Avg) 0.1253
                test loss 0.512122  auc  0.0000 MAE  0.1770 rmse  0.2313  df(ActivateDay.Avg) 0.1175
      train: epoch 6 loss 0.103449  auc  0.0000 MAE  0.1667 rmse  0.2292  df(ActivateDay.Avg) 0.0249
               valid loss 0.522926  auc  0.0000 MAE  0.1722 rmse  0.2279  df(ActivateDay.Avg) 0.0708
                test loss 0.526788  auc  0.0000 MAE  0.1727 rmse  0.2297  df(ActivateDay.Avg) 0.0682
      train: epoch 7 loss 0.103450  auc  0.0000 MAE  0.1657 rmse  0.2292  df(ActivateDay.Avg) 0.0121
               valid loss 0.501308  auc  0.0000 MAE  0.1835 rmse  0.2306  df(ActivateDay.Avg) 0.1220
      train: epoch 8 loss 0.102710  auc  0.0000 MAE  0.1664 rmse  0.2284  df(ActivateDay.Avg) 0.0152
               valid loss 0.597042  auc  0.0000 MAE  0.1558 rmse  0.2287  df(ActivateDay.Avg) 0.0805
      train: epoch 9 loss 0.102261  auc  0.0000 MAE  0.1647 rmse  0.2279  df(ActivateDay.Avg) 0.0126
               valid loss 0.552719  auc  0.0000 MAE  0.1633 rmse  0.2242  df(ActivateDay.Avg) 0.0234
                test loss 0.560543  auc  0.0000 MAE  0.1648 rmse  0.2277  df(ActivateDay.Avg) 0.0292
     train: epoch 10 loss 0.102225  auc  0.0000 MAE  0.1657 rmse  0.2279  df(ActivateDay.Avg) 0.0193
               valid loss 0.520731  auc  0.0000 MAE  0.1668 rmse  0.2248  df(ActivateDay.Avg) 0.0891
     train: epoch 11 loss 0.101487  auc  0.0000 MAE  0.1646 rmse  0.2270  df(ActivateDay.Avg) 0.0192
               valid loss 0.529416  auc  0.0000 MAE  0.1632 rmse  0.2239  df(ActivateDay.Avg) 0.0716
                test loss 0.537551  auc  0.0000 MAE  0.1653 rmse  0.2279  df(ActivateDay.Avg) 0.0634
     train: epoch 12 loss 0.100510  auc  0.0000 MAE  0.1635 rmse  0.2259  df(ActivateDay.Avg) 0.0082
               valid loss 0.499548  auc  0.0000 MAE  0.1715 rmse  0.2256  df(ActivateDay.Avg) 0.1551
     train: epoch 13 loss 0.101352  auc  0.0000 MAE  0.1654 rmse  0.2269  df(ActivateDay.Avg) 0.0301
               valid loss 0.523822  auc  0.0000 MAE  0.1659 rmse  0.2230  df(ActivateDay.Avg) 0.0668
                test loss 0.532583  auc  0.0000 MAE  0.1679 rmse  0.2269  df(ActivateDay.Avg) 0.0575
     train: epoch 14 loss 0.101607  auc  0.0000 MAE  0.1650 rmse  0.2272  df(ActivateDay.Avg) 0.0262
               valid loss 0.543340  auc  0.0000 MAE  0.1665 rmse  0.2247  df(ActivateDay.Avg) 0.0046
     train: epoch 15 loss 0.100432  auc  0.0000 MAE  0.1641 rmse  0.2259  df(ActivateDay.Avg) 0.0156
               valid loss 0.551666  auc  0.0000 MAE  0.1592 rmse  0.2229  df(ActivateDay.Avg) 0.0054
                test loss 0.560642  auc  0.0000 MAE  0.1616 rmse  0.2274  df(ActivateDay.Avg) 0.0002
     train: epoch 16 loss 0.101357  auc  0.0000 MAE  0.1646 rmse  0.2269  df(ActivateDay.Avg) 0.0231
               valid loss 0.517910  auc  0.0000 MAE  0.1715 rmse  0.2251  df(ActivateDay.Avg) 0.0749
     train: epoch 17 loss 0.100686  auc  0.0000 MAE  0.1647 rmse  0.2261  df(ActivateDay.Avg) 0.0213
               valid loss 0.576338  auc  0.0000 MAE  0.1555 rmse  0.2236  df(ActivateDay.Avg) 0.0501
     train: epoch 18 loss 0.100102  auc  0.0000 MAE  0.1630 rmse  0.2255  df(ActivateDay.Avg) 0.0117
               valid loss 0.542424  auc  0.0000 MAE  0.1612 rmse  0.2231  df(ActivateDay.Avg) 0.0248
     train: epoch 19 loss 0.100461  auc  0.0000 MAE  0.1644 rmse  0.2259  df(ActivateDay.Avg) 0.0203
               valid loss 0.559756  auc  0.0000 MAE  0.1563 rmse  0.2244  df(ActivateDay.Avg) 0.0124
     train: epoch 20 loss 0.100493  auc  0.0000 MAE  0.1637 rmse  0.2259  df(ActivateDay.Avg) 0.0162
               valid loss 0.514126  auc  0.0000 MAE  0.1684 rmse  0.2228  df(ActivateDay.Avg) 0.0949
                test loss 0.521725  auc  0.0000 MAE  0.1707 rmse  0.2269  df(ActivateDay.Avg) 0.0872
     train: epoch 21 loss 0.099844  auc  0.0000 MAE  0.1635 rmse  0.2252  df(ActivateDay.Avg) 0.0227
               valid loss 0.550336  auc  0.0000 MAE  0.1618 rmse  0.2222  df(ActivateDay.Avg) 0.0161
                test loss 0.559623  auc  0.0000 MAE  0.1642 rmse  0.2268  df(ActivateDay.Avg) 0.0227
     train: epoch 22 loss 0.099770  auc  0.0000 MAE  0.1636 rmse  0.2251  df(ActivateDay.Avg) 0.0241
               valid loss 0.556183  auc  0.0000 MAE  0.1609 rmse  0.2228  df(ActivateDay.Avg) 0.0273
     train: epoch 23 loss 0.099948  auc  0.0000 MAE  0.1636 rmse  0.2253  df(ActivateDay.Avg) 0.0236
               valid loss 0.574004  auc  0.0000 MAE  0.1565 rmse  0.2236  df(ActivateDay.Avg) 0.0500
     train: epoch 24 loss 0.099796  auc  0.0000 MAE  0.1635 rmse  0.2251  df(ActivateDay.Avg) 0.0211
               valid loss 0.546722  auc  0.0000 MAE  0.1629 rmse  0.2228  df(ActivateDay.Avg) 0.0084
     train: epoch 25 loss 0.099535  auc  0.0000 MAE  0.1630 rmse  0.2249  df(ActivateDay.Avg) 0.0126
               valid loss 0.516132  auc  0.0000 MAE  0.1642 rmse  0.2236  df(ActivateDay.Avg) 0.1164
     train: epoch 26 loss 0.100961  auc  0.0000 MAE  0.1643 rmse  0.2265  df(ActivateDay.Avg) 0.0263
               valid loss 0.516577  auc  0.0000 MAE  0.1672 rmse  0.2223  df(ActivateDay.Avg) 0.0870
     train: epoch 27 loss 0.099735  auc  0.0000 MAE  0.1638 rmse  0.2251  df(ActivateDay.Avg) 0.0187
               valid loss 0.542269  auc  0.0000 MAE  0.1605 rmse  0.2216  df(ActivateDay.Avg) 0.0206
                test loss 0.552155  auc  0.0000 MAE  0.1632 rmse  0.2263  df(ActivateDay.Avg) 0.0132
     train: epoch 28 loss 0.098976  auc  0.0000 MAE  0.1622 rmse  0.2242  df(ActivateDay.Avg) 0.0153
               valid loss 0.542277  auc  0.0000 MAE  0.1592 rmse  0.2227  df(ActivateDay.Avg) 0.0393
     train: epoch 29 loss 0.099844  auc  0.0000 MAE  0.1636 rmse  0.2252  df(ActivateDay.Avg) 0.0178
               valid loss 0.495253  auc  0.0000 MAE  0.1717 rmse  0.2245  df(ActivateDay.Avg) 0.1632
     train: epoch 30 loss 0.099128  auc  0.0000 MAE  0.1628 rmse  0.2244  df(ActivateDay.Avg) 0.0231
               valid loss 0.565327  auc  0.0000 MAE  0.1606 rmse  0.2236  df(ActivateDay.Avg) 0.0556
     train: epoch 31 loss 0.100092  auc  0.0000 MAE  0.1639 rmse  0.2255  df(ActivateDay.Avg) 0.0158
               valid loss 0.527572  auc  0.0000 MAE  0.1623 rmse  0.2228  df(ActivateDay.Avg) 0.0761
     train: epoch 32 loss 0.100357  auc  0.0000 MAE  0.1641 rmse  0.2258  df(ActivateDay.Avg) 0.0240
               valid loss 0.545053  auc  0.0000 MAE  0.1612 rmse  0.2224  df(ActivateDay.Avg) 0.0107
     train: epoch 33 loss 0.099827  auc  0.0000 MAE  0.1640 rmse  0.2252  df(ActivateDay.Avg) 0.0268
               valid loss 0.595603  auc  0.0000 MAE  0.1560 rmse  0.2252  df(ActivateDay.Avg) 0.1148
     train: epoch 34 loss 0.099558  auc  0.0000 MAE  0.1627 rmse  0.2249  df(ActivateDay.Avg) 0.0105
               valid loss 0.572950  auc  0.0000 MAE  0.1566 rmse  0.2234  df(ActivateDay.Avg) 0.0514
     train: epoch 35 loss 0.099388  auc  0.0000 MAE  0.1633 rmse  0.2247  df(ActivateDay.Avg) 0.0230
               valid loss 0.587773  auc  0.0000 MAE  0.1553 rmse  0.2254  df(ActivateDay.Avg) 0.0755
     train: epoch 36 loss 0.099423  auc  0.0000 MAE  0.1635 rmse  0.2247  df(ActivateDay.Avg) 0.0193
               valid loss 0.555022  auc  0.0000 MAE  0.1588 rmse  0.2223  df(ActivateDay.Avg) 0.0093
     train: epoch 37 loss 0.099840  auc  0.0000 MAE  0.1635 rmse  0.2252  df(ActivateDay.Avg) 0.0234
               valid loss 0.534979  auc  0.0000 MAE  0.1637 rmse  0.2233  df(ActivateDay.Avg) 0.0391
     train: epoch 38 loss 0.099150  auc  0.0000 MAE  0.1624 rmse  0.2244  df(ActivateDay.Avg) 0.0174
               valid loss 0.539607  auc  0.0000 MAE  0.1600 rmse  0.2227  df(ActivateDay.Avg) 0.0455
     train: epoch 39 loss 0.099672  auc  0.0000 MAE  0.1637 rmse  0.2250  df(ActivateDay.Avg) 0.0187
               valid loss 0.565052  auc  0.0000 MAE  0.1554 rmse  0.2294  df(ActivateDay.Avg) 0.0452
     train: epoch 40 loss 0.099307  auc  0.0000 MAE  0.1628 rmse  0.2246  df(ActivateDay.Avg) 0.0216
               valid loss 0.563876  auc  0.0000 MAE  0.1562 rmse  0.2231  df(ActivateDay.Avg) 0.0109
     train: epoch 41 loss 0.099101  auc  0.0000 MAE  0.1626 rmse  0.2244  df(ActivateDay.Avg) 0.0178
               valid loss 0.505899  auc  0.0000 MAE  0.1668 rmse  0.2249  df(ActivateDay.Avg) 0.1514
     train: epoch 42 loss 0.098501  auc  0.0000 MAE  0.1618 rmse  0.2237  df(ActivateDay.Avg) 0.0150
               valid loss 0.541664  auc  0.0000 MAE  0.1615 rmse  0.2228  df(ActivateDay.Avg) 0.0252
     train: epoch 43 loss 0.099783  auc  0.0000 MAE  0.1637 rmse  0.2251  df(ActivateDay.Avg) 0.0256
               valid loss 0.555348  auc  0.0000 MAE  0.1586 rmse  0.2221  df(ActivateDay.Avg) 0.0104
     train: epoch 44 loss 0.099465  auc  0.0000 MAE  0.1632 rmse  0.2248  df(ActivateDay.Avg) 0.0122
               valid loss 0.546963  auc  0.0000 MAE  0.1576 rmse  0.2235  df(ActivateDay.Avg) 0.0387
     train: epoch 45 loss 0.100462  auc  0.0000 MAE  0.1646 rmse  0.2259  df(ActivateDay.Avg) 0.0272
               valid loss 0.520508  auc  0.0000 MAE  0.1643 rmse  0.2222  df(ActivateDay.Avg) 0.0883
