{'model_name': 'CLSA', 'clas_conv2_kernel': 3, 'clsa_conv2_output_size': 7, 'clas_pool_kernel': 2, 'lstm_input_size': 100, 'hidden_size': 14, 'attention_input_size': 28, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 2, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=2), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3894,  692,  517,  377,  289,  240,  229,  189,  189,  176,  165,
        127,  117,  155,  173,  193,  351])}
      train: epoch 0 loss 0.152308  auc  0.0000 MAE  0.2147 rmse  0.2781  df(ActivateDay.Avg) 0.1156
               valid loss 0.564711  auc  0.0000 MAE  0.1714 rmse  0.2389  df(ActivateDay.Avg) 0.0400
                test loss 0.537697  auc  0.0000 MAE  0.1732 rmse  0.2421  df(ActivateDay.Avg) 0.0101
      train: epoch 1 loss 0.106010  auc  0.0000 MAE  0.1676 rmse  0.2320  df(ActivateDay.Avg) 0.0013
               valid loss 0.552625  auc  0.0000 MAE  0.1667 rmse  0.2313  df(ActivateDay.Avg) 0.0286
                test loss 0.526507  auc  0.0000 MAE  0.1674 rmse  0.2345  df(ActivateDay.Avg) 0.0007
      train: epoch 2 loss 0.098676  auc  0.0000 MAE  0.1588 rmse  0.2239  df(ActivateDay.Avg) 0.0003
               valid loss 0.552269  auc  0.0000 MAE  0.1594 rmse  0.2260  df(ActivateDay.Avg) 0.0436
                test loss 0.527545  auc  0.0000 MAE  0.1609 rmse  0.2288  df(ActivateDay.Avg) 0.0113
      train: epoch 3 loss 0.096010  auc  0.0000 MAE  0.1550 rmse  0.2208  df(ActivateDay.Avg) 0.0157
               valid loss 0.518878  auc  0.0000 MAE  0.1616 rmse  0.2237  df(ActivateDay.Avg) 0.0476
                test loss 0.496392  auc  0.0000 MAE  0.1644 rmse  0.2285  df(ActivateDay.Avg) 0.0785
      train: epoch 4 loss 0.092286  auc  0.0000 MAE  0.1537 rmse  0.2165  df(ActivateDay.Avg) 0.0015
               valid loss 0.539645  auc  0.0000 MAE  0.1553 rmse  0.2247  df(ActivateDay.Avg) 0.0206
      train: epoch 5 loss 0.087860  auc  0.0000 MAE  0.1481 rmse  0.2113  df(ActivateDay.Avg) 0.0046
               valid loss 0.542764  auc  0.0000 MAE  0.1518 rmse  0.2248  df(ActivateDay.Avg) 0.0306
      train: epoch 6 loss 0.087374  auc  0.0000 MAE  0.1478 rmse  0.2107  df(ActivateDay.Avg) 0.0034
               valid loss 0.564845  auc  0.0000 MAE  0.1500 rmse  0.2242  df(ActivateDay.Avg) 0.0308
      train: epoch 7 loss 0.085009  auc  0.0000 MAE  0.1452 rmse  0.2078  df(ActivateDay.Avg) 0.0037
               valid loss 0.600013  auc  0.0000 MAE  0.1480 rmse  0.2251  df(ActivateDay.Avg) 0.1167
      train: epoch 8 loss 0.083251  auc  0.0000 MAE  0.1434 rmse  0.2056  df(ActivateDay.Avg) 0.0009
               valid loss 0.550265  auc  0.0000 MAE  0.1538 rmse  0.2235  df(ActivateDay.Avg) 0.0340
                test loss 0.524961  auc  0.0000 MAE  0.1567 rmse  0.2275  df(ActivateDay.Avg) 0.0025
      train: epoch 9 loss 0.081222  auc  0.0000 MAE  0.1415 rmse  0.2031  df(ActivateDay.Avg) 0.0006
               valid loss 0.610565  auc  0.0000 MAE  0.1500 rmse  0.2289  df(ActivateDay.Avg) 0.1632
