{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.2, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 6, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=6), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3894,  692,  517,  377,  289,  240,  229,  189,  189,  176,  165,
        127,  117,  155,  173,  193,  351])}
      train: epoch 0 loss 0.121379  auc  0.0000 MAE  0.1819 rmse  0.2483  df(ActivateDay.Avg) 0.0219
               valid loss 0.563854  auc  0.0000 MAE  0.1611 rmse  0.2264  df(ActivateDay.Avg) 0.0390
                test loss 0.542940  auc  0.0000 MAE  0.1644 rmse  0.2311  df(ActivateDay.Avg) 0.0234
      train: epoch 1 loss 0.101633  auc  0.0000 MAE  0.1648 rmse  0.2272  df(ActivateDay.Avg) 0.0027
               valid loss 0.639807  auc  0.0000 MAE  0.1510 rmse  0.2279  df(ActivateDay.Avg) 0.1741
      train: epoch 2 loss 0.099056  auc  0.0000 MAE  0.1618 rmse  0.2243  df(ActivateDay.Avg) 0.0003
               valid loss 0.537548  auc  0.0000 MAE  0.1609 rmse  0.2198  df(ActivateDay.Avg) 0.0035
                test loss 0.518702  auc  0.0000 MAE  0.1670 rmse  0.2284  df(ActivateDay.Avg) 0.0232
      train: epoch 3 loss 0.097423  auc  0.0000 MAE  0.1601 rmse  0.2225  df(ActivateDay.Avg) 0.0018
               valid loss 0.527436  auc  0.0000 MAE  0.1592 rmse  0.2177  df(ActivateDay.Avg) 0.0462
                test loss 0.506157  auc  0.0000 MAE  0.1655 rmse  0.2264  df(ActivateDay.Avg) 0.0725
      train: epoch 4 loss 0.097095  auc  0.0000 MAE  0.1603 rmse  0.2221  df(ActivateDay.Avg) 0.0063
               valid loss 0.571453  auc  0.0000 MAE  0.1557 rmse  0.2192  df(ActivateDay.Avg) 0.0777
      train: epoch 5 loss 0.096676  auc  0.0000 MAE  0.1597 rmse  0.2216  df(ActivateDay.Avg) 0.0045
               valid loss 0.533056  auc  0.0000 MAE  0.1565 rmse  0.2169  df(ActivateDay.Avg) 0.0336
                test loss 0.511812  auc  0.0000 MAE  0.1620 rmse  0.2244  df(ActivateDay.Avg) 0.0597
      train: epoch 6 loss 0.096473  auc  0.0000 MAE  0.1595 rmse  0.2214  df(ActivateDay.Avg) 0.0054
               valid loss 0.565729  auc  0.0000 MAE  0.1520 rmse  0.2169  df(ActivateDay.Avg) 0.0478
      train: epoch 7 loss 0.095330  auc  0.0000 MAE  0.1580 rmse  0.2200  df(ActivateDay.Avg) 0.0083
               valid loss 0.576709  auc  0.0000 MAE  0.1554 rmse  0.2196  df(ActivateDay.Avg) 0.1029
      train: epoch 8 loss 0.095563  auc  0.0000 MAE  0.1585 rmse  0.2203  df(ActivateDay.Avg) 0.0044
               valid loss 0.611614  auc  0.0000 MAE  0.1496 rmse  0.2201  df(ActivateDay.Avg) 0.1620
      train: epoch 9 loss 0.094982  auc  0.0000 MAE  0.1587 rmse  0.2196  df(ActivateDay.Avg) 0.0088
               valid loss 0.583189  auc  0.0000 MAE  0.1482 rmse  0.2159  df(ActivateDay.Avg) 0.0794
                test loss 0.557982  auc  0.0000 MAE  0.1540 rmse  0.2250  df(ActivateDay.Avg) 0.0510
     train: epoch 10 loss 0.095572  auc  0.0000 MAE  0.1584 rmse  0.2203  df(ActivateDay.Avg) 0.0039
               valid loss 0.504987  auc  0.0000 MAE  0.1623 rmse  0.2169  df(ActivateDay.Avg) 0.0996
     train: epoch 11 loss 0.093955  auc  0.0000 MAE  0.1570 rmse  0.2185  df(ActivateDay.Avg) 0.0101
               valid loss 0.573252  auc  0.0000 MAE  0.1494 rmse  0.2160  df(ActivateDay.Avg) 0.0736
     train: epoch 12 loss 0.094374  auc  0.0000 MAE  0.1578 rmse  0.2189  df(ActivateDay.Avg) 0.0070
               valid loss 0.620234  auc  0.0000 MAE  0.1465 rmse  0.2182  df(ActivateDay.Avg) 0.1584
     train: epoch 13 loss 0.094741  auc  0.0000 MAE  0.1576 rmse  0.2194  df(ActivateDay.Avg) 0.0047
               valid loss 0.565222  auc  0.0000 MAE  0.1506 rmse  0.2151  df(ActivateDay.Avg) 0.0535
                test loss 0.544034  auc  0.0000 MAE  0.1563 rmse  0.2242  df(ActivateDay.Avg) 0.0316
     train: epoch 14 loss 0.094901  auc  0.0000 MAE  0.1570 rmse  0.2196  df(ActivateDay.Avg) 0.0067
               valid loss 0.513403  auc  0.0000 MAE  0.1609 rmse  0.2151  df(ActivateDay.Avg) 0.0643
                test loss 0.495286  auc  0.0000 MAE  0.1675 rmse  0.2244  df(ActivateDay.Avg) 0.0871
     train: epoch 15 loss 0.093509  auc  0.0000 MAE  0.1568 rmse  0.2179  df(ActivateDay.Avg) 0.0132
               valid loss 0.579722  auc  0.0000 MAE  0.1517 rmse  0.2171  df(ActivateDay.Avg) 0.1069
     train: epoch 16 loss 0.094251  auc  0.0000 MAE  0.1572 rmse  0.2188  df(ActivateDay.Avg) 0.0050
               valid loss 0.604014  auc  0.0000 MAE  0.1484 rmse  0.2186  df(ActivateDay.Avg) 0.1455
     train: epoch 17 loss 0.094188  auc  0.0000 MAE  0.1571 rmse  0.2187  df(ActivateDay.Avg) 0.0041
               valid loss 0.555981  auc  0.0000 MAE  0.1551 rmse  0.2168  df(ActivateDay.Avg) 0.0347
     train: epoch 18 loss 0.093103  auc  0.0000 MAE  0.1563 rmse  0.2175  df(ActivateDay.Avg) 0.0118
               valid loss 0.570907  auc  0.0000 MAE  0.1520 rmse  0.2161  df(ActivateDay.Avg) 0.0912
     train: epoch 19 loss 0.092835  auc  0.0000 MAE  0.1560 rmse  0.2172  df(ActivateDay.Avg) 0.0074
               valid loss 0.485687  auc  0.0000 MAE  0.1596 rmse  0.2174  df(ActivateDay.Avg) 0.1743
     train: epoch 20 loss 0.092964  auc  0.0000 MAE  0.1562 rmse  0.2173  df(ActivateDay.Avg) 0.0069
               valid loss 0.523105  auc  0.0000 MAE  0.1531 rmse  0.2150  df(ActivateDay.Avg) 0.0667
                test loss 0.503290  auc  0.0000 MAE  0.1599 rmse  0.2247  df(ActivateDay.Avg) 0.0905
     train: epoch 21 loss 0.092597  auc  0.0000 MAE  0.1559 rmse  0.2169  df(ActivateDay.Avg) 0.0114
               valid loss 0.576795  auc  0.0000 MAE  0.1469 rmse  0.2149  df(ActivateDay.Avg) 0.0638
                test loss 0.554252  auc  0.0000 MAE  0.1534 rmse  0.2248  df(ActivateDay.Avg) 0.0382
     train: epoch 22 loss 0.093081  auc  0.0000 MAE  0.1566 rmse  0.2174  df(ActivateDay.Avg) 0.0143
               valid loss 0.563365  auc  0.0000 MAE  0.1501 rmse  0.2144  df(ActivateDay.Avg) 0.0621
                test loss 0.542480  auc  0.0000 MAE  0.1560 rmse  0.2235  df(ActivateDay.Avg) 0.0402
     train: epoch 23 loss 0.092666  auc  0.0000 MAE  0.1556 rmse  0.2170  df(ActivateDay.Avg) 0.0065
               valid loss 0.545769  auc  0.0000 MAE  0.1530 rmse  0.2143  df(ActivateDay.Avg) 0.0141
                test loss 0.524223  auc  0.0000 MAE  0.1592 rmse  0.2230  df(ActivateDay.Avg) 0.0122
     train: epoch 24 loss 0.092988  auc  0.0000 MAE  0.1559 rmse  0.2173  df(ActivateDay.Avg) 0.0001
               valid loss 0.532379  auc  0.0000 MAE  0.1534 rmse  0.2130  df(ActivateDay.Avg) 0.0151
                test loss 0.512380  auc  0.0000 MAE  0.1597 rmse  0.2221  df(ActivateDay.Avg) 0.0392
     train: epoch 25 loss 0.091554  auc  0.0000 MAE  0.1549 rmse  0.2156  df(ActivateDay.Avg) 0.0133
               valid loss 0.573867  auc  0.0000 MAE  0.1505 rmse  0.2162  df(ActivateDay.Avg) 0.0846
     train: epoch 26 loss 0.092751  auc  0.0000 MAE  0.1557 rmse  0.2171  df(ActivateDay.Avg) 0.0049
               valid loss 0.538132  auc  0.0000 MAE  0.1555 rmse  0.2153  df(ActivateDay.Avg) 0.0076
     train: epoch 27 loss 0.092432  auc  0.0000 MAE  0.1560 rmse  0.2167  df(ActivateDay.Avg) 0.0136
               valid loss 0.560209  auc  0.0000 MAE  0.1501 rmse  0.2144  df(ActivateDay.Avg) 0.0363
