{'model_name': 'LR', 'embedding_size': 32, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 4, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.2, 'device': device(type='cuda', index=4), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3911,  668,  493,  398,  283,  260,  234,  166,  188,  185,  147,
        139,  129,  163,  169,  188,  352])}
      train: epoch 0 loss 3.950792  auc  0.0000 MAE  0.4154 rmse  1.4166  df(ActivateDay.Avg) 0.0896
               valid loss 0.454991  auc  0.0000 MAE  0.4099 rmse  0.4436  df(ActivateDay.Avg) 1.5614
                test loss 0.465455  auc  0.0000 MAE  0.4074 rmse  0.4414  df(ActivateDay.Avg) 1.4261
      train: epoch 1 loss 0.854679  auc  0.0000 MAE  0.2801 rmse  0.6589  df(ActivateDay.Avg) 0.0489
               valid loss 0.467696  auc  0.0000 MAE  0.4139 rmse  0.4467  df(ActivateDay.Avg) 1.5657
      train: epoch 2 loss 0.824109  auc  0.0000 MAE  0.2931 rmse  0.6470  df(ActivateDay.Avg) 0.0381
               valid loss 0.452158  auc  0.0000 MAE  0.4093 rmse  0.4411  df(ActivateDay.Avg) 1.5360
                test loss 0.453731  auc  0.0000 MAE  0.4101 rmse  0.4412  df(ActivateDay.Avg) 1.4161
      train: epoch 3 loss 0.586256  auc  0.0000 MAE  0.2600 rmse  0.5457  df(ActivateDay.Avg) 0.0474
               valid loss 0.450376  auc  0.0000 MAE  0.4154 rmse  0.4475  df(ActivateDay.Avg) 1.5807
      train: epoch 4 loss 0.551420  auc  0.0000 MAE  0.2746 rmse  0.5292  df(ActivateDay.Avg) 0.0086
               valid loss 0.422158  auc  0.0000 MAE  0.3958 rmse  0.4284  df(ActivateDay.Avg) 1.5453
                test loss 0.429113  auc  0.0000 MAE  0.3923 rmse  0.4247  df(ActivateDay.Avg) 1.4227
      train: epoch 5 loss 2.498726  auc  0.0000 MAE  0.4845 rmse  1.1266  df(ActivateDay.Avg) 0.0129
               valid loss 0.450426  auc  0.0000 MAE  0.4167 rmse  0.4501  df(ActivateDay.Avg) 1.5826
      train: epoch 6 loss 0.817023  auc  0.0000 MAE  0.3051 rmse  0.6442  df(ActivateDay.Avg) 0.0068
               valid loss 0.453570  auc  0.0000 MAE  0.4190 rmse  0.4502  df(ActivateDay.Avg) 1.5578
      train: epoch 7 loss 0.572964  auc  0.0000 MAE  0.2616 rmse  0.5395  df(ActivateDay.Avg) 0.0037
               valid loss 0.440532  auc  0.0000 MAE  0.4114 rmse  0.4417  df(ActivateDay.Avg) 1.5547
      train: epoch 8 loss 0.492591  auc  0.0000 MAE  0.2311 rmse  0.5002  df(ActivateDay.Avg) 0.0021
               valid loss 0.440957  auc  0.0000 MAE  0.4103 rmse  0.4418  df(ActivateDay.Avg) 1.5747
      train: epoch 9 loss 0.608097  auc  0.0000 MAE  0.2462 rmse  0.5558  df(ActivateDay.Avg) 0.0122
               valid loss 0.442868  auc  0.0000 MAE  0.4164 rmse  0.4467  df(ActivateDay.Avg) 1.5693
     train: epoch 10 loss 0.848126  auc  0.0000 MAE  0.2972 rmse  0.6563  df(ActivateDay.Avg) 0.0004
               valid loss 0.430907  auc  0.0000 MAE  0.4065 rmse  0.4393  df(ActivateDay.Avg) 1.5843
     train: epoch 11 loss 0.567518  auc  0.0000 MAE  0.2513 rmse  0.5369  df(ActivateDay.Avg) 0.0063
               valid loss 0.435808  auc  0.0000 MAE  0.4084 rmse  0.4402  df(ActivateDay.Avg) 1.5633
     train: epoch 12 loss 0.641178  auc  0.0000 MAE  0.2706 rmse  0.5707  df(ActivateDay.Avg) 0.0110
               valid loss 0.449053  auc  0.0000 MAE  0.4161 rmse  0.4472  df(ActivateDay.Avg) 1.5571
     train: epoch 13 loss 0.467490  auc  0.0000 MAE  0.2542 rmse  0.4873  df(ActivateDay.Avg) 0.0171
               valid loss 0.456694  auc  0.0000 MAE  0.4232 rmse  0.4548  df(ActivateDay.Avg) 1.5960
     train: epoch 14 loss 0.392685  auc  0.0000 MAE  0.2433 rmse  0.4466  df(ActivateDay.Avg) 0.0033
               valid loss 0.446775  auc  0.0000 MAE  0.4145 rmse  0.4459  df(ActivateDay.Avg) 1.5558
     train: epoch 15 loss 0.392391  auc  0.0000 MAE  0.2472 rmse  0.4464  df(ActivateDay.Avg) 0.0030
               valid loss 0.456015  auc  0.0000 MAE  0.4256 rmse  0.4559  df(ActivateDay.Avg) 1.5843
     train: epoch 16 loss 0.548179  auc  0.0000 MAE  0.2791 rmse  0.5277  df(ActivateDay.Avg) 0.0025
               valid loss 0.434042  auc  0.0000 MAE  0.4071 rmse  0.4383  df(ActivateDay.Avg) 1.5680
     train: epoch 17 loss 0.599093  auc  0.0000 MAE  0.2630 rmse  0.5516  df(ActivateDay.Avg) 0.0084
               valid loss 0.474503  auc  0.0000 MAE  0.4137 rmse  0.4457  df(ActivateDay.Avg) 1.5472
     train: epoch 18 loss 0.804254  auc  0.0000 MAE  0.2899 rmse  0.6391  df(ActivateDay.Avg) 0.0104
               valid loss 0.474087  auc  0.0000 MAE  0.4151 rmse  0.4473  df(ActivateDay.Avg) 1.5639
     train: epoch 19 loss 0.790953  auc  0.0000 MAE  0.2758 rmse  0.6338  df(ActivateDay.Avg) 0.0104
               valid loss 0.487369  auc  0.0000 MAE  0.4254 rmse  0.4562  df(ActivateDay.Avg) 1.5354
     train: epoch 20 loss 0.597235  auc  0.0000 MAE  0.2546 rmse  0.5508  df(ActivateDay.Avg) 0.0072
               valid loss 0.456170  auc  0.0000 MAE  0.4049 rmse  0.4379  df(ActivateDay.Avg) 1.5734
     train: epoch 21 loss 0.912766  auc  0.0000 MAE  0.2798 rmse  0.6809  df(ActivateDay.Avg) 0.0245
               valid loss 0.520983  auc  0.0000 MAE  0.4445 rmse  0.4780  df(ActivateDay.Avg) 1.5656
     train: epoch 22 loss 1.605878  auc  0.0000 MAE  0.3701 rmse  0.9032  df(ActivateDay.Avg) 0.0408
               valid loss 0.466729  auc  0.0000 MAE  0.4122 rmse  0.4442  df(ActivateDay.Avg) 1.5697
     train: epoch 23 loss 0.597839  auc  0.0000 MAE  0.2426 rmse  0.5511  df(ActivateDay.Avg) 0.0024
               valid loss 0.478401  auc  0.0000 MAE  0.4158 rmse  0.4475  df(ActivateDay.Avg) 1.5632
     train: epoch 24 loss 0.593269  auc  0.0000 MAE  0.2519 rmse  0.5489  df(ActivateDay.Avg) 0.0024
               valid loss 0.479063  auc  0.0000 MAE  0.4224 rmse  0.4529  df(ActivateDay.Avg) 1.5544
     train: epoch 25 loss 0.610237  auc  0.0000 MAE  0.2605 rmse  0.5567  df(ActivateDay.Avg) 0.0090
               valid loss 0.453407  auc  0.0000 MAE  0.3971 rmse  0.4293  df(ActivateDay.Avg) 1.5386
     train: epoch 26 loss 0.468980  auc  0.0000 MAE  0.2500 rmse  0.4881  df(ActivateDay.Avg) 0.0156
               valid loss 0.473357  auc  0.0000 MAE  0.4190 rmse  0.4504  df(ActivateDay.Avg) 1.5713
     train: epoch 27 loss 0.404418  auc  0.0000 MAE  0.2374 rmse  0.4532  df(ActivateDay.Avg) 0.0097
               valid loss 0.465138  auc  0.0000 MAE  0.4122 rmse  0.4421  df(ActivateDay.Avg) 1.5512
     train: epoch 28 loss 0.377956  auc  0.0000 MAE  0.2367 rmse  0.4382  df(ActivateDay.Avg) 0.0027
               valid loss 0.475744  auc  0.0000 MAE  0.4220 rmse  0.4535  df(ActivateDay.Avg) 1.5792
     train: epoch 29 loss 0.326864  auc  0.0000 MAE  0.2306 rmse  0.4075  df(ActivateDay.Avg) 0.0106
               valid loss 0.498613  auc  0.0000 MAE  0.4297 rmse  0.4620  df(ActivateDay.Avg) 1.5553
     train: epoch 30 loss 0.331231  auc  0.0000 MAE  0.2264 rmse  0.4102  df(ActivateDay.Avg) 0.0085
               valid loss 0.471974  auc  0.0000 MAE  0.4226 rmse  0.4539  df(ActivateDay.Avg) 1.5963
     train: epoch 31 loss 0.330921  auc  0.0000 MAE  0.2232 rmse  0.4100  df(ActivateDay.Avg) 0.0000
               valid loss 0.465688  auc  0.0000 MAE  0.4082 rmse  0.4391  df(ActivateDay.Avg) 1.5480
     train: epoch 32 loss 0.401277  auc  0.0000 MAE  0.2263 rmse  0.4515  df(ActivateDay.Avg) 0.0013
               valid loss 0.467484  auc  0.0000 MAE  0.4160 rmse  0.4469  df(ActivateDay.Avg) 1.5796
     train: epoch 33 loss 0.466817  auc  0.0000 MAE  0.2436 rmse  0.4869  df(ActivateDay.Avg) 0.0144
               valid loss 0.460497  auc  0.0000 MAE  0.4138 rmse  0.4456  df(ActivateDay.Avg) 1.6004
     train: epoch 34 loss 0.456081  auc  0.0000 MAE  0.2491 rmse  0.4813  df(ActivateDay.Avg) 0.0062
               valid loss 0.480047  auc  0.0000 MAE  0.4167 rmse  0.4480  df(ActivateDay.Avg) 1.5541
     train: epoch 35 loss 0.542068  auc  0.0000 MAE  0.2632 rmse  0.5247  df(ActivateDay.Avg) 0.0013
               valid loss 0.472918  auc  0.0000 MAE  0.4151 rmse  0.4465  df(ActivateDay.Avg) 1.5731
     train: epoch 36 loss 0.463518  auc  0.0000 MAE  0.2284 rmse  0.4852  df(ActivateDay.Avg) 0.0036
               valid loss 0.467898  auc  0.0000 MAE  0.4169 rmse  0.4485  df(ActivateDay.Avg) 1.5912
     train: epoch 37 loss 0.442956  auc  0.0000 MAE  0.2437 rmse  0.4743  df(ActivateDay.Avg) 0.0068
               valid loss 0.470325  auc  0.0000 MAE  0.4149 rmse  0.4454  df(ActivateDay.Avg) 1.5470
     train: epoch 38 loss 0.396990  auc  0.0000 MAE  0.2431 rmse  0.4490  df(ActivateDay.Avg) 0.0086
               valid loss 0.460986  auc  0.0000 MAE  0.4064 rmse  0.4379  df(ActivateDay.Avg) 1.5440
     train: epoch 39 loss 0.330082  auc  0.0000 MAE  0.2281 rmse  0.4095  df(ActivateDay.Avg) 0.0002
               valid loss 0.510993  auc  0.0000 MAE  0.4448 rmse  0.4781  df(ActivateDay.Avg) 1.5923
     train: epoch 40 loss 0.396042  auc  0.0000 MAE  0.2499 rmse  0.4485  df(ActivateDay.Avg) 0.0013
               valid loss 0.460073  auc  0.0000 MAE  0.4071 rmse  0.4391  df(ActivateDay.Avg) 1.5582
     train: epoch 41 loss 0.294846  auc  0.0000 MAE  0.2280 rmse  0.3870  df(ActivateDay.Avg) 0.0131
               valid loss 0.463284  auc  0.0000 MAE  0.4085 rmse  0.4399  df(ActivateDay.Avg) 1.5567
     train: epoch 42 loss 0.340747  auc  0.0000 MAE  0.2301 rmse  0.4160  df(ActivateDay.Avg) 0.0083
               valid loss 0.471545  auc  0.0000 MAE  0.4185 rmse  0.4497  df(ActivateDay.Avg) 1.5687
     train: epoch 43 loss 0.642785  auc  0.0000 MAE  0.2698 rmse  0.5714  df(ActivateDay.Avg) 0.0030
               valid loss 0.472328  auc  0.0000 MAE  0.4167 rmse  0.4480  df(ActivateDay.Avg) 1.5601
     train: epoch 44 loss 0.397872  auc  0.0000 MAE  0.2187 rmse  0.4495  df(ActivateDay.Avg) 0.0070
               valid loss 0.496091  auc  0.0000 MAE  0.4313 rmse  0.4629  df(ActivateDay.Avg) 1.5553
     train: epoch 45 loss 0.318374  auc  0.0000 MAE  0.2225 rmse  0.4021  df(ActivateDay.Avg) 0.0074
               valid loss 0.475076  auc  0.0000 MAE  0.4223 rmse  0.4529  df(ActivateDay.Avg) 1.5821
     train: epoch 46 loss 0.340726  auc  0.0000 MAE  0.2189 rmse  0.4160  df(ActivateDay.Avg) 0.0022
               valid loss 0.470364  auc  0.0000 MAE  0.4186 rmse  0.4498  df(ActivateDay.Avg) 1.5907
     train: epoch 47 loss 0.281407  auc  0.0000 MAE  0.2113 rmse  0.3781  df(ActivateDay.Avg) 0.0057
               valid loss 0.466990  auc  0.0000 MAE  0.4163 rmse  0.4474  df(ActivateDay.Avg) 1.5818
     train: epoch 48 loss 0.245216  auc  0.0000 MAE  0.2037 rmse  0.3529  df(ActivateDay.Avg) 0.0086
               valid loss 0.491236  auc  0.0000 MAE  0.4329 rmse  0.4644  df(ActivateDay.Avg) 1.5815
     train: epoch 49 loss 0.385201  auc  0.0000 MAE  0.2446 rmse  0.4423  df(ActivateDay.Avg) 0.0020
               valid loss 0.465097  auc  0.0000 MAE  0.4145 rmse  0.4466  df(ActivateDay.Avg) 1.5785
     train: epoch 50 loss 0.305689  auc  0.0000 MAE  0.2159 rmse  0.3940  df(ActivateDay.Avg) 0.0060
               valid loss 0.489291  auc  0.0000 MAE  0.4296 rmse  0.4609  df(ActivateDay.Avg) 1.5674
     train: epoch 51 loss 0.302682  auc  0.0000 MAE  0.2344 rmse  0.3921  df(ActivateDay.Avg) 0.0053
               valid loss 0.478888  auc  0.0000 MAE  0.4163 rmse  0.4474  df(ActivateDay.Avg) 1.5339
     train: epoch 52 loss 0.339116  auc  0.0000 MAE  0.2293 rmse  0.4150  df(ActivateDay.Avg) 0.0084
               valid loss 0.466564  auc  0.0000 MAE  0.4145 rmse  0.4457  df(ActivateDay.Avg) 1.5767
