{'model_name': 'MLP', 'embedding_size': 64, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'deep_layers': [100, 50], 'dropout_p': 0.2, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 5, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=5), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3911,  668,  493,  398,  283,  260,  234,  166,  188,  185,  147,
        139,  129,  163,  169,  188,  352])}
      train: epoch 0 loss 0.126882  auc  0.0000 MAE  0.1738 rmse  0.2539  df(ActivateDay.Avg) 0.0400
               valid loss 0.627670  auc  0.0000 MAE  0.1579 rmse  0.2299  df(ActivateDay.Avg) 0.1125
                test loss 0.642541  auc  0.0000 MAE  0.1706 rmse  0.2453  df(ActivateDay.Avg) 0.1293
      train: epoch 1 loss 0.110354  auc  0.0000 MAE  0.1638 rmse  0.2368  df(ActivateDay.Avg) 0.0523
               valid loss 0.585567  auc  0.0000 MAE  0.1610 rmse  0.2297  df(ActivateDay.Avg) 0.0122
                test loss 0.593657  auc  0.0000 MAE  0.1734 rmse  0.2436  df(ActivateDay.Avg) 0.0086
      train: epoch 2 loss 0.106040  auc  0.0000 MAE  0.1599 rmse  0.2321  df(ActivateDay.Avg) 0.0497
               valid loss 0.643406  auc  0.0000 MAE  0.1547 rmse  0.2292  df(ActivateDay.Avg) 0.1229
                test loss 0.652825  auc  0.0000 MAE  0.1658 rmse  0.2419  df(ActivateDay.Avg) 0.1336
      train: epoch 3 loss 0.103601  auc  0.0000 MAE  0.1575 rmse  0.2294  df(ActivateDay.Avg) 0.0548
               valid loss 0.612344  auc  0.0000 MAE  0.1563 rmse  0.2285  df(ActivateDay.Avg) 0.0585
                test loss 0.616928  auc  0.0000 MAE  0.1668 rmse  0.2392  df(ActivateDay.Avg) 0.0694
      train: epoch 4 loss 0.100559  auc  0.0000 MAE  0.1565 rmse  0.2260  df(ActivateDay.Avg) 0.0493
               valid loss 0.649384  auc  0.0000 MAE  0.1520 rmse  0.2279  df(ActivateDay.Avg) 0.1086
                test loss 0.660418  auc  0.0000 MAE  0.1631 rmse  0.2403  df(ActivateDay.Avg) 0.1179
      train: epoch 5 loss 0.098492  auc  0.0000 MAE  0.1545 rmse  0.2237  df(ActivateDay.Avg) 0.0481
               valid loss 0.603360  auc  0.0000 MAE  0.1578 rmse  0.2265  df(ActivateDay.Avg) 0.0497
                test loss 0.608577  auc  0.0000 MAE  0.1695 rmse  0.2395  df(ActivateDay.Avg) 0.0726
      train: epoch 6 loss 0.098081  auc  0.0000 MAE  0.1527 rmse  0.2232  df(ActivateDay.Avg) 0.0562
               valid loss 0.631551  auc  0.0000 MAE  0.1543 rmse  0.2268  df(ActivateDay.Avg) 0.1167
      train: epoch 7 loss 0.096536  auc  0.0000 MAE  0.1529 rmse  0.2214  df(ActivateDay.Avg) 0.0414
               valid loss 0.616568  auc  0.0000 MAE  0.1570 rmse  0.2280  df(ActivateDay.Avg) 0.0877
      train: epoch 8 loss 0.096008  auc  0.0000 MAE  0.1528 rmse  0.2208  df(ActivateDay.Avg) 0.0492
               valid loss 0.568441  auc  0.0000 MAE  0.1592 rmse  0.2280  df(ActivateDay.Avg) 0.0428
      train: epoch 9 loss 0.093158  auc  0.0000 MAE  0.1503 rmse  0.2175  df(ActivateDay.Avg) 0.0452
               valid loss 0.612564  auc  0.0000 MAE  0.1549 rmse  0.2284  df(ActivateDay.Avg) 0.0347
     train: epoch 10 loss 0.094182  auc  0.0000 MAE  0.1505 rmse  0.2187  df(ActivateDay.Avg) 0.0428
               valid loss 0.609277  auc  0.0000 MAE  0.1525 rmse  0.2258  df(ActivateDay.Avg) 0.0409
                test loss 0.621354  auc  0.0000 MAE  0.1646 rmse  0.2389  df(ActivateDay.Avg) 0.0634
