{'model_name': 'LR', 'embedding_size': 32, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 5, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.2, 'device': device(type='cuda', index=5), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3892,  672,  537,  372,  279,  267,  256,  184,  178,  181,  153,
        123,  116,  161,  167,  187,  348])}
      train: epoch 0 loss 5.896982  auc  0.0000 MAE  0.4222 rmse  1.7307  df(ActivateDay.Avg) 0.1189
               valid loss 0.460654  auc  0.0000 MAE  0.4269 rmse  0.4614  df(ActivateDay.Avg) 1.5417
                test loss 0.509899  auc  0.0000 MAE  0.4291 rmse  0.4624  df(ActivateDay.Avg) 1.4914
      train: epoch 1 loss 2.078531  auc  0.0000 MAE  0.3134 rmse  1.0275  df(ActivateDay.Avg) 0.0360
               valid loss 0.472182  auc  0.0000 MAE  0.4271 rmse  0.4609  df(ActivateDay.Avg) 1.5023
                test loss 0.497531  auc  0.0000 MAE  0.4256 rmse  0.4579  df(ActivateDay.Avg) 1.4673
      train: epoch 2 loss 1.060386  auc  0.0000 MAE  0.3199 rmse  0.7339  df(ActivateDay.Avg) 0.0394
               valid loss 0.447917  auc  0.0000 MAE  0.4183 rmse  0.4515  df(ActivateDay.Avg) 1.4861
                test loss 0.473028  auc  0.0000 MAE  0.4162 rmse  0.4491  df(ActivateDay.Avg) 1.4480
      train: epoch 3 loss 0.879528  auc  0.0000 MAE  0.3108 rmse  0.6684  df(ActivateDay.Avg) 0.0163
               valid loss 0.507013  auc  0.0000 MAE  0.4429 rmse  0.4786  df(ActivateDay.Avg) 1.4876
      train: epoch 4 loss 1.255715  auc  0.0000 MAE  0.3653 rmse  0.7986  df(ActivateDay.Avg) 0.0276
               valid loss 0.444066  auc  0.0000 MAE  0.4141 rmse  0.4449  df(ActivateDay.Avg) 1.4800
                test loss 0.463823  auc  0.0000 MAE  0.4159 rmse  0.4463  df(ActivateDay.Avg) 1.4522
      train: epoch 5 loss 0.425349  auc  0.0000 MAE  0.2480 rmse  0.4648  df(ActivateDay.Avg) 0.0157
               valid loss 0.449765  auc  0.0000 MAE  0.4140 rmse  0.4446  df(ActivateDay.Avg) 1.4688
                test loss 0.467001  auc  0.0000 MAE  0.4142 rmse  0.4434  df(ActivateDay.Avg) 1.4308
      train: epoch 6 loss 0.310911  auc  0.0000 MAE  0.2285 rmse  0.3974  df(ActivateDay.Avg) 0.0127
               valid loss 0.446868  auc  0.0000 MAE  0.4197 rmse  0.4506  df(ActivateDay.Avg) 1.4960
      train: epoch 7 loss 0.427870  auc  0.0000 MAE  0.2372 rmse  0.4662  df(ActivateDay.Avg) 0.0003
               valid loss 0.441032  auc  0.0000 MAE  0.4161 rmse  0.4473  df(ActivateDay.Avg) 1.4985
      train: epoch 8 loss 0.228690  auc  0.0000 MAE  0.2196 rmse  0.3408  df(ActivateDay.Avg) 0.0053
               valid loss 0.458417  auc  0.0000 MAE  0.4249 rmse  0.4560  df(ActivateDay.Avg) 1.4744
      train: epoch 9 loss 0.443782  auc  0.0000 MAE  0.2652 rmse  0.4748  df(ActivateDay.Avg) 0.0111
               valid loss 0.452618  auc  0.0000 MAE  0.4231 rmse  0.4545  df(ActivateDay.Avg) 1.4998
     train: epoch 10 loss 0.371329  auc  0.0000 MAE  0.2422 rmse  0.4343  df(ActivateDay.Avg) 0.0011
               valid loss 0.444486  auc  0.0000 MAE  0.4165 rmse  0.4471  df(ActivateDay.Avg) 1.4878
     train: epoch 11 loss 0.417391  auc  0.0000 MAE  0.2483 rmse  0.4604  df(ActivateDay.Avg) 0.0022
               valid loss 0.447933  auc  0.0000 MAE  0.4177 rmse  0.4506  df(ActivateDay.Avg) 1.5119
     train: epoch 12 loss 0.721289  auc  0.0000 MAE  0.2811 rmse  0.6053  df(ActivateDay.Avg) 0.0068
               valid loss 0.466304  auc  0.0000 MAE  0.4305 rmse  0.4634  df(ActivateDay.Avg) 1.4982
     train: epoch 13 loss 0.815301  auc  0.0000 MAE  0.3106 rmse  0.6435  df(ActivateDay.Avg) 0.0126
               valid loss 0.454534  auc  0.0000 MAE  0.4186 rmse  0.4519  df(ActivateDay.Avg) 1.5033
     train: epoch 14 loss 0.599345  auc  0.0000 MAE  0.2927 rmse  0.5518  df(ActivateDay.Avg) 0.0239
               valid loss 0.454322  auc  0.0000 MAE  0.4145 rmse  0.4460  df(ActivateDay.Avg) 1.4600
     train: epoch 15 loss 0.370514  auc  0.0000 MAE  0.2432 rmse  0.4338  df(ActivateDay.Avg) 0.0171
               valid loss 0.442631  auc  0.0000 MAE  0.4147 rmse  0.4460  df(ActivateDay.Avg) 1.4850
