{'model_name': 'LSCNN', 'embedding_size': 64, 'hidden_size': 8, 'lstm_2_input_size': 100, 'lscnn_conv2_kernel': 3, 'lscnn_conv2_outputsize': 20, 'lscnn_pool_kernel': 2, 'dropout_p': 0.1, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 1, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=1), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3892,  672,  537,  372,  279,  267,  256,  184,  178,  181,  153,
        123,  116,  161,  167,  187,  348])}
      train: epoch 0 loss 0.112641  auc  0.0000 MAE  0.1759 rmse  0.2392  df(ActivateDay.Avg) 0.0096
               valid loss 0.548762  auc  0.0000 MAE  0.1593 rmse  0.2261  df(ActivateDay.Avg) 0.0653
                test loss 0.588313  auc  0.0000 MAE  0.1649 rmse  0.2334  df(ActivateDay.Avg) 0.0866
      train: epoch 1 loss 0.093948  auc  0.0000 MAE  0.1582 rmse  0.2184  df(ActivateDay.Avg) 0.0006
               valid loss 0.533687  auc  0.0000 MAE  0.1526 rmse  0.2197  df(ActivateDay.Avg) 0.0164
                test loss 0.576668  auc  0.0000 MAE  0.1577 rmse  0.2263  df(ActivateDay.Avg) 0.0430
      train: epoch 2 loss 0.089440  auc  0.0000 MAE  0.1516 rmse  0.2131  df(ActivateDay.Avg) 0.0104
               valid loss 0.486970  auc  0.0000 MAE  0.1595 rmse  0.2179  df(ActivateDay.Avg) 0.0700
                test loss 0.523823  auc  0.0000 MAE  0.1622 rmse  0.2228  df(ActivateDay.Avg) 0.0507
      train: epoch 3 loss 0.087307  auc  0.0000 MAE  0.1503 rmse  0.2106  df(ActivateDay.Avg) 0.0003
               valid loss 0.462052  auc  0.0000 MAE  0.1634 rmse  0.2169  df(ActivateDay.Avg) 0.1321
                test loss 0.495987  auc  0.0000 MAE  0.1666 rmse  0.2213  df(ActivateDay.Avg) 0.1100
      train: epoch 4 loss 0.084947  auc  0.0000 MAE  0.1477 rmse  0.2077  df(ActivateDay.Avg) 0.0018
               valid loss 0.523494  auc  0.0000 MAE  0.1465 rmse  0.2141  df(ActivateDay.Avg) 0.0263
                test loss 0.568251  auc  0.0000 MAE  0.1506 rmse  0.2190  df(ActivateDay.Avg) 0.0526
      train: epoch 5 loss 0.084888  auc  0.0000 MAE  0.1465 rmse  0.2076  df(ActivateDay.Avg) 0.0064
               valid loss 0.494977  auc  0.0000 MAE  0.1496 rmse  0.2128  df(ActivateDay.Avg) 0.0463
                test loss 0.536320  auc  0.0000 MAE  0.1533 rmse  0.2174  df(ActivateDay.Avg) 0.0212
      train: epoch 6 loss 0.082274  auc  0.0000 MAE  0.1438 rmse  0.2044  df(ActivateDay.Avg) 0.0003
               valid loss 0.442920  auc  0.0000 MAE  0.1665 rmse  0.2168  df(ActivateDay.Avg) 0.1828
      train: epoch 7 loss 0.081479  auc  0.0000 MAE  0.1427 rmse  0.2034  df(ActivateDay.Avg) 0.0059
               valid loss 0.462378  auc  0.0000 MAE  0.1548 rmse  0.2129  df(ActivateDay.Avg) 0.1239
      train: epoch 8 loss 0.080831  auc  0.0000 MAE  0.1426 rmse  0.2026  df(ActivateDay.Avg) 0.0024
               valid loss 0.530789  auc  0.0000 MAE  0.1438 rmse  0.2130  df(ActivateDay.Avg) 0.0393
      train: epoch 9 loss 0.079631  auc  0.0000 MAE  0.1411 rmse  0.2011  df(ActivateDay.Avg) 0.0004
               valid loss 0.531975  auc  0.0000 MAE  0.1441 rmse  0.2118  df(ActivateDay.Avg) 0.0668
                test loss 0.576438  auc  0.0000 MAE  0.1469 rmse  0.2150  df(ActivateDay.Avg) 0.0940
     train: epoch 10 loss 0.077933  auc  0.0000 MAE  0.1393 rmse  0.1990  df(ActivateDay.Avg) 0.0060
               valid loss 0.514307  auc  0.0000 MAE  0.1445 rmse  0.2114  df(ActivateDay.Avg) 0.0259
                test loss 0.558466  auc  0.0000 MAE  0.1470 rmse  0.2140  df(ActivateDay.Avg) 0.0536
     train: epoch 11 loss 0.078425  auc  0.0000 MAE  0.1390 rmse  0.1996  df(ActivateDay.Avg) 0.0005
               valid loss 0.590381  auc  0.0000 MAE  0.1420 rmse  0.2188  df(ActivateDay.Avg) 0.1539
     train: epoch 12 loss 0.077157  auc  0.0000 MAE  0.1381 rmse  0.1980  df(ActivateDay.Avg) 0.0002
               valid loss 0.502241  auc  0.0000 MAE  0.1465 rmse  0.2116  df(ActivateDay.Avg) 0.0015
     train: epoch 13 loss 0.076476  auc  0.0000 MAE  0.1375 rmse  0.1971  df(ActivateDay.Avg) 0.0003
               valid loss 0.452049  auc  0.0000 MAE  0.1548 rmse  0.2126  df(ActivateDay.Avg) 0.1507
     train: epoch 14 loss 0.075797  auc  0.0000 MAE  0.1364 rmse  0.1962  df(ActivateDay.Avg) 0.0018
               valid loss 0.558201  auc  0.0000 MAE  0.1404 rmse  0.2142  df(ActivateDay.Avg) 0.0744
     train: epoch 15 loss 0.074934  auc  0.0000 MAE  0.1353 rmse  0.1951  df(ActivateDay.Avg) 0.0028
               valid loss 0.491777  auc  0.0000 MAE  0.1451 rmse  0.2106  df(ActivateDay.Avg) 0.0454
                test loss 0.532593  auc  0.0000 MAE  0.1460 rmse  0.2119  df(ActivateDay.Avg) 0.0180
     train: epoch 16 loss 0.074693  auc  0.0000 MAE  0.1355 rmse  0.1948  df(ActivateDay.Avg) 0.0069
               valid loss 0.569889  auc  0.0000 MAE  0.1385 rmse  0.2137  df(ActivateDay.Avg) 0.1050
     train: epoch 17 loss 0.073505  auc  0.0000 MAE  0.1334 rmse  0.1932  df(ActivateDay.Avg) 0.0082
               valid loss 0.467978  auc  0.0000 MAE  0.1507 rmse  0.2122  df(ActivateDay.Avg) 0.1109
     train: epoch 18 loss 0.071961  auc  0.0000 MAE  0.1330 rmse  0.1912  df(ActivateDay.Avg) 0.0100
               valid loss 0.515064  auc  0.0000 MAE  0.1413 rmse  0.2111  df(ActivateDay.Avg) 0.0081
     train: epoch 19 loss 0.072660  auc  0.0000 MAE  0.1328 rmse  0.1921  df(ActivateDay.Avg) 0.0020
               valid loss 0.521307  auc  0.0000 MAE  0.1418 rmse  0.2107  df(ActivateDay.Avg) 0.0307
     train: epoch 20 loss 0.070666  auc  0.0000 MAE  0.1311 rmse  0.1895  df(ActivateDay.Avg) 0.0019
               valid loss 0.490905  auc  0.0000 MAE  0.1439 rmse  0.2122  df(ActivateDay.Avg) 0.0600
     train: epoch 21 loss 0.069477  auc  0.0000 MAE  0.1299 rmse  0.1879  df(ActivateDay.Avg) 0.0089
               valid loss 0.545562  auc  0.0000 MAE  0.1400 rmse  0.2119  df(ActivateDay.Avg) 0.0853
     train: epoch 22 loss 0.069476  auc  0.0000 MAE  0.1288 rmse  0.1879  df(ActivateDay.Avg) 0.0012
               valid loss 0.477275  auc  0.0000 MAE  0.1491 rmse  0.2106  df(ActivateDay.Avg) 0.0621
     train: epoch 23 loss 0.067852  auc  0.0000 MAE  0.1272 rmse  0.1856  df(ActivateDay.Avg) 0.0001
               valid loss 0.497953  auc  0.0000 MAE  0.1454 rmse  0.2110  df(ActivateDay.Avg) 0.0098
     train: epoch 24 loss 0.066686  auc  0.0000 MAE  0.1270 rmse  0.1840  df(ActivateDay.Avg) 0.0062
               valid loss 0.550722  auc  0.0000 MAE  0.1389 rmse  0.2134  df(ActivateDay.Avg) 0.0629
     train: epoch 25 loss 0.066443  auc  0.0000 MAE  0.1259 rmse  0.1837  df(ActivateDay.Avg) 0.0013
               valid loss 0.433278  auc  0.0000 MAE  0.1612 rmse  0.2185  df(ActivateDay.Avg) 0.2200
     train: epoch 26 loss 0.066381  auc  0.0000 MAE  0.1256 rmse  0.1836  df(ActivateDay.Avg) 0.0022
               valid loss 0.515764  auc  0.0000 MAE  0.1436 rmse  0.2144  df(ActivateDay.Avg) 0.0089
     train: epoch 27 loss 0.065505  auc  0.0000 MAE  0.1244 rmse  0.1824  df(ActivateDay.Avg) 0.0011
               valid loss 0.530315  auc  0.0000 MAE  0.1419 rmse  0.2113  df(ActivateDay.Avg) 0.0684
     train: epoch 28 loss 0.063480  auc  0.0000 MAE  0.1234 rmse  0.1796  df(ActivateDay.Avg) 0.0062
               valid loss 0.481226  auc  0.0000 MAE  0.1473 rmse  0.2132  df(ActivateDay.Avg) 0.0824
     train: epoch 29 loss 0.062230  auc  0.0000 MAE  0.1219 rmse  0.1778  df(ActivateDay.Avg) 0.0073
               valid loss 0.543424  auc  0.0000 MAE  0.1418 rmse  0.2149  df(ActivateDay.Avg) 0.0508
     train: epoch 30 loss 0.061667  auc  0.0000 MAE  0.1208 rmse  0.1770  df(ActivateDay.Avg) 0.0041
               valid loss 0.573566  auc  0.0000 MAE  0.1397 rmse  0.2180  df(ActivateDay.Avg) 0.0776
     train: epoch 31 loss 0.060106  auc  0.0000 MAE  0.1194 rmse  0.1747  df(ActivateDay.Avg) 0.0018
               valid loss 0.542128  auc  0.0000 MAE  0.1409 rmse  0.2153  df(ActivateDay.Avg) 0.0411
     train: epoch 32 loss 0.058995  auc  0.0000 MAE  0.1179 rmse  0.1731  df(ActivateDay.Avg) 0.0058
               valid loss 0.508232  auc  0.0000 MAE  0.1447 rmse  0.2148  df(ActivateDay.Avg) 0.0132
     train: epoch 33 loss 0.057608  auc  0.0000 MAE  0.1161 rmse  0.1711  df(ActivateDay.Avg) 0.0017
               valid loss 0.531876  auc  0.0000 MAE  0.1432 rmse  0.2167  df(ActivateDay.Avg) 0.0344
     train: epoch 34 loss 0.056779  auc  0.0000 MAE  0.1145 rmse  0.1698  df(ActivateDay.Avg) 0.0025
               valid loss 0.471910  auc  0.0000 MAE  0.1561 rmse  0.2184  df(ActivateDay.Avg) 0.1000
     train: epoch 35 loss 0.055286  auc  0.0000 MAE  0.1139 rmse  0.1676  df(ActivateDay.Avg) 0.0103
               valid loss 0.628707  auc  0.0000 MAE  0.1373 rmse  0.2220  df(ActivateDay.Avg) 0.1540
     train: epoch 36 loss 0.053107  auc  0.0000 MAE  0.1115 rmse  0.1642  df(ActivateDay.Avg) 0.0008
               valid loss 0.480150  auc  0.0000 MAE  0.1531 rmse  0.2198  df(ActivateDay.Avg) 0.0902
     train: epoch 37 loss 0.052259  auc  0.0000 MAE  0.1106 rmse  0.1629  df(ActivateDay.Avg) 0.0071
               valid loss 0.467106  auc  0.0000 MAE  0.1558 rmse  0.2258  df(ActivateDay.Avg) 0.1644
     train: epoch 38 loss 0.051882  auc  0.0000 MAE  0.1098 rmse  0.1623  df(ActivateDay.Avg) 0.0003
               valid loss 0.540707  auc  0.0000 MAE  0.1434 rmse  0.2182  df(ActivateDay.Avg) 0.0330
     train: epoch 39 loss 0.049913  auc  0.0000 MAE  0.1073 rmse  0.1592  df(ActivateDay.Avg) 0.0021
               valid loss 0.585259  auc  0.0000 MAE  0.1424 rmse  0.2225  df(ActivateDay.Avg) 0.1051
     train: epoch 40 loss 0.047711  auc  0.0000 MAE  0.1056 rmse  0.1557  df(ActivateDay.Avg) 0.0072
               valid loss 0.484168  auc  0.0000 MAE  0.1548 rmse  0.2252  df(ActivateDay.Avg) 0.1042
     train: epoch 41 loss 0.047807  auc  0.0000 MAE  0.1051 rmse  0.1558  df(ActivateDay.Avg) 0.0089
               valid loss 0.621253  auc  0.0000 MAE  0.1398 rmse  0.2221  df(ActivateDay.Avg) 0.1667
     train: epoch 42 loss 0.048688  auc  0.0000 MAE  0.1060 rmse  0.1573  df(ActivateDay.Avg) 0.0046
               valid loss 0.502727  auc  0.0000 MAE  0.1485 rmse  0.2213  df(ActivateDay.Avg) 0.0536
     train: epoch 43 loss 0.045725  auc  0.0000 MAE  0.1035 rmse  0.1524  df(ActivateDay.Avg) 0.0059
               valid loss 0.531661  auc  0.0000 MAE  0.1462 rmse  0.2195  df(ActivateDay.Avg) 0.0230
     train: epoch 44 loss 0.045983  auc  0.0000 MAE  0.1031 rmse  0.1528  df(ActivateDay.Avg) 0.0036
               valid loss 0.525696  auc  0.0000 MAE  0.1459 rmse  0.2183  df(ActivateDay.Avg) 0.0188
     train: epoch 45 loss 0.044804  auc  0.0000 MAE  0.1018 rmse  0.1509  df(ActivateDay.Avg) 0.0048
               valid loss 0.481915  auc  0.0000 MAE  0.1558 rmse  0.2275  df(ActivateDay.Avg) 0.1229
     train: epoch 46 loss 0.043639  auc  0.0000 MAE  0.1005 rmse  0.1489  df(ActivateDay.Avg) 0.0102
               valid loss 0.519984  auc  0.0000 MAE  0.1494 rmse  0.2245  df(ActivateDay.Avg) 0.0289
     train: epoch 47 loss 0.043535  auc  0.0000 MAE  0.1007 rmse  0.1487  df(ActivateDay.Avg) 0.0080
               valid loss 0.564788  auc  0.0000 MAE  0.1418 rmse  0.2213  df(ActivateDay.Avg) 0.0707
     train: epoch 48 loss 0.041555  auc  0.0000 MAE  0.0984 rmse  0.1453  df(ActivateDay.Avg) 0.0096
               valid loss 0.505887  auc  0.0000 MAE  0.1503 rmse  0.2255  df(ActivateDay.Avg) 0.0619
     train: epoch 49 loss 0.042451  auc  0.0000 MAE  0.0985 rmse  0.1468  df(ActivateDay.Avg) 0.0058
               valid loss 0.608394  auc  0.0000 MAE  0.1411 rmse  0.2236  df(ActivateDay.Avg) 0.1494
