{'model_name': 'MLP', 'embedding_size': 64, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'deep_layers': [100, 50], 'dropout_p': 0.2, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 6, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=6), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3892,  672,  537,  372,  279,  267,  256,  184,  178,  181,  153,
        123,  116,  161,  167,  187,  348])}
      train: epoch 0 loss 0.121766  auc  0.0000 MAE  0.1717 rmse  0.2487  df(ActivateDay.Avg) 0.0270
               valid loss 0.565642  auc  0.0000 MAE  0.1651 rmse  0.2350  df(ActivateDay.Avg) 0.0364
                test loss 0.610421  auc  0.0000 MAE  0.1711 rmse  0.2414  df(ActivateDay.Avg) 0.0613
      train: epoch 1 loss 0.105187  auc  0.0000 MAE  0.1614 rmse  0.2311  df(ActivateDay.Avg) 0.0412
               valid loss 0.614675  auc  0.0000 MAE  0.1586 rmse  0.2344  df(ActivateDay.Avg) 0.0888
                test loss 0.665452  auc  0.0000 MAE  0.1657 rmse  0.2431  df(ActivateDay.Avg) 0.1082
      train: epoch 2 loss 0.102167  auc  0.0000 MAE  0.1582 rmse  0.2278  df(ActivateDay.Avg) 0.0477
               valid loss 0.565911  auc  0.0000 MAE  0.1635 rmse  0.2339  df(ActivateDay.Avg) 0.0109
                test loss 0.611375  auc  0.0000 MAE  0.1697 rmse  0.2423  df(ActivateDay.Avg) 0.0365
      train: epoch 3 loss 0.101301  auc  0.0000 MAE  0.1579 rmse  0.2268  df(ActivateDay.Avg) 0.0440
               valid loss 0.606099  auc  0.0000 MAE  0.1604 rmse  0.2351  df(ActivateDay.Avg) 0.1053
      train: epoch 4 loss 0.097512  auc  0.0000 MAE  0.1546 rmse  0.2226  df(ActivateDay.Avg) 0.0521
               valid loss 0.564719  auc  0.0000 MAE  0.1638 rmse  0.2387  df(ActivateDay.Avg) 0.0257
      train: epoch 5 loss 0.097324  auc  0.0000 MAE  0.1550 rmse  0.2223  df(ActivateDay.Avg) 0.0375
               valid loss 0.562567  auc  0.0000 MAE  0.1649 rmse  0.2337  df(ActivateDay.Avg) 0.0198
