{'model_name': 'RNN', 'input_size': 6, 'hidden_size': 64, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 3, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=3), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'day_numpy_train': array([3892,  672,  537,  372,  279,  267,  256,  184,  178,  181,  153,
        123,  116,  161,  167,  187,  348])}
      train: epoch 0 loss 0.143984  auc  0.0000 MAE  0.2132 rmse  0.2704  df(ActivateDay.Avg) 0.1899
               valid loss 0.490671  auc  0.0000 MAE  0.1851 rmse  0.2383  df(ActivateDay.Avg) 0.1408
                test loss 0.521105  auc  0.0000 MAE  0.1891 rmse  0.2440  df(ActivateDay.Avg) 0.1100
      train: epoch 1 loss 0.109729  auc  0.0000 MAE  0.1766 rmse  0.2361  df(ActivateDay.Avg) 0.0556
               valid loss 0.550057  auc  0.0000 MAE  0.1748 rmse  0.2400  df(ActivateDay.Avg) 0.0684
      train: epoch 2 loss 0.105593  auc  0.0000 MAE  0.1692 rmse  0.2316  df(ActivateDay.Avg) 0.0207
               valid loss 0.496083  auc  0.0000 MAE  0.1743 rmse  0.2340  df(ActivateDay.Avg) 0.1190
                test loss 0.530695  auc  0.0000 MAE  0.1787 rmse  0.2394  df(ActivateDay.Avg) 0.0921
      train: epoch 3 loss 0.105326  auc  0.0000 MAE  0.1696 rmse  0.2313  df(ActivateDay.Avg) 0.0257
               valid loss 0.590537  auc  0.0000 MAE  0.1633 rmse  0.2392  df(ActivateDay.Avg) 0.1378
      train: epoch 4 loss 0.104947  auc  0.0000 MAE  0.1685 rmse  0.2309  df(ActivateDay.Avg) 0.0127
               valid loss 0.501493  auc  0.0000 MAE  0.1820 rmse  0.2354  df(ActivateDay.Avg) 0.0755
      train: epoch 5 loss 0.103344  auc  0.0000 MAE  0.1680 rmse  0.2291  df(ActivateDay.Avg) 0.0361
               valid loss 0.532495  auc  0.0000 MAE  0.1648 rmse  0.2301  df(ActivateDay.Avg) 0.0020
                test loss 0.571204  auc  0.0000 MAE  0.1696 rmse  0.2363  df(ActivateDay.Avg) 0.0225
      train: epoch 6 loss 0.101672  auc  0.0000 MAE  0.1649 rmse  0.2273  df(ActivateDay.Avg) 0.0085
               valid loss 0.499615  auc  0.0000 MAE  0.1756 rmse  0.2314  df(ActivateDay.Avg) 0.0828
      train: epoch 7 loss 0.101435  auc  0.0000 MAE  0.1657 rmse  0.2270  df(ActivateDay.Avg) 0.0154
               valid loss 0.557362  auc  0.0000 MAE  0.1619 rmse  0.2312  df(ActivateDay.Avg) 0.0734
      train: epoch 8 loss 0.100996  auc  0.0000 MAE  0.1650 rmse  0.2265  df(ActivateDay.Avg) 0.0201
               valid loss 0.488614  auc  0.0000 MAE  0.1749 rmse  0.2303  df(ActivateDay.Avg) 0.1284
      train: epoch 9 loss 0.100687  auc  0.0000 MAE  0.1647 rmse  0.2261  df(ActivateDay.Avg) 0.0160
               valid loss 0.560661  auc  0.0000 MAE  0.1564 rmse  0.2303  df(ActivateDay.Avg) 0.0312
     train: epoch 10 loss 0.099971  auc  0.0000 MAE  0.1643 rmse  0.2253  df(ActivateDay.Avg) 0.0229
               valid loss 0.489305  auc  0.0000 MAE  0.1740 rmse  0.2294  df(ActivateDay.Avg) 0.1275
                test loss 0.524692  auc  0.0000 MAE  0.1781 rmse  0.2349  df(ActivateDay.Avg) 0.0943
     train: epoch 11 loss 0.099197  auc  0.0000 MAE  0.1637 rmse  0.2245  df(ActivateDay.Avg) 0.0242
               valid loss 0.488563  auc  0.0000 MAE  0.1714 rmse  0.2287  df(ActivateDay.Avg) 0.1382
                test loss 0.525353  auc  0.0000 MAE  0.1759 rmse  0.2347  df(ActivateDay.Avg) 0.1098
     train: epoch 12 loss 0.099953  auc  0.0000 MAE  0.1638 rmse  0.2253  df(ActivateDay.Avg) 0.0140
               valid loss 0.531895  auc  0.0000 MAE  0.1649 rmse  0.2284  df(ActivateDay.Avg) 0.0089
                test loss 0.569719  auc  0.0000 MAE  0.1688 rmse  0.2340  df(ActivateDay.Avg) 0.0392
     train: epoch 13 loss 0.099660  auc  0.0000 MAE  0.1643 rmse  0.2250  df(ActivateDay.Avg) 0.0260
               valid loss 0.522435  auc  0.0000 MAE  0.1640 rmse  0.2271  df(ActivateDay.Avg) 0.0242
                test loss 0.560053  auc  0.0000 MAE  0.1683 rmse  0.2322  df(ActivateDay.Avg) 0.0060
     train: epoch 14 loss 0.098642  auc  0.0000 MAE  0.1624 rmse  0.2238  df(ActivateDay.Avg) 0.0162
               valid loss 0.534751  auc  0.0000 MAE  0.1628 rmse  0.2274  df(ActivateDay.Avg) 0.0132
     train: epoch 15 loss 0.099042  auc  0.0000 MAE  0.1633 rmse  0.2243  df(ActivateDay.Avg) 0.0162
               valid loss 0.479643  auc  0.0000 MAE  0.1718 rmse  0.2321  df(ActivateDay.Avg) 0.1923
     train: epoch 16 loss 0.098421  auc  0.0000 MAE  0.1631 rmse  0.2236  df(ActivateDay.Avg) 0.0200
               valid loss 0.541324  auc  0.0000 MAE  0.1603 rmse  0.2281  df(ActivateDay.Avg) 0.0141
     train: epoch 17 loss 0.097939  auc  0.0000 MAE  0.1624 rmse  0.2230  df(ActivateDay.Avg) 0.0224
               valid loss 0.532381  auc  0.0000 MAE  0.1606 rmse  0.2266  df(ActivateDay.Avg) 0.0062
                test loss 0.572128  auc  0.0000 MAE  0.1648 rmse  0.2319  df(ActivateDay.Avg) 0.0244
     train: epoch 18 loss 0.098197  auc  0.0000 MAE  0.1623 rmse  0.2233  df(ActivateDay.Avg) 0.0177
               valid loss 0.537821  auc  0.0000 MAE  0.1621 rmse  0.2273  df(ActivateDay.Avg) 0.0216
     train: epoch 19 loss 0.098399  auc  0.0000 MAE  0.1626 rmse  0.2236  df(ActivateDay.Avg) 0.0170
               valid loss 0.562280  auc  0.0000 MAE  0.1561 rmse  0.2283  df(ActivateDay.Avg) 0.0580
     train: epoch 20 loss 0.098753  auc  0.0000 MAE  0.1631 rmse  0.2240  df(ActivateDay.Avg) 0.0274
               valid loss 0.492573  auc  0.0000 MAE  0.1732 rmse  0.2278  df(ActivateDay.Avg) 0.1079
     train: epoch 21 loss 0.098789  auc  0.0000 MAE  0.1635 rmse  0.2240  df(ActivateDay.Avg) 0.0229
               valid loss 0.486192  auc  0.0000 MAE  0.1721 rmse  0.2277  df(ActivateDay.Avg) 0.1405
     train: epoch 22 loss 0.098552  auc  0.0000 MAE  0.1632 rmse  0.2237  df(ActivateDay.Avg) 0.0223
               valid loss 0.566790  auc  0.0000 MAE  0.1571 rmse  0.2286  df(ActivateDay.Avg) 0.0750
