{'model_name': 'CFIN', 'conv_size': 256, 'context_size': 32, 'embedding_size': 64, 'deep_layers': [100, 50], 'attn_enable': 1, 'attn_size': 128, 'kernel_size': 5, 'stride': 5, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'dropout_p': 0.1, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 3, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=3), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3878,  688,  510,  374,  302,  262,  250,  187,  171,  166,  161,
        124,  124,  163,  169,  202,  342])}
      train: epoch 0 loss 0.136292  auc  0.0000 MAE  0.1807 rmse  0.2631  df(ActivateDay.Avg) 0.0312
               valid loss 0.676958  auc  0.0000 MAE  0.1569 rmse  0.2396  df(ActivateDay.Avg) 0.1005
                test loss 0.691244  auc  0.0000 MAE  0.1580 rmse  0.2429  df(ActivateDay.Avg) 0.0788
      train: epoch 1 loss 0.120295  auc  0.0000 MAE  0.1705 rmse  0.2472  df(ActivateDay.Avg) 0.0563
               valid loss 0.662523  auc  0.0000 MAE  0.1690 rmse  0.2424  df(ActivateDay.Avg) 0.1200
      train: epoch 2 loss 0.120290  auc  0.0000 MAE  0.1728 rmse  0.2472  df(ActivateDay.Avg) 0.0555
               valid loss 0.609573  auc  0.0000 MAE  0.1705 rmse  0.2375  df(ActivateDay.Avg) 0.0537
                test loss 0.595510  auc  0.0000 MAE  0.1719 rmse  0.2422  df(ActivateDay.Avg) 0.0344
      train: epoch 3 loss 0.115867  auc  0.0000 MAE  0.1711 rmse  0.2426  df(ActivateDay.Avg) 0.0191
               valid loss 0.579393  auc  0.0000 MAE  0.1716 rmse  0.2338  df(ActivateDay.Avg) 0.0191
                test loss 0.561302  auc  0.0000 MAE  0.1717 rmse  0.2358  df(ActivateDay.Avg) 0.0079
      train: epoch 4 loss 0.115057  auc  0.0000 MAE  0.1702 rmse  0.2417  df(ActivateDay.Avg) 0.0445
               valid loss 0.529564  auc  0.0000 MAE  0.1830 rmse  0.2368  df(ActivateDay.Avg) 0.0891
      train: epoch 5 loss 0.111989  auc  0.0000 MAE  0.1694 rmse  0.2385  df(ActivateDay.Avg) 0.0276
               valid loss 0.610931  auc  0.0000 MAE  0.1686 rmse  0.2371  df(ActivateDay.Avg) 0.0711
      train: epoch 6 loss 0.110428  auc  0.0000 MAE  0.1661 rmse  0.2368  df(ActivateDay.Avg) 0.0357
               valid loss 0.613884  auc  0.0000 MAE  0.1695 rmse  0.2375  df(ActivateDay.Avg) 0.0690
      train: epoch 7 loss 0.109841  auc  0.0000 MAE  0.1647 rmse  0.2362  df(ActivateDay.Avg) 0.0533
               valid loss 0.683999  auc  0.0000 MAE  0.1576 rmse  0.2371  df(ActivateDay.Avg) 0.1260
      train: epoch 8 loss 0.107008  auc  0.0000 MAE  0.1627 rmse  0.2331  df(ActivateDay.Avg) 0.0382
               valid loss 0.617844  auc  0.0000 MAE  0.1692 rmse  0.2377  df(ActivateDay.Avg) 0.0600
      train: epoch 9 loss 0.105637  auc  0.0000 MAE  0.1616 rmse  0.2316  df(ActivateDay.Avg) 0.0381
               valid loss 0.687848  auc  0.0000 MAE  0.1622 rmse  0.2397  df(ActivateDay.Avg) 0.1402
     train: epoch 10 loss 0.105560  auc  0.0000 MAE  0.1609 rmse  0.2316  df(ActivateDay.Avg) 0.0496
               valid loss 0.669771  auc  0.0000 MAE  0.1606 rmse  0.2394  df(ActivateDay.Avg) 0.0513
     train: epoch 11 loss 0.101939  auc  0.0000 MAE  0.1561 rmse  0.2275  df(ActivateDay.Avg) 0.0441
               valid loss 0.642021  auc  0.0000 MAE  0.1610 rmse  0.2392  df(ActivateDay.Avg) 0.0842
     train: epoch 12 loss 0.100198  auc  0.0000 MAE  0.1560 rmse  0.2256  df(ActivateDay.Avg) 0.0295
               valid loss 0.638448  auc  0.0000 MAE  0.1675 rmse  0.2418  df(ActivateDay.Avg) 0.0435
     train: epoch 13 loss 0.098460  auc  0.0000 MAE  0.1536 rmse  0.2236  df(ActivateDay.Avg) 0.0389
               valid loss 0.930555  auc  0.0000 MAE  0.1523 rmse  0.2472  df(ActivateDay.Avg) 0.2170
     train: epoch 14 loss 0.097354  auc  0.0000 MAE  0.1525 rmse  0.2224  df(ActivateDay.Avg) 0.0266
               valid loss 0.590775  auc  0.0000 MAE  0.1816 rmse  0.2493  df(ActivateDay.Avg) 0.0184
