{'model_name': 'FLTADP', 'week_embedding_size': 30, 'week_num': 7, 'time_interval_embedding_size': 30, 'u_embedding_size': 64, 'embedding_size': 64, 'hidden_size': 20, 'num_attention_head': 1, 'batch_norm_decay': 0.095, 'dimension_1': 60, 'deep_layers': [100, 50], 'context_size': 32, 'dropout_p': 0.1, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'imbalance_stratage': {'label_smooth_kernel': 'gaussian', 'label_smooth_size': 3, 'label_smooth_sigma': 2, 'feature_smooth_kernel': 'gaussian', 'feature_smooth_size': 15, 'feature_smooth_sigma': 5}, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'Kwai', 'day': 14, 'future_day': 16, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'bce_weight': 1.0, 'fine_grained': 1, 'device': device(type='cuda', index=0), 'u_feat_size': 2948, 'u_field_size': 2, 'a_feat_size': 6, 'a_field_size': 6, 'input_size': 6, 'day_numpy_train': array([3878,  688,  510,  374,  302,  262,  250,  187,  171,  166,  161,
        124,  124,  163,  169,  202,  342])}
      train: epoch 0 loss 0.602518  MAE  0.1761  rmse  0.2510  df(ActivateDay.Avg) 0.0597
               valid loss 0.126809  MAE  0.1459  rmse  0.2077  df(ActivateDay.Avg) 0.0825
                test loss 0.125761  MAE  0.1460  rmse  0.2090  df(ActivateDay.Avg) 0.0656
      train: epoch 1 loss 0.381536  MAE  0.1520  rmse  0.2138  df(ActivateDay.Avg) 0.0131
               valid loss 0.124869  MAE  0.1624  rmse  0.2089  df(ActivateDay.Avg) 0.1817
      train: epoch 2 loss 0.376402  MAE  0.1510  rmse  0.2119  df(ActivateDay.Avg) 0.0016
               valid loss 0.123593  MAE  0.1431  rmse  0.2065  df(ActivateDay.Avg) 0.0952
                test loss 0.122819  MAE  0.1431  rmse  0.2078  df(ActivateDay.Avg) 0.0752
      train: epoch 3 loss 0.375572  MAE  0.1494  rmse  0.2116  df(ActivateDay.Avg) 0.0173
               valid loss 0.125071  MAE  0.1648  rmse  0.2101  df(ActivateDay.Avg) 0.2271
      train: epoch 4 loss 0.372863  MAE  0.1491  rmse  0.2099  df(ActivateDay.Avg) 0.0028
               valid loss 0.123049  MAE  0.1465  rmse  0.2059  df(ActivateDay.Avg) 0.0885
                test loss 0.122253  MAE  0.1464  rmse  0.2078  df(ActivateDay.Avg) 0.0696
      train: epoch 5 loss 0.371726  MAE  0.1491  rmse  0.2093  df(ActivateDay.Avg) 0.0042
               valid loss 0.122858  MAE  0.1559  rmse  0.2057  df(ActivateDay.Avg) 0.0928
                test loss 0.122413  MAE  0.1562  rmse  0.2080  df(ActivateDay.Avg) 0.1180
      train: epoch 6 loss 0.370507  MAE  0.1475  rmse  0.2087  df(ActivateDay.Avg) 0.0079
               valid loss 0.122256  MAE  0.1524  rmse  0.2045  df(ActivateDay.Avg) 0.1134
                test loss 0.122036  MAE  0.1519  rmse  0.2077  df(ActivateDay.Avg) 0.1376
      train: epoch 7 loss 0.370983  MAE  0.1483  rmse  0.2097  df(ActivateDay.Avg) 0.0069
               valid loss 0.121956  MAE  0.1442  rmse  0.2048  df(ActivateDay.Avg) 0.0148
      train: epoch 8 loss 0.367856  MAE  0.1473  rmse  0.2077  df(ActivateDay.Avg) 0.0015
               valid loss 0.123063  MAE  0.1440  rmse  0.2080  df(ActivateDay.Avg) 0.1369
      train: epoch 9 loss 0.367792  MAE  0.1477  rmse  0.2084  df(ActivateDay.Avg) 0.0021
               valid loss 0.122984  MAE  0.1364  rmse  0.2103  df(ActivateDay.Avg) 0.2342
     train: epoch 10 loss 0.363601  MAE  0.1445  rmse  0.2054  df(ActivateDay.Avg) 0.0164
               valid loss 0.120137  MAE  0.1388  rmse  0.2026  df(ActivateDay.Avg) 0.0586
