{'model_name': 'FLTADP', 'week_embedding_size': 30, 'week_num': 7, 'time_interval_embedding_size': 30, 'u_embedding_size': 64, 'embedding_size': 64, 'hidden_size': 20, 'num_attention_head': 1, 'batch_norm_decay': 0.095, 'dimension_1': 60, 'deep_layers': [100, 50], 'context_size': 32, 'dropout_p': 0.1, 'multi_task_enable': 0, 'imbalance_stratage_enable': 0, 'imbalance_stratage': {'label_smooth_kernel': 'gaussian', 'label_smooth_size': 3, 'label_smooth_sigma': 2, 'feature_smooth_kernel': 'gaussian', 'feature_smooth_size': 15, 'feature_smooth_sigma': 5}, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 7, 'bce_weight': 1.0, 'fine_grained': 1, 'device': device(type='cuda', index=7), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([12113,  4083,  2399,  1789,  1526,  1247,  1000,   763,   687,
         531,   402,   323,   254,   173,   121,    82,    77,    50,
          35,    24,    18,    12,    10,     9])}
      train: epoch 0 loss 0.138892  MAE  0.1041  rmse  0.1482  df(ActivateDay.Avg) 0.0566
               valid loss 0.036761  MAE  0.0927  rmse  0.1336  df(ActivateDay.Avg) 0.0979
                test loss 0.056010  MAE  0.1741  rmse  0.2324  df(ActivateDay.Avg) 0.6015
      train: epoch 1 loss 0.111504  MAE  0.0949  rmse  0.1340  df(ActivateDay.Avg) 0.0320
               valid loss 0.038043  MAE  0.0896  rmse  0.1365  df(ActivateDay.Avg) 0.2633
      train: epoch 2 loss 0.111228  MAE  0.0945  rmse  0.1339  df(ActivateDay.Avg) 0.0362
               valid loss 0.036581  MAE  0.0939  rmse  0.1335  df(ActivateDay.Avg) 0.0915
                test loss 0.056297  MAE  0.1749  rmse  0.2331  df(ActivateDay.Avg) 0.6093
      train: epoch 3 loss 0.111264  MAE  0.0943  rmse  0.1339  df(ActivateDay.Avg) 0.0384
               valid loss 0.036784  MAE  0.0994  rmse  0.1332  df(ActivateDay.Avg) 0.0767
                test loss 0.050728  MAE  0.1649  rmse  0.2217  df(ActivateDay.Avg) 0.5424
      train: epoch 4 loss 0.110990  MAE  0.0943  rmse  0.1337  df(ActivateDay.Avg) 0.0394
               valid loss 0.036296  MAE  0.0958  rmse  0.1328  df(ActivateDay.Avg) 0.0258
                test loss 0.053815  MAE  0.1704  rmse  0.2281  df(ActivateDay.Avg) 0.5828
      train: epoch 5 loss 0.110849  MAE  0.0943  rmse  0.1337  df(ActivateDay.Avg) 0.0392
               valid loss 0.036353  MAE  0.0924  rmse  0.1327  df(ActivateDay.Avg) 0.0768
                test loss 0.055281  MAE  0.1736  rmse  0.2309  df(ActivateDay.Avg) 0.5954
      train: epoch 6 loss 0.110436  MAE  0.0940  rmse  0.1334  df(ActivateDay.Avg) 0.0373
               valid loss 0.036208  MAE  0.0927  rmse  0.1328  df(ActivateDay.Avg) 0.1012
      train: epoch 7 loss 0.110379  MAE  0.0938  rmse  0.1334  df(ActivateDay.Avg) 0.0414
               valid loss 0.037655  MAE  0.1002  rmse  0.1349  df(ActivateDay.Avg) 0.0485
      train: epoch 8 loss 0.110809  MAE  0.0943  rmse  0.1336  df(ActivateDay.Avg) 0.0365
               valid loss 0.036186  MAE  0.0959  rmse  0.1323  df(ActivateDay.Avg) 0.0084
                test loss 0.052450  MAE  0.1680  rmse  0.2253  df(ActivateDay.Avg) 0.5666
      train: epoch 9 loss 0.110109  MAE  0.0937  rmse  0.1332  df(ActivateDay.Avg) 0.0411
               valid loss 0.036163  MAE  0.0934  rmse  0.1325  df(ActivateDay.Avg) 0.0559
     train: epoch 10 loss 0.110146  MAE  0.0939  rmse  0.1332  df(ActivateDay.Avg) 0.0365
               valid loss 0.036166  MAE  0.0922  rmse  0.1326  df(ActivateDay.Avg) 0.0954
     train: epoch 11 loss 0.110009  MAE  0.0938  rmse  0.1332  df(ActivateDay.Avg) 0.0393
               valid loss 0.036327  MAE  0.0924  rmse  0.1325  df(ActivateDay.Avg) 0.0580
     train: epoch 12 loss 0.109740  MAE  0.0934  rmse  0.1330  df(ActivateDay.Avg) 0.0425
               valid loss 0.036158  MAE  0.0938  rmse  0.1327  df(ActivateDay.Avg) 0.0754
     train: epoch 13 loss 0.109592  MAE  0.0935  rmse  0.1329  df(ActivateDay.Avg) 0.0373
               valid loss 0.036468  MAE  0.0921  rmse  0.1334  df(ActivateDay.Avg) 0.1390
     train: epoch 14 loss 0.109467  MAE  0.0935  rmse  0.1329  df(ActivateDay.Avg) 0.0402
               valid loss 0.036491  MAE  0.0964  rmse  0.1324  df(ActivateDay.Avg) 0.0636
     train: epoch 15 loss 0.109725  MAE  0.0935  rmse  0.1330  df(ActivateDay.Avg) 0.0411
               valid loss 0.036240  MAE  0.0948  rmse  0.1326  df(ActivateDay.Avg) 0.0320
     train: epoch 16 loss 0.109605  MAE  0.0934  rmse  0.1329  df(ActivateDay.Avg) 0.0392
               valid loss 0.036232  MAE  0.0973  rmse  0.1321  df(ActivateDay.Avg) 0.0616
                test loss 0.050709  MAE  0.1650  rmse  0.2216  df(ActivateDay.Avg) 0.5437
     train: epoch 17 loss 0.109511  MAE  0.0934  rmse  0.1329  df(ActivateDay.Avg) 0.0396
