{'model_name': 'CLSA', 'clas_conv2_kernel': 3, 'clsa_conv2_output_size': 7, 'clas_pool_kernel': 2, 'lstm_input_size': 100, 'hidden_size': 14, 'attention_input_size': 28, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 1, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=1), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23234,  6098,  3407,  2410,  1978,  1630,  1340,  1008,   816,
         651,   496,   359,   271,   194,   143,    95,    81,    65,
          32,    27,    21,    15,    10,    15])}
      train: epoch 0 loss 0.208587  auc  0.0000 MAE  0.0990 rmse  0.1388  df(ActivateDay.Avg) 0.0708
               valid loss 4.255603  auc  0.0000 MAE  0.0957 rmse  0.1306  df(ActivateDay.Avg) 0.0673
                test loss 11.341491  auc  0.0000 MAE  0.0947 rmse  0.1289  df(ActivateDay.Avg) 0.0832
      train: epoch 1 loss 0.184074  auc  0.0000 MAE  0.0929 rmse  0.1304  df(ActivateDay.Avg) 0.0020
               valid loss 4.416619  auc  0.0000 MAE  0.0925 rmse  0.1303  df(ActivateDay.Avg) 0.0401
                test loss 11.771077  auc  0.0000 MAE  0.0916 rmse  0.1288  df(ActivateDay.Avg) 0.0259
      train: epoch 2 loss 0.183578  auc  0.0000 MAE  0.0927 rmse  0.1302  df(ActivateDay.Avg) 0.0026
               valid loss 4.448281  auc  0.0000 MAE  0.0917 rmse  0.1304  df(ActivateDay.Avg) 0.0504
      train: epoch 3 loss 0.183444  auc  0.0000 MAE  0.0927 rmse  0.1302  df(ActivateDay.Avg) 0.0004
               valid loss 4.412462  auc  0.0000 MAE  0.0921 rmse  0.1303  df(ActivateDay.Avg) 0.0266
                test loss 11.755748  auc  0.0000 MAE  0.0912 rmse  0.1285  df(ActivateDay.Avg) 0.0109
      train: epoch 4 loss 0.183210  auc  0.0000 MAE  0.0926 rmse  0.1301  df(ActivateDay.Avg) 0.0034
               valid loss 4.356224  auc  0.0000 MAE  0.0934 rmse  0.1301  df(ActivateDay.Avg) 0.0017
                test loss 11.606431  auc  0.0000 MAE  0.0925 rmse  0.1285  df(ActivateDay.Avg) 0.0135
      train: epoch 5 loss 0.183419  auc  0.0000 MAE  0.0926 rmse  0.1302  df(ActivateDay.Avg) 0.0027
               valid loss 4.256437  auc  0.0000 MAE  0.0954 rmse  0.1301  df(ActivateDay.Avg) 0.0639
      train: epoch 6 loss 0.183343  auc  0.0000 MAE  0.0927 rmse  0.1301  df(ActivateDay.Avg) 0.0018
               valid loss 4.231626  auc  0.0000 MAE  0.0959 rmse  0.1301  df(ActivateDay.Avg) 0.0814
      train: epoch 7 loss 0.183249  auc  0.0000 MAE  0.0925 rmse  0.1301  df(ActivateDay.Avg) 0.0026
               valid loss 4.245835  auc  0.0000 MAE  0.0954 rmse  0.1307  df(ActivateDay.Avg) 0.0864
      train: epoch 8 loss 0.183001  auc  0.0000 MAE  0.0925 rmse  0.1300  df(ActivateDay.Avg) 0.0029
               valid loss 4.296133  auc  0.0000 MAE  0.0945 rmse  0.1302  df(ActivateDay.Avg) 0.0393
      train: epoch 9 loss 0.183213  auc  0.0000 MAE  0.0927 rmse  0.1301  df(ActivateDay.Avg) 0.0009
               valid loss 4.564483  auc  0.0000 MAE  0.0893 rmse  0.1305  df(ActivateDay.Avg) 0.1096
     train: epoch 10 loss 0.182813  auc  0.0000 MAE  0.0925 rmse  0.1299  df(ActivateDay.Avg) 0.0017
               valid loss 4.296646  auc  0.0000 MAE  0.0942 rmse  0.1301  df(ActivateDay.Avg) 0.0463
     train: epoch 11 loss 0.182914  auc  0.0000 MAE  0.0925 rmse  0.1300  df(ActivateDay.Avg) 0.0028
               valid loss 4.276818  auc  0.0000 MAE  0.0946 rmse  0.1300  df(ActivateDay.Avg) 0.0552
