{'model_name': 'CFIN', 'conv_size': 256, 'context_size': 32, 'embedding_size': 64, 'deep_layers': [100, 50], 'attn_enable': 1, 'attn_size': 128, 'kernel_size': 5, 'stride': 5, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'dropout_p': 0.1, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 0.230426  auc  0.0000 MAE  0.0920 rmse  0.1459  df(ActivateDay.Avg) 0.2522
               valid loss 4.552718  auc  0.0000 MAE  0.0909 rmse  0.1358  df(ActivateDay.Avg) 0.0018
                test loss 12.485821  auc  0.0000 MAE  0.0901 rmse  0.1362  df(ActivateDay.Avg) 0.0446
      train: epoch 1 loss 0.192265  auc  0.0000 MAE  0.0907 rmse  0.1333  df(ActivateDay.Avg) 0.0554
               valid loss 4.489777  auc  0.0000 MAE  0.0869 rmse  0.1295  df(ActivateDay.Avg) 0.0830
                test loss 12.339423  auc  0.0000 MAE  0.0862 rmse  0.1299  df(ActivateDay.Avg) 0.1210
      train: epoch 2 loss 0.185563  auc  0.0000 MAE  0.0900 rmse  0.1309  df(ActivateDay.Avg) 0.0360
               valid loss 4.453767  auc  0.0000 MAE  0.0860 rmse  0.1273  df(ActivateDay.Avg) 0.0846
                test loss 12.112914  auc  0.0000 MAE  0.0857 rmse  0.1271  df(ActivateDay.Avg) 0.1013
      train: epoch 3 loss 0.183147  auc  0.0000 MAE  0.0901 rmse  0.1301  df(ActivateDay.Avg) 0.0249
               valid loss 4.072948  auc  0.0000 MAE  0.0945 rmse  0.1282  df(ActivateDay.Avg) 0.1628
      train: epoch 4 loss 0.182471  auc  0.0000 MAE  0.0902 rmse  0.1298  df(ActivateDay.Avg) 0.0195
               valid loss 4.016077  auc  0.0000 MAE  0.0967 rmse  0.1283  df(ActivateDay.Avg) 0.1916
      train: epoch 5 loss 0.180787  auc  0.0000 MAE  0.0899 rmse  0.1292  df(ActivateDay.Avg) 0.0194
               valid loss 4.185549  auc  0.0000 MAE  0.0912 rmse  0.1281  df(ActivateDay.Avg) 0.0961
      train: epoch 6 loss 0.180377  auc  0.0000 MAE  0.0900 rmse  0.1291  df(ActivateDay.Avg) 0.0151
               valid loss 4.148176  auc  0.0000 MAE  0.0926 rmse  0.1285  df(ActivateDay.Avg) 0.1199
      train: epoch 7 loss 0.180884  auc  0.0000 MAE  0.0899 rmse  0.1292  df(ActivateDay.Avg) 0.0174
               valid loss 4.314457  auc  0.0000 MAE  0.0880 rmse  0.1271  df(ActivateDay.Avg) 0.0144
                test loss 11.753912  auc  0.0000 MAE  0.0875 rmse  0.1264  df(ActivateDay.Avg) 0.0065
