{'model_name': 'CLSA', 'clas_conv2_kernel': 3, 'clsa_conv2_output_size': 7, 'clas_pool_kernel': 2, 'lstm_input_size': 100, 'hidden_size': 14, 'attention_input_size': 28, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 2, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=2), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 0.212141  auc  0.0000 MAE  0.1003 rmse  0.1400  df(ActivateDay.Avg) 0.0781
               valid loss 4.295833  auc  0.0000 MAE  0.0938 rmse  0.1307  df(ActivateDay.Avg) 0.0181
                test loss 11.629467  auc  0.0000 MAE  0.0933 rmse  0.1300  df(ActivateDay.Avg) 0.0058
      train: epoch 1 loss 0.187506  auc  0.0000 MAE  0.0941 rmse  0.1316  df(ActivateDay.Avg) 0.0004
               valid loss 4.343995  auc  0.0000 MAE  0.0924 rmse  0.1304  df(ActivateDay.Avg) 0.0077
                test loss 11.764434  auc  0.0000 MAE  0.0920 rmse  0.1297  df(ActivateDay.Avg) 0.0196
      train: epoch 2 loss 0.187167  auc  0.0000 MAE  0.0938 rmse  0.1315  df(ActivateDay.Avg) 0.0061
               valid loss 3.928448  auc  0.0000 MAE  0.1027 rmse  0.1325  df(ActivateDay.Avg) 0.2944
      train: epoch 3 loss 0.186594  auc  0.0000 MAE  0.0938 rmse  0.1313  df(ActivateDay.Avg) 0.0004
               valid loss 4.145630  auc  0.0000 MAE  0.0963 rmse  0.1303  df(ActivateDay.Avg) 0.1248
                test loss 11.227770  auc  0.0000 MAE  0.0958 rmse  0.1295  df(ActivateDay.Avg) 0.1109
      train: epoch 4 loss 0.185807  auc  0.0000 MAE  0.0936 rmse  0.1310  df(ActivateDay.Avg) 0.0041
               valid loss 4.085212  auc  0.0000 MAE  0.0980 rmse  0.1305  df(ActivateDay.Avg) 0.1635
      train: epoch 5 loss 0.185366  auc  0.0000 MAE  0.0937 rmse  0.1308  df(ActivateDay.Avg) 0.0010
               valid loss 4.421661  auc  0.0000 MAE  0.0901 rmse  0.1297  df(ActivateDay.Avg) 0.0509
                test loss 11.977077  auc  0.0000 MAE  0.0898 rmse  0.1289  df(ActivateDay.Avg) 0.0615
      train: epoch 6 loss 0.184748  auc  0.0000 MAE  0.0933 rmse  0.1306  df(ActivateDay.Avg) 0.0032
               valid loss 4.416374  auc  0.0000 MAE  0.0905 rmse  0.1298  df(ActivateDay.Avg) 0.0544
      train: epoch 7 loss 0.184663  auc  0.0000 MAE  0.0934 rmse  0.1306  df(ActivateDay.Avg) 0.0003
               valid loss 4.297384  auc  0.0000 MAE  0.0922 rmse  0.1297  df(ActivateDay.Avg) 0.0292
      train: epoch 8 loss 0.184214  auc  0.0000 MAE  0.0933 rmse  0.1304  df(ActivateDay.Avg) 0.0009
               valid loss 4.454938  auc  0.0000 MAE  0.0895 rmse  0.1297  df(ActivateDay.Avg) 0.0771
                test loss 12.068216  auc  0.0000 MAE  0.0894 rmse  0.1290  df(ActivateDay.Avg) 0.0872
      train: epoch 9 loss 0.184329  auc  0.0000 MAE  0.0933 rmse  0.1305  df(ActivateDay.Avg) 0.0003
               valid loss 4.257740  auc  0.0000 MAE  0.0939 rmse  0.1297  df(ActivateDay.Avg) 0.0388
     train: epoch 10 loss 0.184007  auc  0.0000 MAE  0.0932 rmse  0.1304  df(ActivateDay.Avg) 0.0002
               valid loss 4.242023  auc  0.0000 MAE  0.0935 rmse  0.1295  df(ActivateDay.Avg) 0.0603
                test loss 11.484648  auc  0.0000 MAE  0.0932 rmse  0.1287  df(ActivateDay.Avg) 0.0499
     train: epoch 11 loss 0.184055  auc  0.0000 MAE  0.0932 rmse  0.1304  df(ActivateDay.Avg) 0.0007
               valid loss 4.426388  auc  0.0000 MAE  0.0901 rmse  0.1296  df(ActivateDay.Avg) 0.0618
     train: epoch 12 loss 0.183646  auc  0.0000 MAE  0.0931 rmse  0.1302  df(ActivateDay.Avg) 0.0012
               valid loss 4.240401  auc  0.0000 MAE  0.0937 rmse  0.1295  df(ActivateDay.Avg) 0.0574
                test loss 11.476535  auc  0.0000 MAE  0.0935 rmse  0.1287  df(ActivateDay.Avg) 0.0472
     train: epoch 13 loss 0.183853  auc  0.0000 MAE  0.0931 rmse  0.1303  df(ActivateDay.Avg) 0.0009
               valid loss 4.082254  auc  0.0000 MAE  0.0973 rmse  0.1302  df(ActivateDay.Avg) 0.1740
     train: epoch 14 loss 0.183504  auc  0.0000 MAE  0.0932 rmse  0.1302  df(ActivateDay.Avg) 0.0027
               valid loss 4.204997  auc  0.0000 MAE  0.0943 rmse  0.1296  df(ActivateDay.Avg) 0.0836
     train: epoch 15 loss 0.183655  auc  0.0000 MAE  0.0930 rmse  0.1302  df(ActivateDay.Avg) 0.0025
               valid loss 4.321817  auc  0.0000 MAE  0.0919 rmse  0.1294  df(ActivateDay.Avg) 0.0070
                test loss 11.700807  auc  0.0000 MAE  0.0917 rmse  0.1286  df(ActivateDay.Avg) 0.0024
     train: epoch 16 loss 0.183664  auc  0.0000 MAE  0.0931 rmse  0.1302  df(ActivateDay.Avg) 0.0006
               valid loss 4.308139  auc  0.0000 MAE  0.0923 rmse  0.1294  df(ActivateDay.Avg) 0.0138
     train: epoch 17 loss 0.183418  auc  0.0000 MAE  0.0930 rmse  0.1302  df(ActivateDay.Avg) 0.0012
               valid loss 4.351053  auc  0.0000 MAE  0.0913 rmse  0.1294  df(ActivateDay.Avg) 0.0138
                test loss 11.778215  auc  0.0000 MAE  0.0911 rmse  0.1286  df(ActivateDay.Avg) 0.0230
     train: epoch 18 loss 0.183544  auc  0.0000 MAE  0.0931 rmse  0.1302  df(ActivateDay.Avg) 0.0016
               valid loss 4.389584  auc  0.0000 MAE  0.0903 rmse  0.1293  df(ActivateDay.Avg) 0.0334
                test loss 11.884828  auc  0.0000 MAE  0.0902 rmse  0.1285  df(ActivateDay.Avg) 0.0423
     train: epoch 19 loss 0.183486  auc  0.0000 MAE  0.0931 rmse  0.1302  df(ActivateDay.Avg) 0.0006
               valid loss 4.337441  auc  0.0000 MAE  0.0913 rmse  0.1293  df(ActivateDay.Avg) 0.0008
                test loss 11.742378  auc  0.0000 MAE  0.0912 rmse  0.1285  df(ActivateDay.Avg) 0.0097
     train: epoch 20 loss 0.183464  auc  0.0000 MAE  0.0930 rmse  0.1302  df(ActivateDay.Avg) 0.0019
               valid loss 4.258782  auc  0.0000 MAE  0.0933 rmse  0.1294  df(ActivateDay.Avg) 0.0422
     train: epoch 21 loss 0.183504  auc  0.0000 MAE  0.0931 rmse  0.1302  df(ActivateDay.Avg) 0.0001
               valid loss 4.255897  auc  0.0000 MAE  0.0934 rmse  0.1294  df(ActivateDay.Avg) 0.0455
     train: epoch 22 loss 0.183135  auc  0.0000 MAE  0.0931 rmse  0.1300  df(ActivateDay.Avg) 0.0022
               valid loss 4.365806  auc  0.0000 MAE  0.0910 rmse  0.1293  df(ActivateDay.Avg) 0.0227
     train: epoch 23 loss 0.183538  auc  0.0000 MAE  0.0930 rmse  0.1302  df(ActivateDay.Avg) 0.0010
               valid loss 4.271244  auc  0.0000 MAE  0.0930 rmse  0.1294  df(ActivateDay.Avg) 0.0350
     train: epoch 24 loss 0.183466  auc  0.0000 MAE  0.0931 rmse  0.1302  df(ActivateDay.Avg) 0.0012
               valid loss 4.303057  auc  0.0000 MAE  0.0922 rmse  0.1293  df(ActivateDay.Avg) 0.0180
                test loss 11.644811  auc  0.0000 MAE  0.0920 rmse  0.1285  df(ActivateDay.Avg) 0.0098
     train: epoch 25 loss 0.183388  auc  0.0000 MAE  0.0931 rmse  0.1301  df(ActivateDay.Avg) 0.0002
               valid loss 4.231095  auc  0.0000 MAE  0.0936 rmse  0.1294  df(ActivateDay.Avg) 0.0699
     train: epoch 26 loss 0.183258  auc  0.0000 MAE  0.0930 rmse  0.1301  df(ActivateDay.Avg) 0.0003
               valid loss 4.345644  auc  0.0000 MAE  0.0915 rmse  0.1293  df(ActivateDay.Avg) 0.0119
     train: epoch 27 loss 0.183412  auc  0.0000 MAE  0.0931 rmse  0.1301  df(ActivateDay.Avg) 0.0008
               valid loss 4.304734  auc  0.0000 MAE  0.0920 rmse  0.1293  df(ActivateDay.Avg) 0.0190
     train: epoch 28 loss 0.183156  auc  0.0000 MAE  0.0930 rmse  0.1301  df(ActivateDay.Avg) 0.0013
               valid loss 4.291777  auc  0.0000 MAE  0.0925 rmse  0.1293  df(ActivateDay.Avg) 0.0226
     train: epoch 29 loss 0.183404  auc  0.0000 MAE  0.0931 rmse  0.1301  df(ActivateDay.Avg) 0.0011
               valid loss 4.241304  auc  0.0000 MAE  0.0935 rmse  0.1293  df(ActivateDay.Avg) 0.0565
     train: epoch 30 loss 0.183228  auc  0.0000 MAE  0.0930 rmse  0.1301  df(ActivateDay.Avg) 0.0004
