{'model_name': 'LSCNN', 'embedding_size': 64, 'hidden_size': 8, 'lstm_2_input_size': 100, 'lscnn_conv2_kernel': 3, 'lscnn_conv2_outputsize': 20, 'lscnn_pool_kernel': 2, 'dropout_p': 0.1, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 7, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=7), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 0.201259  auc  0.0000 MAE  0.0963 rmse  0.1363  df(ActivateDay.Avg) 0.1004
               valid loss 4.423253  auc  0.0000 MAE  0.0855 rmse  0.1256  df(ActivateDay.Avg) 0.0603
                test loss 12.044771  auc  0.0000 MAE  0.0858 rmse  0.1258  df(ActivateDay.Avg) 0.0766
      train: epoch 1 loss 0.174978  auc  0.0000 MAE  0.0895 rmse  0.1271  df(ActivateDay.Avg) 0.0038
               valid loss 4.210138  auc  0.0000 MAE  0.0899 rmse  0.1255  df(ActivateDay.Avg) 0.0474
                test loss 11.470026  auc  0.0000 MAE  0.0899 rmse  0.1254  df(ActivateDay.Avg) 0.0268
      train: epoch 2 loss 0.173516  auc  0.0000 MAE  0.0892 rmse  0.1266  df(ActivateDay.Avg) 0.0034
               valid loss 4.059933  auc  0.0000 MAE  0.0925 rmse  0.1255  df(ActivateDay.Avg) 0.1553
      train: epoch 3 loss 0.173140  auc  0.0000 MAE  0.0890 rmse  0.1265  df(ActivateDay.Avg) 0.0035
               valid loss 4.382478  auc  0.0000 MAE  0.0854 rmse  0.1251  df(ActivateDay.Avg) 0.0563
                test loss 11.949917  auc  0.0000 MAE  0.0856 rmse  0.1251  df(ActivateDay.Avg) 0.0752
      train: epoch 4 loss 0.172742  auc  0.0000 MAE  0.0890 rmse  0.1263  df(ActivateDay.Avg) 0.0041
               valid loss 4.436125  auc  0.0000 MAE  0.0840 rmse  0.1248  df(ActivateDay.Avg) 0.0815
                test loss 12.089838  auc  0.0000 MAE  0.0843 rmse  0.1249  df(ActivateDay.Avg) 0.0971
