{'model_name': 'MLP', 'embedding_size': 64, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'deep_layers': [100, 50], 'dropout_p': 0.2, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 4, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=4), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 0.227423  auc  0.0000 MAE  0.0941 rmse  0.1449  df(ActivateDay.Avg) 0.1446
               valid loss 4.184431  auc  0.0000 MAE  0.0927 rmse  0.1305  df(ActivateDay.Avg) 0.1268
                test loss 11.489120  auc  0.0000 MAE  0.0919 rmse  0.1304  df(ActivateDay.Avg) 0.0843
      train: epoch 1 loss 0.191481  auc  0.0000 MAE  0.0912 rmse  0.1330  df(ActivateDay.Avg) 0.0349
               valid loss 4.202195  auc  0.0000 MAE  0.0909 rmse  0.1287  df(ActivateDay.Avg) 0.1096
                test loss 11.477391  auc  0.0000 MAE  0.0907 rmse  0.1283  df(ActivateDay.Avg) 0.0838
      train: epoch 2 loss 0.181750  auc  0.0000 MAE  0.0903 rmse  0.1296  df(ActivateDay.Avg) 0.0126
               valid loss 4.320446  auc  0.0000 MAE  0.0877 rmse  0.1261  df(ActivateDay.Avg) 0.0052
                test loss 11.767359  auc  0.0000 MAE  0.0876 rmse  0.1257  df(ActivateDay.Avg) 0.0210
      train: epoch 3 loss 0.178238  auc  0.0000 MAE  0.0897 rmse  0.1283  df(ActivateDay.Avg) 0.0096
               valid loss 4.367912  auc  0.0000 MAE  0.0867 rmse  0.1262  df(ActivateDay.Avg) 0.0272
      train: epoch 4 loss 0.177506  auc  0.0000 MAE  0.0898 rmse  0.1280  df(ActivateDay.Avg) 0.0091
               valid loss 4.372294  auc  0.0000 MAE  0.0867 rmse  0.1261  df(ActivateDay.Avg) 0.0390
      train: epoch 5 loss 0.177658  auc  0.0000 MAE  0.0899 rmse  0.1281  df(ActivateDay.Avg) 0.0082
               valid loss 4.349564  auc  0.0000 MAE  0.0869 rmse  0.1258  df(ActivateDay.Avg) 0.0249
                test loss 11.828488  auc  0.0000 MAE  0.0867 rmse  0.1252  df(ActivateDay.Avg) 0.0390
      train: epoch 6 loss 0.177417  auc  0.0000 MAE  0.0897 rmse  0.1280  df(ActivateDay.Avg) 0.0082
               valid loss 4.318612  auc  0.0000 MAE  0.0882 rmse  0.1264  df(ActivateDay.Avg) 0.0138
      train: epoch 7 loss 0.177621  auc  0.0000 MAE  0.0899 rmse  0.1281  df(ActivateDay.Avg) 0.0067
               valid loss 4.171924  auc  0.0000 MAE  0.0911 rmse  0.1263  df(ActivateDay.Avg) 0.0872
      train: epoch 8 loss 0.177448  auc  0.0000 MAE  0.0899 rmse  0.1280  df(ActivateDay.Avg) 0.0072
               valid loss 4.348067  auc  0.0000 MAE  0.0870 rmse  0.1260  df(ActivateDay.Avg) 0.0184
      train: epoch 9 loss 0.177269  auc  0.0000 MAE  0.0899 rmse  0.1279  df(ActivateDay.Avg) 0.0052
               valid loss 4.405120  auc  0.0000 MAE  0.0858 rmse  0.1260  df(ActivateDay.Avg) 0.0537
     train: epoch 10 loss 0.177233  auc  0.0000 MAE  0.0899 rmse  0.1279  df(ActivateDay.Avg) 0.0048
               valid loss 4.291092  auc  0.0000 MAE  0.0891 rmse  0.1267  df(ActivateDay.Avg) 0.0004
     train: epoch 11 loss 0.177578  auc  0.0000 MAE  0.0901 rmse  0.1281  df(ActivateDay.Avg) 0.0027
               valid loss 4.304108  auc  0.0000 MAE  0.0880 rmse  0.1260  df(ActivateDay.Avg) 0.0014
     train: epoch 12 loss 0.177571  auc  0.0000 MAE  0.0898 rmse  0.1281  df(ActivateDay.Avg) 0.0075
               valid loss 4.286712  auc  0.0000 MAE  0.0885 rmse  0.1260  df(ActivateDay.Avg) 0.0078
     train: epoch 13 loss 0.177717  auc  0.0000 MAE  0.0900 rmse  0.1281  df(ActivateDay.Avg) 0.0035
               valid loss 4.338330  auc  0.0000 MAE  0.0873 rmse  0.1260  df(ActivateDay.Avg) 0.0205
     train: epoch 14 loss 0.176973  auc  0.0000 MAE  0.0899 rmse  0.1278  df(ActivateDay.Avg) 0.0018
               valid loss 4.261577  auc  0.0000 MAE  0.0891 rmse  0.1269  df(ActivateDay.Avg) 0.0437
     train: epoch 15 loss 0.176808  auc  0.0000 MAE  0.0899 rmse  0.1278  df(ActivateDay.Avg) 0.0036
               valid loss 4.088924  auc  0.0000 MAE  0.0927 rmse  0.1265  df(ActivateDay.Avg) 0.1448
     train: epoch 16 loss 0.177023  auc  0.0000 MAE  0.0899 rmse  0.1279  df(ActivateDay.Avg) 0.0020
               valid loss 4.215821  auc  0.0000 MAE  0.0900 rmse  0.1259  df(ActivateDay.Avg) 0.0508
     train: epoch 17 loss 0.176902  auc  0.0000 MAE  0.0901 rmse  0.1278  df(ActivateDay.Avg) 0.0024
