{'model_name': 'CLSA', 'clas_conv2_kernel': 3, 'clsa_conv2_output_size': 7, 'clas_pool_kernel': 2, 'lstm_input_size': 100, 'hidden_size': 14, 'attention_input_size': 28, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 3, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=3), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 0.212726  auc  0.0000 MAE  0.1001 rmse  0.1402  df(ActivateDay.Avg) 0.0761
               valid loss 4.417624  auc  0.0000 MAE  0.0928 rmse  0.1299  df(ActivateDay.Avg) 0.0265
                test loss 11.729441  auc  0.0000 MAE  0.0925 rmse  0.1294  df(ActivateDay.Avg) 0.0189
      train: epoch 1 loss 0.185689  auc  0.0000 MAE  0.0935 rmse  0.1310  df(ActivateDay.Avg) 0.0010
               valid loss 4.484242  auc  0.0000 MAE  0.0905 rmse  0.1295  df(ActivateDay.Avg) 0.0520
                test loss 11.903635  auc  0.0000 MAE  0.0902 rmse  0.1289  df(ActivateDay.Avg) 0.0419
      train: epoch 2 loss 0.185231  auc  0.0000 MAE  0.0931 rmse  0.1308  df(ActivateDay.Avg) 0.0026
               valid loss 4.722219  auc  0.0000 MAE  0.0873 rmse  0.1306  df(ActivateDay.Avg) 0.1875
      train: epoch 3 loss 0.184666  auc  0.0000 MAE  0.0930 rmse  0.1306  df(ActivateDay.Avg) 0.0022
               valid loss 4.059441  auc  0.0000 MAE  0.1001 rmse  0.1306  df(ActivateDay.Avg) 0.2227
      train: epoch 4 loss 0.184911  auc  0.0000 MAE  0.0930 rmse  0.1307  df(ActivateDay.Avg) 0.0033
               valid loss 4.401744  auc  0.0000 MAE  0.0924 rmse  0.1293  df(ActivateDay.Avg) 0.0138
                test loss 11.680402  auc  0.0000 MAE  0.0921 rmse  0.1287  df(ActivateDay.Avg) 0.0043
      train: epoch 5 loss 0.184352  auc  0.0000 MAE  0.0931 rmse  0.1305  df(ActivateDay.Avg) 0.0009
               valid loss 4.461698  auc  0.0000 MAE  0.0911 rmse  0.1293  df(ActivateDay.Avg) 0.0462
      train: epoch 6 loss 0.184319  auc  0.0000 MAE  0.0929 rmse  0.1305  df(ActivateDay.Avg) 0.0025
               valid loss 4.290866  auc  0.0000 MAE  0.0945 rmse  0.1293  df(ActivateDay.Avg) 0.0589
      train: epoch 7 loss 0.184510  auc  0.0000 MAE  0.0931 rmse  0.1305  df(ActivateDay.Avg) 0.0003
               valid loss 4.443419  auc  0.0000 MAE  0.0915 rmse  0.1293  df(ActivateDay.Avg) 0.0363
      train: epoch 8 loss 0.184507  auc  0.0000 MAE  0.0930 rmse  0.1305  df(ActivateDay.Avg) 0.0005
               valid loss 4.346316  auc  0.0000 MAE  0.0929 rmse  0.1293  df(ActivateDay.Avg) 0.0338
      train: epoch 9 loss 0.184121  auc  0.0000 MAE  0.0928 rmse  0.1304  df(ActivateDay.Avg) 0.0018
               valid loss 4.201635  auc  0.0000 MAE  0.0962 rmse  0.1295  df(ActivateDay.Avg) 0.1228
     train: epoch 10 loss 0.184110  auc  0.0000 MAE  0.0929 rmse  0.1304  df(ActivateDay.Avg) 0.0020
               valid loss 4.395377  auc  0.0000 MAE  0.0925 rmse  0.1293  df(ActivateDay.Avg) 0.0083
     train: epoch 11 loss 0.183958  auc  0.0000 MAE  0.0929 rmse  0.1303  df(ActivateDay.Avg) 0.0004
               valid loss 4.070969  auc  0.0000 MAE  0.0998 rmse  0.1306  df(ActivateDay.Avg) 0.2148
     train: epoch 12 loss 0.183777  auc  0.0000 MAE  0.0928 rmse  0.1303  df(ActivateDay.Avg) 0.0003
               valid loss 4.328695  auc  0.0000 MAE  0.0934 rmse  0.1291  df(ActivateDay.Avg) 0.0369
                test loss 11.483177  auc  0.0000 MAE  0.0931 rmse  0.1285  df(ActivateDay.Avg) 0.0485
     train: epoch 13 loss 0.183971  auc  0.0000 MAE  0.0929 rmse  0.1303  df(ActivateDay.Avg) 0.0005
               valid loss 4.318708  auc  0.0000 MAE  0.0935 rmse  0.1292  df(ActivateDay.Avg) 0.0466
     train: epoch 14 loss 0.183698  auc  0.0000 MAE  0.0927 rmse  0.1302  df(ActivateDay.Avg) 0.0007
               valid loss 4.421342  auc  0.0000 MAE  0.0920 rmse  0.1292  df(ActivateDay.Avg) 0.0234
     train: epoch 15 loss 0.183674  auc  0.0000 MAE  0.0928 rmse  0.1302  df(ActivateDay.Avg) 0.0003
               valid loss 4.343384  auc  0.0000 MAE  0.0931 rmse  0.1291  df(ActivateDay.Avg) 0.0260
                test loss 11.521543  auc  0.0000 MAE  0.0929 rmse  0.1284  df(ActivateDay.Avg) 0.0372
     train: epoch 16 loss 0.183855  auc  0.0000 MAE  0.0928 rmse  0.1303  df(ActivateDay.Avg) 0.0015
               valid loss 4.318907  auc  0.0000 MAE  0.0936 rmse  0.1291  df(ActivateDay.Avg) 0.0430
                test loss 11.458801  auc  0.0000 MAE  0.0934 rmse  0.1285  df(ActivateDay.Avg) 0.0543
     train: epoch 17 loss 0.183534  auc  0.0000 MAE  0.0928 rmse  0.1302  df(ActivateDay.Avg) 0.0017
               valid loss 4.473977  auc  0.0000 MAE  0.0904 rmse  0.1291  df(ActivateDay.Avg) 0.0449
     train: epoch 18 loss 0.183540  auc  0.0000 MAE  0.0927 rmse  0.1302  df(ActivateDay.Avg) 0.0016
               valid loss 4.343326  auc  0.0000 MAE  0.0930 rmse  0.1291  df(ActivateDay.Avg) 0.0288
     train: epoch 19 loss 0.183733  auc  0.0000 MAE  0.0928 rmse  0.1303  df(ActivateDay.Avg) 0.0002
               valid loss 4.405539  auc  0.0000 MAE  0.0918 rmse  0.1290  df(ActivateDay.Avg) 0.0084
                test loss 11.685359  auc  0.0000 MAE  0.0915 rmse  0.1284  df(ActivateDay.Avg) 0.0027
     train: epoch 20 loss 0.183263  auc  0.0000 MAE  0.0927 rmse  0.1301  df(ActivateDay.Avg) 0.0003
               valid loss 4.551588  auc  0.0000 MAE  0.0895 rmse  0.1294  df(ActivateDay.Avg) 0.0980
     train: epoch 21 loss 0.183475  auc  0.0000 MAE  0.0928 rmse  0.1302  df(ActivateDay.Avg) 0.0003
               valid loss 4.572729  auc  0.0000 MAE  0.0891 rmse  0.1295  df(ActivateDay.Avg) 0.1114
     train: epoch 22 loss 0.183311  auc  0.0000 MAE  0.0927 rmse  0.1301  df(ActivateDay.Avg) 0.0004
               valid loss 4.496015  auc  0.0000 MAE  0.0899 rmse  0.1292  df(ActivateDay.Avg) 0.0551
     train: epoch 23 loss 0.183246  auc  0.0000 MAE  0.0927 rmse  0.1301  df(ActivateDay.Avg) 0.0009
               valid loss 4.266049  auc  0.0000 MAE  0.0949 rmse  0.1292  df(ActivateDay.Avg) 0.0722
     train: epoch 24 loss 0.183402  auc  0.0000 MAE  0.0928 rmse  0.1301  df(ActivateDay.Avg) 0.0006
               valid loss 4.389264  auc  0.0000 MAE  0.0924 rmse  0.1290  df(ActivateDay.Avg) 0.0064
     train: epoch 25 loss 0.183548  auc  0.0000 MAE  0.0928 rmse  0.1302  df(ActivateDay.Avg) 0.0001
               valid loss 4.453054  auc  0.0000 MAE  0.0909 rmse  0.1292  df(ActivateDay.Avg) 0.0319
     train: epoch 26 loss 0.183398  auc  0.0000 MAE  0.0927 rmse  0.1301  df(ActivateDay.Avg) 0.0006
               valid loss 4.463695  auc  0.0000 MAE  0.0907 rmse  0.1291  df(ActivateDay.Avg) 0.0439
     train: epoch 27 loss 0.183470  auc  0.0000 MAE  0.0927 rmse  0.1302  df(ActivateDay.Avg) 0.0006
               valid loss 4.189114  auc  0.0000 MAE  0.0965 rmse  0.1296  df(ActivateDay.Avg) 0.1294
     train: epoch 28 loss 0.183369  auc  0.0000 MAE  0.0928 rmse  0.1301  df(ActivateDay.Avg) 0.0010
               valid loss 4.508183  auc  0.0000 MAE  0.0902 rmse  0.1293  df(ActivateDay.Avg) 0.0711
     train: epoch 29 loss 0.183163  auc  0.0000 MAE  0.0926 rmse  0.1301  df(ActivateDay.Avg) 0.0018
               valid loss 4.382300  auc  0.0000 MAE  0.0925 rmse  0.1290  df(ActivateDay.Avg) 0.0000
     train: epoch 30 loss 0.183301  auc  0.0000 MAE  0.0927 rmse  0.1301  df(ActivateDay.Avg) 0.0003
               valid loss 4.485621  auc  0.0000 MAE  0.0904 rmse  0.1292  df(ActivateDay.Avg) 0.0568
     train: epoch 31 loss 0.183158  auc  0.0000 MAE  0.0928 rmse  0.1301  df(ActivateDay.Avg) 0.0017
               valid loss 4.485526  auc  0.0000 MAE  0.0905 rmse  0.1292  df(ActivateDay.Avg) 0.0613
     train: epoch 32 loss 0.183236  auc  0.0000 MAE  0.0927 rmse  0.1301  df(ActivateDay.Avg) 0.0009
               valid loss 4.298636  auc  0.0000 MAE  0.0939 rmse  0.1291  df(ActivateDay.Avg) 0.0592
     train: epoch 33 loss 0.183156  auc  0.0000 MAE  0.0927 rmse  0.1301  df(ActivateDay.Avg) 0.0017
               valid loss 4.448088  auc  0.0000 MAE  0.0911 rmse  0.1291  df(ActivateDay.Avg) 0.0358
     train: epoch 34 loss 0.183321  auc  0.0000 MAE  0.0927 rmse  0.1301  df(ActivateDay.Avg) 0.0000
               valid loss 4.386622  auc  0.0000 MAE  0.0925 rmse  0.1291  df(ActivateDay.Avg) 0.0055
     train: epoch 35 loss 0.183110  auc  0.0000 MAE  0.0926 rmse  0.1300  df(ActivateDay.Avg) 0.0012
               valid loss 4.432269  auc  0.0000 MAE  0.0916 rmse  0.1291  df(ActivateDay.Avg) 0.0300
     train: epoch 36 loss 0.183225  auc  0.0000 MAE  0.0928 rmse  0.1301  df(ActivateDay.Avg) 0.0016
               valid loss 4.432857  auc  0.0000 MAE  0.0917 rmse  0.1291  df(ActivateDay.Avg) 0.0321
     train: epoch 37 loss 0.183497  auc  0.0000 MAE  0.0928 rmse  0.1302  df(ActivateDay.Avg) 0.0010
               valid loss 4.387309  auc  0.0000 MAE  0.0921 rmse  0.1290  df(ActivateDay.Avg) 0.0007
                test loss 11.636702  auc  0.0000 MAE  0.0920 rmse  0.1284  df(ActivateDay.Avg) 0.0115
     train: epoch 38 loss 0.183251  auc  0.0000 MAE  0.0926 rmse  0.1301  df(ActivateDay.Avg) 0.0007
               valid loss 4.366639  auc  0.0000 MAE  0.0927 rmse  0.1291  df(ActivateDay.Avg) 0.0115
     train: epoch 39 loss 0.182858  auc  0.0000 MAE  0.0926 rmse  0.1300  df(ActivateDay.Avg) 0.0008
               valid loss 4.425402  auc  0.0000 MAE  0.0914 rmse  0.1291  df(ActivateDay.Avg) 0.0191
     train: epoch 40 loss 0.183033  auc  0.0000 MAE  0.0927 rmse  0.1300  df(ActivateDay.Avg) 0.0024
               valid loss 4.439655  auc  0.0000 MAE  0.0909 rmse  0.1291  df(ActivateDay.Avg) 0.0240
     train: epoch 41 loss 0.182908  auc  0.0000 MAE  0.0926 rmse  0.1300  df(ActivateDay.Avg) 0.0014
               valid loss 4.196709  auc  0.0000 MAE  0.0962 rmse  0.1295  df(ActivateDay.Avg) 0.1238
     train: epoch 42 loss 0.182903  auc  0.0000 MAE  0.0926 rmse  0.1300  df(ActivateDay.Avg) 0.0019
               valid loss 4.415349  auc  0.0000 MAE  0.0916 rmse  0.1290  df(ActivateDay.Avg) 0.0170
     train: epoch 43 loss 0.182881  auc  0.0000 MAE  0.0926 rmse  0.1300  df(ActivateDay.Avg) 0.0010
               valid loss 4.560879  auc  0.0000 MAE  0.0893 rmse  0.1295  df(ActivateDay.Avg) 0.0987
     train: epoch 44 loss 0.183224  auc  0.0000 MAE  0.0926 rmse  0.1301  df(ActivateDay.Avg) 0.0010
