{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.2, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 7, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=7), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 0.205309  auc  0.0000 MAE  0.0924 rmse  0.1377  df(ActivateDay.Avg) 0.0952
               valid loss 4.493438  auc  0.0000 MAE  0.0878 rmse  0.1272  df(ActivateDay.Avg) 0.0820
                test loss 11.956023  auc  0.0000 MAE  0.0877 rmse  0.1271  df(ActivateDay.Avg) 0.0774
      train: epoch 1 loss 0.179669  auc  0.0000 MAE  0.0906 rmse  0.1288  df(ActivateDay.Avg) 0.0028
               valid loss 4.133715  auc  0.0000 MAE  0.0965 rmse  0.1283  df(ActivateDay.Avg) 0.1429
      train: epoch 2 loss 0.179301  auc  0.0000 MAE  0.0906 rmse  0.1287  df(ActivateDay.Avg) 0.0021
               valid loss 4.344939  auc  0.0000 MAE  0.0904 rmse  0.1268  df(ActivateDay.Avg) 0.0055
                test loss 11.558936  auc  0.0000 MAE  0.0903 rmse  0.1265  df(ActivateDay.Avg) 0.0107
      train: epoch 3 loss 0.179768  auc  0.0000 MAE  0.0907 rmse  0.1288  df(ActivateDay.Avg) 0.0011
               valid loss 4.423429  auc  0.0000 MAE  0.0881 rmse  0.1266  df(ActivateDay.Avg) 0.0246
                test loss 11.771902  auc  0.0000 MAE  0.0880 rmse  0.1262  df(ActivateDay.Avg) 0.0185
      train: epoch 4 loss 0.178903  auc  0.0000 MAE  0.0907 rmse  0.1285  df(ActivateDay.Avg) 0.0032
               valid loss 4.353410  auc  0.0000 MAE  0.0898 rmse  0.1264  df(ActivateDay.Avg) 0.0052
                test loss 11.583149  auc  0.0000 MAE  0.0898 rmse  0.1261  df(ActivateDay.Avg) 0.0113
      train: epoch 5 loss 0.179057  auc  0.0000 MAE  0.0906 rmse  0.1286  df(ActivateDay.Avg) 0.0005
               valid loss 4.312851  auc  0.0000 MAE  0.0915 rmse  0.1270  df(ActivateDay.Avg) 0.0234
      train: epoch 6 loss 0.179549  auc  0.0000 MAE  0.0906 rmse  0.1288  df(ActivateDay.Avg) 0.0003
               valid loss 4.559302  auc  0.0000 MAE  0.0861 rmse  0.1269  df(ActivateDay.Avg) 0.1082
      train: epoch 7 loss 0.178730  auc  0.0000 MAE  0.0907 rmse  0.1285  df(ActivateDay.Avg) 0.0063
               valid loss 4.231026  auc  0.0000 MAE  0.0930 rmse  0.1268  df(ActivateDay.Avg) 0.0774
      train: epoch 8 loss 0.178573  auc  0.0000 MAE  0.0907 rmse  0.1284  df(ActivateDay.Avg) 0.0052
               valid loss 4.119780  auc  0.0000 MAE  0.0954 rmse  0.1272  df(ActivateDay.Avg) 0.1570
      train: epoch 9 loss 0.178903  auc  0.0000 MAE  0.0907 rmse  0.1285  df(ActivateDay.Avg) 0.0034
               valid loss 4.334247  auc  0.0000 MAE  0.0902 rmse  0.1264  df(ActivateDay.Avg) 0.0170
                test loss 11.533271  auc  0.0000 MAE  0.0901 rmse  0.1261  df(ActivateDay.Avg) 0.0226
     train: epoch 10 loss 0.178609  auc  0.0000 MAE  0.0907 rmse  0.1284  df(ActivateDay.Avg) 0.0068
               valid loss 4.698251  auc  0.0000 MAE  0.0837 rmse  0.1271  df(ActivateDay.Avg) 0.1659
     train: epoch 11 loss 0.178418  auc  0.0000 MAE  0.0907 rmse  0.1284  df(ActivateDay.Avg) 0.0060
               valid loss 4.126359  auc  0.0000 MAE  0.0952 rmse  0.1272  df(ActivateDay.Avg) 0.1527
     train: epoch 12 loss 0.178612  auc  0.0000 MAE  0.0908 rmse  0.1284  df(ActivateDay.Avg) 0.0084
               valid loss 4.466034  auc  0.0000 MAE  0.0871 rmse  0.1266  df(ActivateDay.Avg) 0.0414
     train: epoch 13 loss 0.178441  auc  0.0000 MAE  0.0906 rmse  0.1284  df(ActivateDay.Avg) 0.0052
               valid loss 4.343302  auc  0.0000 MAE  0.0899 rmse  0.1264  df(ActivateDay.Avg) 0.0135
     train: epoch 14 loss 0.178804  auc  0.0000 MAE  0.0908 rmse  0.1285  df(ActivateDay.Avg) 0.0057
               valid loss 4.603596  auc  0.0000 MAE  0.0848 rmse  0.1269  df(ActivateDay.Avg) 0.1082
     train: epoch 15 loss 0.178634  auc  0.0000 MAE  0.0907 rmse  0.1284  df(ActivateDay.Avg) 0.0062
               valid loss 4.681890  auc  0.0000 MAE  0.0840 rmse  0.1271  df(ActivateDay.Avg) 0.1581
     train: epoch 16 loss 0.178543  auc  0.0000 MAE  0.0907 rmse  0.1284  df(ActivateDay.Avg) 0.0041
               valid loss 4.736264  auc  0.0000 MAE  0.0834 rmse  0.1273  df(ActivateDay.Avg) 0.1843
     train: epoch 17 loss 0.178504  auc  0.0000 MAE  0.0907 rmse  0.1284  df(ActivateDay.Avg) 0.0042
               valid loss 4.673482  auc  0.0000 MAE  0.0841 rmse  0.1272  df(ActivateDay.Avg) 0.1445
     train: epoch 18 loss 0.178443  auc  0.0000 MAE  0.0906 rmse  0.1284  df(ActivateDay.Avg) 0.0061
