{'model_name': 'FLTADP', 'week_embedding_size': 30, 'week_num': 7, 'time_interval_embedding_size': 30, 'u_embedding_size': 64, 'embedding_size': 64, 'hidden_size': 20, 'num_attention_head': 1, 'batch_norm_decay': 0.095, 'dimension_1': 60, 'deep_layers': [100, 50], 'context_size': 32, 'dropout_p': 0.1, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'imbalance_stratage': {'label_smooth_kernel': 'gaussian', 'label_smooth_size': 3, 'label_smooth_sigma': 2, 'feature_smooth_kernel': 'gaussian', 'feature_smooth_size': 15, 'feature_smooth_sigma': 5}, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 3, 'bce_weight': 1.0, 'fine_grained': 1, 'device': device(type='cuda', index=3), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([12083,  4014,  2446,  1755,  1524,  1283,  1048,   788,   675,
         533,   401,   306,   253,   175,   121,    86,    81,    51,
          31,    23,    21,    10,    10,    10])}
      train: epoch 0 loss 1.697237  MAE  0.1005  rmse  0.1495  df(ActivateDay.Avg) 0.1102
               valid loss 0.484101  MAE  0.0994  rmse  0.1295  df(ActivateDay.Avg) 0.2336
                test loss 0.519286  MAE  0.1494  rmse  0.2025  df(ActivateDay.Avg) 0.4683
      train: epoch 1 loss 1.462457  MAE  0.0917  rmse  0.1294  df(ActivateDay.Avg) 0.0216
               valid loss 0.483064  MAE  0.0827  rmse  0.1321  df(ActivateDay.Avg) 0.3541
      train: epoch 2 loss 1.453064  MAE  0.0911  rmse  0.1290  df(ActivateDay.Avg) 0.0243
               valid loss 0.475565  MAE  0.0916  rmse  0.1267  df(ActivateDay.Avg) 0.0635
                test loss 0.531412  MAE  0.1597  rmse  0.2138  df(ActivateDay.Avg) 0.5496
      train: epoch 3 loss 1.449506  MAE  0.0910  rmse  0.1288  df(ActivateDay.Avg) 0.0206
               valid loss 0.475093  MAE  0.0940  rmse  0.1270  df(ActivateDay.Avg) 0.1107
      train: epoch 4 loss 1.447579  MAE  0.0911  rmse  0.1287  df(ActivateDay.Avg) 0.0158
               valid loss 0.475961  MAE  0.0856  rmse  0.1290  df(ActivateDay.Avg) 0.2043
      train: epoch 5 loss 1.444827  MAE  0.0908  rmse  0.1285  df(ActivateDay.Avg) 0.0222
               valid loss 0.473792  MAE  0.0945  rmse  0.1272  df(ActivateDay.Avg) 0.1600
      train: epoch 6 loss 1.441709  MAE  0.0907  rmse  0.1282  df(ActivateDay.Avg) 0.0147
               valid loss 0.474152  MAE  0.0864  rmse  0.1273  df(ActivateDay.Avg) 0.1435
      train: epoch 7 loss 1.440320  MAE  0.0904  rmse  0.1281  df(ActivateDay.Avg) 0.0215
               valid loss 0.472725  MAE  0.0921  rmse  0.1269  df(ActivateDay.Avg) 0.0891
      train: epoch 8 loss 1.439841  MAE  0.0906  rmse  0.1280  df(ActivateDay.Avg) 0.0120
               valid loss 0.473584  MAE  0.0858  rmse  0.1272  df(ActivateDay.Avg) 0.0987
      train: epoch 9 loss 1.440318  MAE  0.0908  rmse  0.1283  df(ActivateDay.Avg) 0.0192
