{'model_name': 'LR', 'embedding_size': 32, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 4, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.2, 'device': device(type='cuda', index=4), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 0.579283  auc  0.0000 MAE  0.1213 rmse  0.2313  df(ActivateDay.Avg) 0.1750
               valid loss 2.484898  auc  0.0000 MAE  0.4401 rmse  0.4562  df(ActivateDay.Avg) 5.1380
                test loss 6.593256  auc  0.0000 MAE  0.4407 rmse  0.4565  df(ActivateDay.Avg) 5.1547
      train: epoch 1 loss 0.346348  auc  0.0000 MAE  0.1039 rmse  0.1788  df(ActivateDay.Avg) 0.0018
               valid loss 2.505983  auc  0.0000 MAE  0.4402 rmse  0.4569  df(ActivateDay.Avg) 5.1334
      train: epoch 2 loss 0.606940  auc  0.0000 MAE  0.1218 rmse  0.2368  df(ActivateDay.Avg) 0.0024
               valid loss 2.496742  auc  0.0000 MAE  0.4405 rmse  0.4571  df(ActivateDay.Avg) 5.1296
      train: epoch 3 loss 3.206736  auc  0.0000 MAE  0.1754 rmse  0.5442  df(ActivateDay.Avg) 0.0021
               valid loss 2.474491  auc  0.0000 MAE  0.4393 rmse  0.4552  df(ActivateDay.Avg) 5.1289
                test loss 6.565807  auc  0.0000 MAE  0.4400 rmse  0.4556  df(ActivateDay.Avg) 5.1457
      train: epoch 4 loss 0.188429  auc  0.0000 MAE  0.0922 rmse  0.1319  df(ActivateDay.Avg) 0.0012
               valid loss 2.489734  auc  0.0000 MAE  0.4403 rmse  0.4565  df(ActivateDay.Avg) 5.1380
      train: epoch 5 loss 0.201056  auc  0.0000 MAE  0.0942 rmse  0.1363  df(ActivateDay.Avg) 0.0018
               valid loss 2.459203  auc  0.0000 MAE  0.4403 rmse  0.4559  df(ActivateDay.Avg) 5.1432
      train: epoch 6 loss 0.205342  auc  0.0000 MAE  0.0949 rmse  0.1377  df(ActivateDay.Avg) 0.0022
               valid loss 2.505231  auc  0.0000 MAE  0.4405 rmse  0.4573  df(ActivateDay.Avg) 5.1362
      train: epoch 7 loss 0.256487  auc  0.0000 MAE  0.1007 rmse  0.1539  df(ActivateDay.Avg) 0.0027
               valid loss 2.477803  auc  0.0000 MAE  0.4382 rmse  0.4544  df(ActivateDay.Avg) 5.1130
                test loss 6.580914  auc  0.0000 MAE  0.4384 rmse  0.4544  df(ActivateDay.Avg) 5.1251
