{'model_name': 'MLP', 'embedding_size': 64, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'deep_layers': [100, 50], 'dropout_p': 0.2, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 5, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=5), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 0.230580  auc  0.0000 MAE  0.0936 rmse  0.1459  df(ActivateDay.Avg) 0.1701
               valid loss 4.663489  auc  0.0000 MAE  0.0878 rmse  0.1315  df(ActivateDay.Avg) 0.0752
                test loss 12.425019  auc  0.0000 MAE  0.0875 rmse  0.1309  df(ActivateDay.Avg) 0.0685
      train: epoch 1 loss 0.192719  auc  0.0000 MAE  0.0909 rmse  0.1334  df(ActivateDay.Avg) 0.0467
               valid loss 4.439346  auc  0.0000 MAE  0.0896 rmse  0.1295  df(ActivateDay.Avg) 0.0008
                test loss 11.815920  auc  0.0000 MAE  0.0894 rmse  0.1288  df(ActivateDay.Avg) 0.0101
      train: epoch 2 loss 0.182286  auc  0.0000 MAE  0.0898 rmse  0.1297  df(ActivateDay.Avg) 0.0132
               valid loss 4.370036  auc  0.0000 MAE  0.0881 rmse  0.1257  df(ActivateDay.Avg) 0.0014
                test loss 11.635085  auc  0.0000 MAE  0.0879 rmse  0.1252  df(ActivateDay.Avg) 0.0072
      train: epoch 3 loss 0.178623  auc  0.0000 MAE  0.0895 rmse  0.1284  df(ActivateDay.Avg) 0.0111
               valid loss 4.387286  auc  0.0000 MAE  0.0883 rmse  0.1258  df(ActivateDay.Avg) 0.0218
      train: epoch 4 loss 0.177700  auc  0.0000 MAE  0.0896 rmse  0.1281  df(ActivateDay.Avg) 0.0100
               valid loss 4.476656  auc  0.0000 MAE  0.0862 rmse  0.1256  df(ActivateDay.Avg) 0.0682
                test loss 11.918463  auc  0.0000 MAE  0.0862 rmse  0.1253  df(ActivateDay.Avg) 0.0629
      train: epoch 5 loss 0.178152  auc  0.0000 MAE  0.0897 rmse  0.1283  df(ActivateDay.Avg) 0.0099
               valid loss 4.544485  auc  0.0000 MAE  0.0857 rmse  0.1264  df(ActivateDay.Avg) 0.1027
      train: epoch 6 loss 0.177806  auc  0.0000 MAE  0.0896 rmse  0.1281  df(ActivateDay.Avg) 0.0069
               valid loss 4.341483  auc  0.0000 MAE  0.0884 rmse  0.1256  df(ActivateDay.Avg) 0.0275
      train: epoch 7 loss 0.177561  auc  0.0000 MAE  0.0896 rmse  0.1281  df(ActivateDay.Avg) 0.0081
               valid loss 4.429392  auc  0.0000 MAE  0.0872 rmse  0.1256  df(ActivateDay.Avg) 0.0358
      train: epoch 8 loss 0.177747  auc  0.0000 MAE  0.0897 rmse  0.1281  df(ActivateDay.Avg) 0.0078
               valid loss 4.251523  auc  0.0000 MAE  0.0916 rmse  0.1261  df(ActivateDay.Avg) 0.0581
      train: epoch 9 loss 0.177558  auc  0.0000 MAE  0.0898 rmse  0.1281  df(ActivateDay.Avg) 0.0040
               valid loss 4.362441  auc  0.0000 MAE  0.0883 rmse  0.1255  df(ActivateDay.Avg) 0.0019
                test loss 11.608168  auc  0.0000 MAE  0.0883 rmse  0.1253  df(ActivateDay.Avg) 0.0092
     train: epoch 10 loss 0.177778  auc  0.0000 MAE  0.0897 rmse  0.1281  df(ActivateDay.Avg) 0.0067
               valid loss 4.277631  auc  0.0000 MAE  0.0909 rmse  0.1260  df(ActivateDay.Avg) 0.0410
     train: epoch 11 loss 0.177773  auc  0.0000 MAE  0.0899 rmse  0.1281  df(ActivateDay.Avg) 0.0040
               valid loss 4.452565  auc  0.0000 MAE  0.0873 rmse  0.1259  df(ActivateDay.Avg) 0.0604
     train: epoch 12 loss 0.177867  auc  0.0000 MAE  0.0898 rmse  0.1282  df(ActivateDay.Avg) 0.0057
               valid loss 4.573704  auc  0.0000 MAE  0.0847 rmse  0.1264  df(ActivateDay.Avg) 0.1047
     train: epoch 13 loss 0.177063  auc  0.0000 MAE  0.0896 rmse  0.1279  df(ActivateDay.Avg) 0.0063
               valid loss 4.172695  auc  0.0000 MAE  0.0925 rmse  0.1260  df(ActivateDay.Avg) 0.1248
     train: epoch 14 loss 0.177133  auc  0.0000 MAE  0.0896 rmse  0.1279  df(ActivateDay.Avg) 0.0016
               valid loss 4.407840  auc  0.0000 MAE  0.0876 rmse  0.1256  df(ActivateDay.Avg) 0.0249
     train: epoch 15 loss 0.177404  auc  0.0000 MAE  0.0899 rmse  0.1280  df(ActivateDay.Avg) 0.0025
               valid loss 4.403521  auc  0.0000 MAE  0.0877 rmse  0.1256  df(ActivateDay.Avg) 0.0251
     train: epoch 16 loss 0.177452  auc  0.0000 MAE  0.0898 rmse  0.1280  df(ActivateDay.Avg) 0.0025
               valid loss 4.481280  auc  0.0000 MAE  0.0860 rmse  0.1255  df(ActivateDay.Avg) 0.0619
     train: epoch 17 loss 0.177175  auc  0.0000 MAE  0.0897 rmse  0.1279  df(ActivateDay.Avg) 0.0025
               valid loss 4.449890  auc  0.0000 MAE  0.0867 rmse  0.1258  df(ActivateDay.Avg) 0.0509
     train: epoch 18 loss 0.176531  auc  0.0000 MAE  0.0897 rmse  0.1277  df(ActivateDay.Avg) 0.0011
               valid loss 4.443083  auc  0.0000 MAE  0.0870 rmse  0.1256  df(ActivateDay.Avg) 0.0471
     train: epoch 19 loss 0.177496  auc  0.0000 MAE  0.0898 rmse  0.1280  df(ActivateDay.Avg) 0.0022
               valid loss 4.194852  auc  0.0000 MAE  0.0922 rmse  0.1259  df(ActivateDay.Avg) 0.1024
     train: epoch 20 loss 0.176756  auc  0.0000 MAE  0.0897 rmse  0.1278  df(ActivateDay.Avg) 0.0005
               valid loss 4.491032  auc  0.0000 MAE  0.0862 rmse  0.1258  df(ActivateDay.Avg) 0.0785
     train: epoch 21 loss 0.176783  auc  0.0000 MAE  0.0896 rmse  0.1278  df(ActivateDay.Avg) 0.0011
               valid loss 4.453595  auc  0.0000 MAE  0.0873 rmse  0.1260  df(ActivateDay.Avg) 0.0637
     train: epoch 22 loss 0.176687  auc  0.0000 MAE  0.0898 rmse  0.1277  df(ActivateDay.Avg) 0.0020
               valid loss 4.459702  auc  0.0000 MAE  0.0873 rmse  0.1260  df(ActivateDay.Avg) 0.0645
     train: epoch 23 loss 0.177169  auc  0.0000 MAE  0.0898 rmse  0.1279  df(ActivateDay.Avg) 0.0026
               valid loss 4.128476  auc  0.0000 MAE  0.0939 rmse  0.1262  df(ActivateDay.Avg) 0.1488
     train: epoch 24 loss 0.177478  auc  0.0000 MAE  0.0900 rmse  0.1280  df(ActivateDay.Avg) 0.0021
               valid loss 4.358620  auc  0.0000 MAE  0.0885 rmse  0.1256  df(ActivateDay.Avg) 0.0002
     train: epoch 25 loss 0.176989  auc  0.0000 MAE  0.0897 rmse  0.1278  df(ActivateDay.Avg) 0.0005
               valid loss 4.354577  auc  0.0000 MAE  0.0896 rmse  0.1261  df(ActivateDay.Avg) 0.0048
     train: epoch 26 loss 0.177139  auc  0.0000 MAE  0.0899 rmse  0.1279  df(ActivateDay.Avg) 0.0007
               valid loss 4.364065  auc  0.0000 MAE  0.0884 rmse  0.1255  df(ActivateDay.Avg) 0.0007
     train: epoch 27 loss 0.177245  auc  0.0000 MAE  0.0899 rmse  0.1279  df(ActivateDay.Avg) 0.0005
               valid loss 4.322453  auc  0.0000 MAE  0.0891 rmse  0.1256  df(ActivateDay.Avg) 0.0271
     train: epoch 28 loss 0.177036  auc  0.0000 MAE  0.0898 rmse  0.1279  df(ActivateDay.Avg) 0.0006
               valid loss 4.382082  auc  0.0000 MAE  0.0879 rmse  0.1256  df(ActivateDay.Avg) 0.0054
     train: epoch 29 loss 0.177021  auc  0.0000 MAE  0.0898 rmse  0.1279  df(ActivateDay.Avg) 0.0012
               valid loss 4.327605  auc  0.0000 MAE  0.0893 rmse  0.1256  df(ActivateDay.Avg) 0.0137
     train: epoch 30 loss 0.177105  auc  0.0000 MAE  0.0898 rmse  0.1279  df(ActivateDay.Avg) 0.0000
               valid loss 4.268051  auc  0.0000 MAE  0.0909 rmse  0.1258  df(ActivateDay.Avg) 0.0521
     train: epoch 31 loss 0.177121  auc  0.0000 MAE  0.0900 rmse  0.1279  df(ActivateDay.Avg) 0.0051
               valid loss 4.511714  auc  0.0000 MAE  0.0861 rmse  0.1260  df(ActivateDay.Avg) 0.0869
     train: epoch 32 loss 0.176735  auc  0.0000 MAE  0.0897 rmse  0.1278  df(ActivateDay.Avg) 0.0019
               valid loss 4.238259  auc  0.0000 MAE  0.0914 rmse  0.1258  df(ActivateDay.Avg) 0.0713
     train: epoch 33 loss 0.176714  auc  0.0000 MAE  0.0898 rmse  0.1277  df(ActivateDay.Avg) 0.0031
               valid loss 4.317403  auc  0.0000 MAE  0.0895 rmse  0.1257  df(ActivateDay.Avg) 0.0257
     train: epoch 34 loss 0.176477  auc  0.0000 MAE  0.0899 rmse  0.1277  df(ActivateDay.Avg) 0.0024
               valid loss 4.485400  auc  0.0000 MAE  0.0864 rmse  0.1258  df(ActivateDay.Avg) 0.0766
     train: epoch 35 loss 0.176891  auc  0.0000 MAE  0.0898 rmse  0.1278  df(ActivateDay.Avg) 0.0011
               valid loss 4.336861  auc  0.0000 MAE  0.0890 rmse  0.1260  df(ActivateDay.Avg) 0.0155
     train: epoch 36 loss 0.176826  auc  0.0000 MAE  0.0899 rmse  0.1278  df(ActivateDay.Avg) 0.0023
               valid loss 4.491649  auc  0.0000 MAE  0.0859 rmse  0.1257  df(ActivateDay.Avg) 0.0654
     train: epoch 37 loss 0.176916  auc  0.0000 MAE  0.0899 rmse  0.1278  df(ActivateDay.Avg) 0.0005
               valid loss 4.368633  auc  0.0000 MAE  0.0882 rmse  0.1254  df(ActivateDay.Avg) 0.0015
                test loss 11.624158  auc  0.0000 MAE  0.0881 rmse  0.1252  df(ActivateDay.Avg) 0.0063
     train: epoch 38 loss 0.177000  auc  0.0000 MAE  0.0900 rmse  0.1279  df(ActivateDay.Avg) 0.0034
               valid loss 4.453365  auc  0.0000 MAE  0.0865 rmse  0.1256  df(ActivateDay.Avg) 0.0509
     train: epoch 39 loss 0.176660  auc  0.0000 MAE  0.0899 rmse  0.1277  df(ActivateDay.Avg) 0.0018
