{'model_name': 'RNN', 'input_size': 7, 'hidden_size': 64, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 2, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=2), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 0.212813  auc  0.0000 MAE  0.1004 rmse  0.1402  df(ActivateDay.Avg) 0.1712
               valid loss 4.256149  auc  0.0000 MAE  0.0934 rmse  0.1271  df(ActivateDay.Avg) 0.0607
                test loss 11.321555  auc  0.0000 MAE  0.0933 rmse  0.1271  df(ActivateDay.Avg) 0.0643
      train: epoch 1 loss 0.178175  auc  0.0000 MAE  0.0925 rmse  0.1283  df(ActivateDay.Avg) 0.0473
               valid loss 4.273032  auc  0.0000 MAE  0.0914 rmse  0.1268  df(ActivateDay.Avg) 0.0649
                test loss 11.364924  auc  0.0000 MAE  0.0913 rmse  0.1266  df(ActivateDay.Avg) 0.0719
      train: epoch 2 loss 0.177897  auc  0.0000 MAE  0.0921 rmse  0.1282  df(ActivateDay.Avg) 0.0410
               valid loss 4.562076  auc  0.0000 MAE  0.0863 rmse  0.1270  df(ActivateDay.Avg) 0.1091
      train: epoch 3 loss 0.177883  auc  0.0000 MAE  0.0921 rmse  0.1282  df(ActivateDay.Avg) 0.0414
               valid loss 4.295653  auc  0.0000 MAE  0.0904 rmse  0.1269  df(ActivateDay.Avg) 0.0601
