{'model_name': 'CLSA', 'clas_conv2_kernel': 3, 'clsa_conv2_output_size': 7, 'clas_pool_kernel': 2, 'lstm_input_size': 100, 'hidden_size': 14, 'attention_input_size': 28, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 4, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=4), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
      train: epoch 0 loss 0.233211  auc  0.0000 MAE  0.1037 rmse  0.1468  df(ActivateDay.Avg) 0.1166
               valid loss 4.253730  auc  0.0000 MAE  0.0958 rmse  0.1306  df(ActivateDay.Avg) 0.0830
                test loss 11.370303  auc  0.0000 MAE  0.0952 rmse  0.1303  df(ActivateDay.Avg) 0.0759
      train: epoch 1 loss 0.189041  auc  0.0000 MAE  0.0941 rmse  0.1321  df(ActivateDay.Avg) 0.0005
               valid loss 4.414916  auc  0.0000 MAE  0.0923 rmse  0.1304  df(ActivateDay.Avg) 0.0143
                test loss 11.796147  auc  0.0000 MAE  0.0918 rmse  0.1301  df(ActivateDay.Avg) 0.0186
      train: epoch 2 loss 0.188836  auc  0.0000 MAE  0.0939 rmse  0.1321  df(ActivateDay.Avg) 0.0027
               valid loss 4.561316  auc  0.0000 MAE  0.0895 rmse  0.1306  df(ActivateDay.Avg) 0.1000
      train: epoch 3 loss 0.188786  auc  0.0000 MAE  0.0939 rmse  0.1320  df(ActivateDay.Avg) 0.0037
               valid loss 4.415511  auc  0.0000 MAE  0.0924 rmse  0.1301  df(ActivateDay.Avg) 0.0255
                test loss 11.802600  auc  0.0000 MAE  0.0920 rmse  0.1300  df(ActivateDay.Avg) 0.0313
      train: epoch 4 loss 0.188946  auc  0.0000 MAE  0.0940 rmse  0.1321  df(ActivateDay.Avg) 0.0037
               valid loss 4.245691  auc  0.0000 MAE  0.0958 rmse  0.1304  df(ActivateDay.Avg) 0.0901
      train: epoch 5 loss 0.188843  auc  0.0000 MAE  0.0940 rmse  0.1321  df(ActivateDay.Avg) 0.0011
               valid loss 4.693258  auc  0.0000 MAE  0.0876 rmse  0.1309  df(ActivateDay.Avg) 0.1718
      train: epoch 6 loss 0.188606  auc  0.0000 MAE  0.0939 rmse  0.1320  df(ActivateDay.Avg) 0.0015
               valid loss 4.473529  auc  0.0000 MAE  0.0912 rmse  0.1302  df(ActivateDay.Avg) 0.0581
      train: epoch 7 loss 0.188524  auc  0.0000 MAE  0.0938 rmse  0.1319  df(ActivateDay.Avg) 0.0051
               valid loss 4.396243  auc  0.0000 MAE  0.0928 rmse  0.1303  df(ActivateDay.Avg) 0.0091
      train: epoch 8 loss 0.188556  auc  0.0000 MAE  0.0940 rmse  0.1320  df(ActivateDay.Avg) 0.0007
               valid loss 4.286221  auc  0.0000 MAE  0.0948 rmse  0.1304  df(ActivateDay.Avg) 0.0666
      train: epoch 9 loss 0.188715  auc  0.0000 MAE  0.0940 rmse  0.1320  df(ActivateDay.Avg) 0.0036
               valid loss 4.162035  auc  0.0000 MAE  0.0980 rmse  0.1306  df(ActivateDay.Avg) 0.1426
     train: epoch 10 loss 0.188361  auc  0.0000 MAE  0.0940 rmse  0.1319  df(ActivateDay.Avg) 0.0005
               valid loss 4.403378  auc  0.0000 MAE  0.0926 rmse  0.1302  df(ActivateDay.Avg) 0.0154
     train: epoch 11 loss 0.188424  auc  0.0000 MAE  0.0939 rmse  0.1319  df(ActivateDay.Avg) 0.0025
               valid loss 4.557051  auc  0.0000 MAE  0.0896 rmse  0.1303  df(ActivateDay.Avg) 0.0981
     train: epoch 12 loss 0.188166  auc  0.0000 MAE  0.0939 rmse  0.1318  df(ActivateDay.Avg) 0.0019
               valid loss 4.003165  auc  0.0000 MAE  0.1024 rmse  0.1320  df(ActivateDay.Avg) 0.2657
     train: epoch 13 loss 0.188263  auc  0.0000 MAE  0.0939 rmse  0.1319  df(ActivateDay.Avg) 0.0023
               valid loss 4.325785  auc  0.0000 MAE  0.0940 rmse  0.1302  df(ActivateDay.Avg) 0.0396
     train: epoch 14 loss 0.188294  auc  0.0000 MAE  0.0940 rmse  0.1319  df(ActivateDay.Avg) 0.0005
               valid loss 4.312888  auc  0.0000 MAE  0.0945 rmse  0.1303  df(ActivateDay.Avg) 0.0404
     train: epoch 15 loss 0.188430  auc  0.0000 MAE  0.0939 rmse  0.1319  df(ActivateDay.Avg) 0.0022
               valid loss 4.471276  auc  0.0000 MAE  0.0911 rmse  0.1301  df(ActivateDay.Avg) 0.0489
                test loss 11.961267  auc  0.0000 MAE  0.0906 rmse  0.1299  df(ActivateDay.Avg) 0.0570
     train: epoch 16 loss 0.188278  auc  0.0000 MAE  0.0940 rmse  0.1319  df(ActivateDay.Avg) 0.0012
               valid loss 4.316590  auc  0.0000 MAE  0.0942 rmse  0.1300  df(ActivateDay.Avg) 0.0412
                test loss 11.546753  auc  0.0000 MAE  0.0936 rmse  0.1298  df(ActivateDay.Avg) 0.0326
     train: epoch 17 loss 0.188055  auc  0.0000 MAE  0.0939 rmse  0.1318  df(ActivateDay.Avg) 0.0006
               valid loss 4.421950  auc  0.0000 MAE  0.0923 rmse  0.1300  df(ActivateDay.Avg) 0.0295
                test loss 11.830009  auc  0.0000 MAE  0.0918 rmse  0.1300  df(ActivateDay.Avg) 0.0379
     train: epoch 18 loss 0.188065  auc  0.0000 MAE  0.0939 rmse  0.1318  df(ActivateDay.Avg) 0.0013
               valid loss 4.408188  auc  0.0000 MAE  0.0923 rmse  0.1301  df(ActivateDay.Avg) 0.0079
     train: epoch 19 loss 0.187758  auc  0.0000 MAE  0.0938 rmse  0.1317  df(ActivateDay.Avg) 0.0016
               valid loss 4.264911  auc  0.0000 MAE  0.0955 rmse  0.1302  df(ActivateDay.Avg) 0.0722
     train: epoch 20 loss 0.187699  auc  0.0000 MAE  0.0939 rmse  0.1317  df(ActivateDay.Avg) 0.0010
               valid loss 4.360963  auc  0.0000 MAE  0.0930 rmse  0.1300  df(ActivateDay.Avg) 0.0203
                test loss 11.659499  auc  0.0000 MAE  0.0925 rmse  0.1297  df(ActivateDay.Avg) 0.0135
     train: epoch 21 loss 0.187412  auc  0.0000 MAE  0.0937 rmse  0.1316  df(ActivateDay.Avg) 0.0019
               valid loss 4.368326  auc  0.0000 MAE  0.0930 rmse  0.1296  df(ActivateDay.Avg) 0.0033
                test loss 11.675351  auc  0.0000 MAE  0.0925 rmse  0.1295  df(ActivateDay.Avg) 0.0027
     train: epoch 22 loss 0.186860  auc  0.0000 MAE  0.0936 rmse  0.1314  df(ActivateDay.Avg) 0.0004
               valid loss 4.328665  auc  0.0000 MAE  0.0935 rmse  0.1294  df(ActivateDay.Avg) 0.0270
