{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.2, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
      train: epoch 0 loss 0.199729  auc  0.0000 MAE  0.0923 rmse  0.1358  df(ActivateDay.Avg) 0.0683
               valid loss 4.372926  auc  0.0000 MAE  0.0904 rmse  0.1276  df(ActivateDay.Avg) 0.0208
                test loss 11.707379  auc  0.0000 MAE  0.0901 rmse  0.1273  df(ActivateDay.Avg) 0.0280
      train: epoch 1 loss 0.179798  auc  0.0000 MAE  0.0908 rmse  0.1289  df(ActivateDay.Avg) 0.0012
               valid loss 4.449626  auc  0.0000 MAE  0.0875 rmse  0.1272  df(ActivateDay.Avg) 0.0394
                test loss 11.907731  auc  0.0000 MAE  0.0871 rmse  0.1265  df(ActivateDay.Avg) 0.0424
      train: epoch 2 loss 0.179198  auc  0.0000 MAE  0.0907 rmse  0.1286  df(ActivateDay.Avg) 0.0028
               valid loss 4.045516  auc  0.0000 MAE  0.0974 rmse  0.1282  df(ActivateDay.Avg) 0.2099
      train: epoch 3 loss 0.178810  auc  0.0000 MAE  0.0906 rmse  0.1285  df(ActivateDay.Avg) 0.0014
               valid loss 4.215911  auc  0.0000 MAE  0.0929 rmse  0.1271  df(ActivateDay.Avg) 0.0874
                test loss 11.287401  auc  0.0000 MAE  0.0923 rmse  0.1265  df(ActivateDay.Avg) 0.0790
      train: epoch 4 loss 0.178948  auc  0.0000 MAE  0.0905 rmse  0.1286  df(ActivateDay.Avg) 0.0013
               valid loss 4.303988  auc  0.0000 MAE  0.0907 rmse  0.1268  df(ActivateDay.Avg) 0.0331
                test loss 11.521362  auc  0.0000 MAE  0.0902 rmse  0.1261  df(ActivateDay.Avg) 0.0267
      train: epoch 5 loss 0.178919  auc  0.0000 MAE  0.0905 rmse  0.1285  df(ActivateDay.Avg) 0.0002
               valid loss 4.470657  auc  0.0000 MAE  0.0871 rmse  0.1272  df(ActivateDay.Avg) 0.0519
      train: epoch 6 loss 0.178373  auc  0.0000 MAE  0.0904 rmse  0.1283  df(ActivateDay.Avg) 0.0015
               valid loss 4.087302  auc  0.0000 MAE  0.0960 rmse  0.1277  df(ActivateDay.Avg) 0.1806
      train: epoch 7 loss 0.178628  auc  0.0000 MAE  0.0907 rmse  0.1284  df(ActivateDay.Avg) 0.0033
               valid loss 4.422243  auc  0.0000 MAE  0.0879 rmse  0.1270  df(ActivateDay.Avg) 0.0211
      train: epoch 8 loss 0.178329  auc  0.0000 MAE  0.0905 rmse  0.1283  df(ActivateDay.Avg) 0.0045
               valid loss 4.421728  auc  0.0000 MAE  0.0881 rmse  0.1268  df(ActivateDay.Avg) 0.0302
      train: epoch 9 loss 0.177838  auc  0.0000 MAE  0.0906 rmse  0.1282  df(ActivateDay.Avg) 0.0062
               valid loss 4.395911  auc  0.0000 MAE  0.0885 rmse  0.1268  df(ActivateDay.Avg) 0.0129
                test loss 11.769834  auc  0.0000 MAE  0.0880 rmse  0.1261  df(ActivateDay.Avg) 0.0181
     train: epoch 10 loss 0.178031  auc  0.0000 MAE  0.0905 rmse  0.1282  df(ActivateDay.Avg) 0.0041
               valid loss 4.336204  auc  0.0000 MAE  0.0898 rmse  0.1267  df(ActivateDay.Avg) 0.0179
                test loss 11.611050  auc  0.0000 MAE  0.0892 rmse  0.1261  df(ActivateDay.Avg) 0.0114
     train: epoch 11 loss 0.178332  auc  0.0000 MAE  0.0905 rmse  0.1283  df(ActivateDay.Avg) 0.0043
               valid loss 4.503056  auc  0.0000 MAE  0.0868 rmse  0.1271  df(ActivateDay.Avg) 0.0820
     train: epoch 12 loss 0.178225  auc  0.0000 MAE  0.0906 rmse  0.1283  df(ActivateDay.Avg) 0.0065
               valid loss 4.227284  auc  0.0000 MAE  0.0922 rmse  0.1270  df(ActivateDay.Avg) 0.0869
     train: epoch 13 loss 0.177909  auc  0.0000 MAE  0.0904 rmse  0.1282  df(ActivateDay.Avg) 0.0054
               valid loss 4.515930  auc  0.0000 MAE  0.0865 rmse  0.1270  df(ActivateDay.Avg) 0.0854
     train: epoch 14 loss 0.178250  auc  0.0000 MAE  0.0906 rmse  0.1283  df(ActivateDay.Avg) 0.0038
