{'model_name': 'FLTADP', 'week_embedding_size': 30, 'week_num': 7, 'time_interval_embedding_size': 30, 'u_embedding_size': 64, 'embedding_size': 64, 'hidden_size': 20, 'num_attention_head': 1, 'batch_norm_decay': 0.095, 'dimension_1': 60, 'deep_layers': [100, 50], 'context_size': 32, 'dropout_p': 0.1, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'imbalance_stratage': {'label_smooth_kernel': 'gaussian', 'label_smooth_size': 3, 'label_smooth_sigma': 2, 'feature_smooth_kernel': 'gaussian', 'feature_smooth_size': 15, 'feature_smooth_sigma': 5}, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 4, 'bce_weight': 1.0, 'fine_grained': 1, 'device': device(type='cuda', index=4), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([12090,  4055,  2436,  1810,  1504,  1262,  1046,   809,   666,
         510,   399,   303,   237,   174,   120,    79,    68,    49,
          34,    26,    21,    10,     8,    12])}
      train: epoch 0 loss 1.681506  MAE  0.0985  rmse  0.1463  df(ActivateDay.Avg) 0.1118
               valid loss 0.495165  MAE  0.0915  rmse  0.1317  df(ActivateDay.Avg) 0.1093
                test loss 0.534796  MAE  0.1676  rmse  0.2240  df(ActivateDay.Avg) 0.6099
      train: epoch 1 loss 1.451683  MAE  0.0907  rmse  0.1284  df(ActivateDay.Avg) 0.0228
               valid loss 0.493326  MAE  0.0870  rmse  0.1339  df(ActivateDay.Avg) 0.2782
      train: epoch 2 loss 1.444549  MAE  0.0905  rmse  0.1282  df(ActivateDay.Avg) 0.0218
               valid loss 0.491355  MAE  0.0901  rmse  0.1334  df(ActivateDay.Avg) 0.1870
      train: epoch 3 loss 1.438956  MAE  0.0902  rmse  0.1277  df(ActivateDay.Avg) 0.0192
               valid loss 0.486258  MAE  0.0895  rmse  0.1299  df(ActivateDay.Avg) 0.0918
                test loss 0.538450  MAE  0.1671  rmse  0.2221  df(ActivateDay.Avg) 0.6045
      train: epoch 4 loss 1.437032  MAE  0.0903  rmse  0.1276  df(ActivateDay.Avg) 0.0139
               valid loss 0.486452  MAE  0.0971  rmse  0.1309  df(ActivateDay.Avg) 0.0853
      train: epoch 5 loss 1.433352  MAE  0.0902  rmse  0.1274  df(ActivateDay.Avg) 0.0156
               valid loss 0.486029  MAE  0.0979  rmse  0.1306  df(ActivateDay.Avg) 0.1464
      train: epoch 6 loss 1.430473  MAE  0.0899  rmse  0.1269  df(ActivateDay.Avg) 0.0095
               valid loss 0.484496  MAE  0.0895  rmse  0.1305  df(ActivateDay.Avg) 0.1182
      train: epoch 7 loss 1.428864  MAE  0.0898  rmse  0.1269  df(ActivateDay.Avg) 0.0175
               valid loss 0.484165  MAE  0.0904  rmse  0.1294  df(ActivateDay.Avg) 0.0272
                test loss 0.542511  MAE  0.1618  rmse  0.2162  df(ActivateDay.Avg) 0.5660
      train: epoch 8 loss 1.426598  MAE  0.0896  rmse  0.1266  df(ActivateDay.Avg) 0.0117
               valid loss 0.483715  MAE  0.0966  rmse  0.1298  df(ActivateDay.Avg) 0.1091
      train: epoch 9 loss 1.428540  MAE  0.0898  rmse  0.1271  df(ActivateDay.Avg) 0.0143
               valid loss 0.483863  MAE  0.0878  rmse  0.1302  df(ActivateDay.Avg) 0.1366
     train: epoch 10 loss 1.425814  MAE  0.0895  rmse  0.1266  df(ActivateDay.Avg) 0.0145
               valid loss 0.484876  MAE  0.0909  rmse  0.1303  df(ActivateDay.Avg) 0.0661
     train: epoch 11 loss 1.426361  MAE  0.0898  rmse  0.1269  df(ActivateDay.Avg) 0.0118
               valid loss 0.482650  MAE  0.0939  rmse  0.1293  df(ActivateDay.Avg) 0.0445
                test loss 0.530149  MAE  0.1553  rmse  0.2095  df(ActivateDay.Avg) 0.5256
     train: epoch 12 loss 1.423742  MAE  0.0893  rmse  0.1262  df(ActivateDay.Avg) 0.0125
               valid loss 0.484370  MAE  0.0992  rmse  0.1308  df(ActivateDay.Avg) 0.1830
     train: epoch 13 loss 1.424774  MAE  0.0894  rmse  0.1265  df(ActivateDay.Avg) 0.0113
               valid loss 0.485713  MAE  0.0888  rmse  0.1299  df(ActivateDay.Avg) 0.0812
     train: epoch 14 loss 1.423161  MAE  0.0894  rmse  0.1263  df(ActivateDay.Avg) 0.0115
               valid loss 0.482610  MAE  0.0920  rmse  0.1289  df(ActivateDay.Avg) 0.0261
                test loss 0.521956  MAE  0.1567  rmse  0.2108  df(ActivateDay.Avg) 0.5320
     train: epoch 15 loss 1.421942  MAE  0.0889  rmse  0.1260  df(ActivateDay.Avg) 0.0142
               valid loss 0.482712  MAE  0.0952  rmse  0.1293  df(ActivateDay.Avg) 0.0851
     train: epoch 16 loss 1.423669  MAE  0.0891  rmse  0.1262  df(ActivateDay.Avg) 0.0142
               valid loss 0.484744  MAE  0.0868  rmse  0.1308  df(ActivateDay.Avg) 0.1793
     train: epoch 17 loss 1.421589  MAE  0.0890  rmse  0.1259  df(ActivateDay.Avg) 0.0106
               valid loss 0.482304  MAE  0.0937  rmse  0.1291  df(ActivateDay.Avg) 0.0773
     train: epoch 18 loss 1.421765  MAE  0.0889  rmse  0.1259  df(ActivateDay.Avg) 0.0145
               valid loss 0.482288  MAE  0.0925  rmse  0.1292  df(ActivateDay.Avg) 0.0151
     train: epoch 19 loss 1.419599  MAE  0.0889  rmse  0.1256  df(ActivateDay.Avg) 0.0064
