{'model_name': 'CFIN', 'conv_size': 256, 'context_size': 32, 'embedding_size': 64, 'deep_layers': [100, 50], 'attn_enable': 1, 'attn_size': 128, 'kernel_size': 5, 'stride': 5, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'dropout_p': 0.1, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 3, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=3), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23230,  6089,  3359,  2442,  1971,  1626,  1357,  1037,   829,
         629,   498,   367,   272,   209,   122,    98,    78,    61,
          35,    28,    20,    16,    10,    13])}
      train: epoch 0 loss 0.238819  auc  0.0000 MAE  0.0925 rmse  0.1485  df(ActivateDay.Avg) 0.2618
               valid loss 4.720018  auc  0.0000 MAE  0.0891 rmse  0.1338  df(ActivateDay.Avg) 0.1247
                test loss 12.634150  auc  0.0000 MAE  0.0886 rmse  0.1330  df(ActivateDay.Avg) 0.1335
      train: epoch 1 loss 0.191628  auc  0.0000 MAE  0.0902 rmse  0.1330  df(ActivateDay.Avg) 0.0636
               valid loss 4.291469  auc  0.0000 MAE  0.0940 rmse  0.1310  df(ActivateDay.Avg) 0.0338
                test loss 11.462269  auc  0.0000 MAE  0.0931 rmse  0.1298  df(ActivateDay.Avg) 0.0335
      train: epoch 2 loss 0.185364  auc  0.0000 MAE  0.0897 rmse  0.1308  df(ActivateDay.Avg) 0.0393
               valid loss 4.732209  auc  0.0000 MAE  0.0847 rmse  0.1297  df(ActivateDay.Avg) 0.1611
                test loss 12.655059  auc  0.0000 MAE  0.0838 rmse  0.1286  df(ActivateDay.Avg) 0.1649
      train: epoch 3 loss 0.182467  auc  0.0000 MAE  0.0895 rmse  0.1298  df(ActivateDay.Avg) 0.0327
               valid loss 4.451035  auc  0.0000 MAE  0.0879 rmse  0.1284  df(ActivateDay.Avg) 0.0427
                test loss 11.886459  auc  0.0000 MAE  0.0869 rmse  0.1270  df(ActivateDay.Avg) 0.0423
      train: epoch 4 loss 0.182177  auc  0.0000 MAE  0.0895 rmse  0.1297  df(ActivateDay.Avg) 0.0259
               valid loss 4.698474  auc  0.0000 MAE  0.0848 rmse  0.1292  df(ActivateDay.Avg) 0.1877
      train: epoch 5 loss 0.181664  auc  0.0000 MAE  0.0897 rmse  0.1295  df(ActivateDay.Avg) 0.0259
               valid loss 4.453383  auc  0.0000 MAE  0.0877 rmse  0.1288  df(ActivateDay.Avg) 0.0133
      train: epoch 6 loss 0.180082  auc  0.0000 MAE  0.0895 rmse  0.1290  df(ActivateDay.Avg) 0.0192
               valid loss 4.683193  auc  0.0000 MAE  0.0856 rmse  0.1299  df(ActivateDay.Avg) 0.1895
      train: epoch 7 loss 0.180278  auc  0.0000 MAE  0.0897 rmse  0.1290  df(ActivateDay.Avg) 0.0183
               valid loss 4.663346  auc  0.0000 MAE  0.0844 rmse  0.1283  df(ActivateDay.Avg) 0.1339
                test loss 12.476080  auc  0.0000 MAE  0.0835 rmse  0.1273  df(ActivateDay.Avg) 0.1349
      train: epoch 8 loss 0.179998  auc  0.0000 MAE  0.0896 rmse  0.1289  df(ActivateDay.Avg) 0.0196
               valid loss 4.244816  auc  0.0000 MAE  0.0917 rmse  0.1274  df(ActivateDay.Avg) 0.0718
                test loss 11.336414  auc  0.0000 MAE  0.0909 rmse  0.1263  df(ActivateDay.Avg) 0.0723
      train: epoch 9 loss 0.180409  auc  0.0000 MAE  0.0899 rmse  0.1291  df(ActivateDay.Avg) 0.0143
               valid loss 4.322469  auc  0.0000 MAE  0.0903 rmse  0.1273  df(ActivateDay.Avg) 0.0120
                test loss 11.554321  auc  0.0000 MAE  0.0894 rmse  0.1260  df(ActivateDay.Avg) 0.0117
     train: epoch 10 loss 0.179689  auc  0.0000 MAE  0.0897 rmse  0.1288  df(ActivateDay.Avg) 0.0170
               valid loss 4.626590  auc  0.0000 MAE  0.0855 rmse  0.1284  df(ActivateDay.Avg) 0.1590
     train: epoch 11 loss 0.178860  auc  0.0000 MAE  0.0896 rmse  0.1285  df(ActivateDay.Avg) 0.0138
               valid loss 4.510219  auc  0.0000 MAE  0.0863 rmse  0.1277  df(ActivateDay.Avg) 0.0643
     train: epoch 12 loss 0.179458  auc  0.0000 MAE  0.0897 rmse  0.1287  df(ActivateDay.Avg) 0.0180
               valid loss 4.253950  auc  0.0000 MAE  0.0916 rmse  0.1271  df(ActivateDay.Avg) 0.0603
                test loss 11.367986  auc  0.0000 MAE  0.0906 rmse  0.1259  df(ActivateDay.Avg) 0.0602
     train: epoch 13 loss 0.178832  auc  0.0000 MAE  0.0897 rmse  0.1285  df(ActivateDay.Avg) 0.0135
               valid loss 4.459806  auc  0.0000 MAE  0.0871 rmse  0.1271  df(ActivateDay.Avg) 0.0495
     train: epoch 14 loss 0.178952  auc  0.0000 MAE  0.0896 rmse  0.1286  df(ActivateDay.Avg) 0.0121
               valid loss 4.446148  auc  0.0000 MAE  0.0877 rmse  0.1294  df(ActivateDay.Avg) 0.0030
     train: epoch 15 loss 0.178625  auc  0.0000 MAE  0.0897 rmse  0.1284  df(ActivateDay.Avg) 0.0109
               valid loss 4.259874  auc  0.0000 MAE  0.0919 rmse  0.1272  df(ActivateDay.Avg) 0.0493
     train: epoch 16 loss 0.178697  auc  0.0000 MAE  0.0897 rmse  0.1285  df(ActivateDay.Avg) 0.0104
               valid loss 4.462029  auc  0.0000 MAE  0.0876 rmse  0.1299  df(ActivateDay.Avg) 0.0033
     train: epoch 17 loss 0.179208  auc  0.0000 MAE  0.0899 rmse  0.1286  df(ActivateDay.Avg) 0.0081
               valid loss 4.616092  auc  0.0000 MAE  0.0847 rmse  0.1275  df(ActivateDay.Avg) 0.1309
     train: epoch 18 loss 0.178616  auc  0.0000 MAE  0.0897 rmse  0.1284  df(ActivateDay.Avg) 0.0102
               valid loss 4.274269  auc  0.0000 MAE  0.0912 rmse  0.1279  df(ActivateDay.Avg) 0.0578
     train: epoch 19 loss 0.178708  auc  0.0000 MAE  0.0898 rmse  0.1285  df(ActivateDay.Avg) 0.0079
               valid loss 4.227378  auc  0.0000 MAE  0.0927 rmse  0.1273  df(ActivateDay.Avg) 0.0665
     train: epoch 20 loss 0.178394  auc  0.0000 MAE  0.0898 rmse  0.1284  df(ActivateDay.Avg) 0.0040
               valid loss 4.410523  auc  0.0000 MAE  0.0882 rmse  0.1271  df(ActivateDay.Avg) 0.0300
     train: epoch 21 loss 0.179120  auc  0.0000 MAE  0.0899 rmse  0.1286  df(ActivateDay.Avg) 0.0083
               valid loss 4.306793  auc  0.0000 MAE  0.0913 rmse  0.1274  df(ActivateDay.Avg) 0.0137
     train: epoch 22 loss 0.178228  auc  0.0000 MAE  0.0899 rmse  0.1283  df(ActivateDay.Avg) 0.0035
               valid loss 4.405721  auc  0.0000 MAE  0.0880 rmse  0.1269  df(ActivateDay.Avg) 0.0212
                test loss 11.773058  auc  0.0000 MAE  0.0871 rmse  0.1257  df(ActivateDay.Avg) 0.0212
     train: epoch 23 loss 0.178599  auc  0.0000 MAE  0.0900 rmse  0.1284  df(ActivateDay.Avg) 0.0029
               valid loss 4.372460  auc  0.0000 MAE  0.0890 rmse  0.1270  df(ActivateDay.Avg) 0.0112
     train: epoch 24 loss 0.177996  auc  0.0000 MAE  0.0897 rmse  0.1282  df(ActivateDay.Avg) 0.0053
