{'model_name': 'LSCNN', 'embedding_size': 64, 'hidden_size': 8, 'lstm_2_input_size': 100, 'lscnn_conv2_kernel': 3, 'lscnn_conv2_outputsize': 20, 'lscnn_pool_kernel': 2, 'dropout_p': 0.1, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 3, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 2, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=2), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23230,  6089,  3359,  2442,  1971,  1626,  1357,  1037,   829,
         629,   498,   367,   272,   209,   122,    98,    78,    61,
          35,    28,    20,    16,    10,    13])}
      train: epoch 0 loss 0.206199  auc  0.0000 MAE  0.0979 rmse  0.1380  df(ActivateDay.Avg) 0.1224
               valid loss 4.370252  auc  0.0000 MAE  0.0893 rmse  0.1271  df(ActivateDay.Avg) 0.0082
                test loss 11.690265  auc  0.0000 MAE  0.0884 rmse  0.1258  df(ActivateDay.Avg) 0.0092
      train: epoch 1 loss 0.174115  auc  0.0000 MAE  0.0893 rmse  0.1268  df(ActivateDay.Avg) 0.0058
               valid loss 4.339831  auc  0.0000 MAE  0.0885 rmse  0.1263  df(ActivateDay.Avg) 0.0110
                test loss 11.613177  auc  0.0000 MAE  0.0876 rmse  0.1250  df(ActivateDay.Avg) 0.0094
      train: epoch 2 loss 0.172757  auc  0.0000 MAE  0.0887 rmse  0.1263  df(ActivateDay.Avg) 0.0052
               valid loss 4.128112  auc  0.0000 MAE  0.0931 rmse  0.1267  df(ActivateDay.Avg) 0.1421
      train: epoch 3 loss 0.172030  auc  0.0000 MAE  0.0886 rmse  0.1260  df(ActivateDay.Avg) 0.0070
               valid loss 4.413637  auc  0.0000 MAE  0.0871 rmse  0.1260  df(ActivateDay.Avg) 0.0491
