{'model_name': 'CFIN', 'conv_size': 256, 'context_size': 32, 'embedding_size': 64, 'deep_layers': [100, 50], 'attn_enable': 1, 'attn_size': 128, 'kernel_size': 5, 'stride': 5, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'dropout_p': 0.1, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 7, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=7), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23234,  6098,  3407,  2410,  1978,  1630,  1340,  1008,   816,
         651,   496,   359,   271,   194,   143,    95,    81,    65,
          32,    27,    21,    15,    10,    15])}
      train: epoch 0 loss 0.212831  auc  0.0000 MAE  0.0863 rmse  0.1402  df(ActivateDay.Avg) 0.2396
               valid loss 4.420736  auc  0.0000 MAE  0.0852 rmse  0.1279  df(ActivateDay.Avg) 0.0210
                test loss 11.798381  auc  0.0000 MAE  0.0846 rmse  0.1276  df(ActivateDay.Avg) 0.0323
      train: epoch 1 loss 0.174289  auc  0.0000 MAE  0.0844 rmse  0.1269  df(ActivateDay.Avg) 0.0464
               valid loss 4.293240  auc  0.0000 MAE  0.0858 rmse  0.1242  df(ActivateDay.Avg) 0.0152
                test loss 11.460143  auc  0.0000 MAE  0.0845 rmse  0.1229  df(ActivateDay.Avg) 0.0224
      train: epoch 2 loss 0.168760  auc  0.0000 MAE  0.0839 rmse  0.1248  df(ActivateDay.Avg) 0.0297
               valid loss 4.194489  auc  0.0000 MAE  0.0867 rmse  0.1242  df(ActivateDay.Avg) 0.0868
                test loss 11.202051  auc  0.0000 MAE  0.0853 rmse  0.1227  df(ActivateDay.Avg) 0.0934
      train: epoch 3 loss 0.167467  auc  0.0000 MAE  0.0840 rmse  0.1244  df(ActivateDay.Avg) 0.0249
               valid loss 4.155570  auc  0.0000 MAE  0.0874 rmse  0.1256  df(ActivateDay.Avg) 0.1335
      train: epoch 4 loss 0.165818  auc  0.0000 MAE  0.0840 rmse  0.1237  df(ActivateDay.Avg) 0.0200
               valid loss 4.694916  auc  0.0000 MAE  0.0791 rmse  0.1230  df(ActivateDay.Avg) 0.1715
                test loss 12.579304  auc  0.0000 MAE  0.0780 rmse  0.1219  df(ActivateDay.Avg) 0.1678
      train: epoch 5 loss 0.165358  auc  0.0000 MAE  0.0836 rmse  0.1236  df(ActivateDay.Avg) 0.0236
               valid loss 4.665131  auc  0.0000 MAE  0.0796 rmse  0.1232  df(ActivateDay.Avg) 0.1668
      train: epoch 6 loss 0.164935  auc  0.0000 MAE  0.0837 rmse  0.1234  df(ActivateDay.Avg) 0.0196
               valid loss 4.120392  auc  0.0000 MAE  0.0881 rmse  0.1232  df(ActivateDay.Avg) 0.1180
      train: epoch 7 loss 0.164928  auc  0.0000 MAE  0.0837 rmse  0.1234  df(ActivateDay.Avg) 0.0190
               valid loss 4.331545  auc  0.0000 MAE  0.0834 rmse  0.1221  df(ActivateDay.Avg) 0.0114
                test loss 11.599130  auc  0.0000 MAE  0.0820 rmse  0.1206  df(ActivateDay.Avg) 0.0087
      train: epoch 8 loss 0.164653  auc  0.0000 MAE  0.0837 rmse  0.1233  df(ActivateDay.Avg) 0.0207
               valid loss 4.044333  auc  0.0000 MAE  0.0894 rmse  0.1244  df(ActivateDay.Avg) 0.1861
      train: epoch 9 loss 0.164649  auc  0.0000 MAE  0.0837 rmse  0.1233  df(ActivateDay.Avg) 0.0179
               valid loss 4.457568  auc  0.0000 MAE  0.0822 rmse  0.1228  df(ActivateDay.Avg) 0.0870
     train: epoch 10 loss 0.164918  auc  0.0000 MAE  0.0837 rmse  0.1234  df(ActivateDay.Avg) 0.0192
               valid loss 4.372325  auc  0.0000 MAE  0.0837 rmse  0.1243  df(ActivateDay.Avg) 0.0129
     train: epoch 11 loss 0.164676  auc  0.0000 MAE  0.0838 rmse  0.1233  df(ActivateDay.Avg) 0.0153
               valid loss 4.624750  auc  0.0000 MAE  0.0803 rmse  0.1235  df(ActivateDay.Avg) 0.1619
     train: epoch 12 loss 0.164040  auc  0.0000 MAE  0.0837 rmse  0.1231  df(ActivateDay.Avg) 0.0158
               valid loss 4.320538  auc  0.0000 MAE  0.0838 rmse  0.1221  df(ActivateDay.Avg) 0.0194
     train: epoch 13 loss 0.164791  auc  0.0000 MAE  0.0840 rmse  0.1234  df(ActivateDay.Avg) 0.0163
               valid loss 4.644529  auc  0.0000 MAE  0.0801 rmse  0.1235  df(ActivateDay.Avg) 0.1871
     train: epoch 14 loss 0.164295  auc  0.0000 MAE  0.0837 rmse  0.1232  df(ActivateDay.Avg) 0.0158
               valid loss 4.177872  auc  0.0000 MAE  0.0868 rmse  0.1220  df(ActivateDay.Avg) 0.0601
                test loss 11.185875  auc  0.0000 MAE  0.0854 rmse  0.1206  df(ActivateDay.Avg) 0.0641
     train: epoch 15 loss 0.163869  auc  0.0000 MAE  0.0838 rmse  0.1230  df(ActivateDay.Avg) 0.0107
               valid loss 4.394948  auc  0.0000 MAE  0.0834 rmse  0.1248  df(ActivateDay.Avg) 0.0187
     train: epoch 16 loss 0.164314  auc  0.0000 MAE  0.0839 rmse  0.1232  df(ActivateDay.Avg) 0.0122
               valid loss 4.435839  auc  0.0000 MAE  0.0826 rmse  0.1246  df(ActivateDay.Avg) 0.0103
     train: epoch 17 loss 0.163895  auc  0.0000 MAE  0.0839 rmse  0.1230  df(ActivateDay.Avg) 0.0124
               valid loss 4.648853  auc  0.0000 MAE  0.0798 rmse  0.1233  df(ActivateDay.Avg) 0.1116
     train: epoch 18 loss 0.164096  auc  0.0000 MAE  0.0838 rmse  0.1231  df(ActivateDay.Avg) 0.0111
               valid loss 4.456702  auc  0.0000 MAE  0.0817 rmse  0.1221  df(ActivateDay.Avg) 0.0830
