{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.2, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 5, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=5), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23234,  6098,  3407,  2410,  1978,  1630,  1340,  1008,   816,
         651,   496,   359,   271,   194,   143,    95,    81,    65,
          32,    27,    21,    15,    10,    15])}
      train: epoch 0 loss 0.187897  auc  0.0000 MAE  0.0868 rmse  0.1317  df(ActivateDay.Avg) 0.1064
               valid loss 4.567932  auc  0.0000 MAE  0.0809 rmse  0.1224  df(ActivateDay.Avg) 0.1392
                test loss 12.226640  auc  0.0000 MAE  0.0800 rmse  0.1215  df(ActivateDay.Avg) 0.1324
      train: epoch 1 loss 0.162409  auc  0.0000 MAE  0.0850 rmse  0.1225  df(ActivateDay.Avg) 0.0080
               valid loss 4.761545  auc  0.0000 MAE  0.0797 rmse  0.1241  df(ActivateDay.Avg) 0.2429
      train: epoch 2 loss 0.161812  auc  0.0000 MAE  0.0850 rmse  0.1222  df(ActivateDay.Avg) 0.0094
               valid loss 4.195109  auc  0.0000 MAE  0.0875 rmse  0.1218  df(ActivateDay.Avg) 0.0532
                test loss 11.218697  auc  0.0000 MAE  0.0866 rmse  0.1209  df(ActivateDay.Avg) 0.0616
      train: epoch 3 loss 0.161538  auc  0.0000 MAE  0.0848 rmse  0.1221  df(ActivateDay.Avg) 0.0098
               valid loss 4.212457  auc  0.0000 MAE  0.0863 rmse  0.1217  df(ActivateDay.Avg) 0.0513
                test loss 11.267291  auc  0.0000 MAE  0.0854 rmse  0.1206  df(ActivateDay.Avg) 0.0600
      train: epoch 4 loss 0.161347  auc  0.0000 MAE  0.0847 rmse  0.1221  df(ActivateDay.Avg) 0.0092
               valid loss 4.353329  auc  0.0000 MAE  0.0847 rmse  0.1221  df(ActivateDay.Avg) 0.0485
      train: epoch 5 loss 0.161233  auc  0.0000 MAE  0.0850 rmse  0.1220  df(ActivateDay.Avg) 0.0125
               valid loss 4.617859  auc  0.0000 MAE  0.0805 rmse  0.1225  df(ActivateDay.Avg) 0.1689
      train: epoch 6 loss 0.161446  auc  0.0000 MAE  0.0848 rmse  0.1221  df(ActivateDay.Avg) 0.0093
               valid loss 4.618530  auc  0.0000 MAE  0.0805 rmse  0.1226  df(ActivateDay.Avg) 0.1659
      train: epoch 7 loss 0.161154  auc  0.0000 MAE  0.0848 rmse  0.1220  df(ActivateDay.Avg) 0.0120
               valid loss 4.678176  auc  0.0000 MAE  0.0799 rmse  0.1229  df(ActivateDay.Avg) 0.1927
      train: epoch 8 loss 0.160634  auc  0.0000 MAE  0.0846 rmse  0.1218  df(ActivateDay.Avg) 0.0112
               valid loss 4.402445  auc  0.0000 MAE  0.0834 rmse  0.1219  df(ActivateDay.Avg) 0.0648
      train: epoch 9 loss 0.161056  auc  0.0000 MAE  0.0848 rmse  0.1220  df(ActivateDay.Avg) 0.0120
               valid loss 4.161778  auc  0.0000 MAE  0.0878 rmse  0.1217  df(ActivateDay.Avg) 0.0764
     train: epoch 10 loss 0.160437  auc  0.0000 MAE  0.0848 rmse  0.1217  df(ActivateDay.Avg) 0.0155
               valid loss 4.074123  auc  0.0000 MAE  0.0895 rmse  0.1221  df(ActivateDay.Avg) 0.1414
     train: epoch 11 loss 0.161174  auc  0.0000 MAE  0.0849 rmse  0.1220  df(ActivateDay.Avg) 0.0133
               valid loss 4.432495  auc  0.0000 MAE  0.0824 rmse  0.1217  df(ActivateDay.Avg) 0.0649
     train: epoch 12 loss 0.160689  auc  0.0000 MAE  0.0848 rmse  0.1218  df(ActivateDay.Avg) 0.0151
               valid loss 4.226994  auc  0.0000 MAE  0.0862 rmse  0.1218  df(ActivateDay.Avg) 0.0405
     train: epoch 13 loss 0.160773  auc  0.0000 MAE  0.0849 rmse  0.1219  df(ActivateDay.Avg) 0.0168
               valid loss 4.304008  auc  0.0000 MAE  0.0845 rmse  0.1215  df(ActivateDay.Avg) 0.0010
                test loss 11.510598  auc  0.0000 MAE  0.0836 rmse  0.1205  df(ActivateDay.Avg) 0.0075
     train: epoch 14 loss 0.160855  auc  0.0000 MAE  0.0848 rmse  0.1219  df(ActivateDay.Avg) 0.0127
               valid loss 4.751461  auc  0.0000 MAE  0.0795 rmse  0.1235  df(ActivateDay.Avg) 0.2304
     train: epoch 15 loss 0.160702  auc  0.0000 MAE  0.0849 rmse  0.1218  df(ActivateDay.Avg) 0.0168
               valid loss 4.398008  auc  0.0000 MAE  0.0830 rmse  0.1217  df(ActivateDay.Avg) 0.0509
     train: epoch 16 loss 0.160338  auc  0.0000 MAE  0.0848 rmse  0.1217  df(ActivateDay.Avg) 0.0154
               valid loss 4.023453  auc  0.0000 MAE  0.0908 rmse  0.1223  df(ActivateDay.Avg) 0.1734
     train: epoch 17 loss 0.160791  auc  0.0000 MAE  0.0848 rmse  0.1219  df(ActivateDay.Avg) 0.0141
               valid loss 4.387963  auc  0.0000 MAE  0.0834 rmse  0.1217  df(ActivateDay.Avg) 0.0558
     train: epoch 18 loss 0.160472  auc  0.0000 MAE  0.0848 rmse  0.1217  df(ActivateDay.Avg) 0.0173
               valid loss 3.919189  auc  0.0000 MAE  0.0940 rmse  0.1232  df(ActivateDay.Avg) 0.2510
     train: epoch 19 loss 0.160443  auc  0.0000 MAE  0.0849 rmse  0.1217  df(ActivateDay.Avg) 0.0144
               valid loss 4.422959  auc  0.0000 MAE  0.0832 rmse  0.1220  df(ActivateDay.Avg) 0.0808
     train: epoch 20 loss 0.160805  auc  0.0000 MAE  0.0849 rmse  0.1219  df(ActivateDay.Avg) 0.0160
               valid loss 3.875252  auc  0.0000 MAE  0.0955 rmse  0.1236  df(ActivateDay.Avg) 0.2836
     train: epoch 21 loss 0.160258  auc  0.0000 MAE  0.0848 rmse  0.1217  df(ActivateDay.Avg) 0.0175
               valid loss 4.429327  auc  0.0000 MAE  0.0827 rmse  0.1218  df(ActivateDay.Avg) 0.0748
     train: epoch 22 loss 0.160027  auc  0.0000 MAE  0.0848 rmse  0.1216  df(ActivateDay.Avg) 0.0177
               valid loss 4.096435  auc  0.0000 MAE  0.0891 rmse  0.1219  df(ActivateDay.Avg) 0.1243
     train: epoch 23 loss 0.160416  auc  0.0000 MAE  0.0850 rmse  0.1217  df(ActivateDay.Avg) 0.0190
               valid loss 4.618037  auc  0.0000 MAE  0.0804 rmse  0.1225  df(ActivateDay.Avg) 0.1701
     train: epoch 24 loss 0.160176  auc  0.0000 MAE  0.0848 rmse  0.1216  df(ActivateDay.Avg) 0.0155
               valid loss 4.414403  auc  0.0000 MAE  0.0828 rmse  0.1217  df(ActivateDay.Avg) 0.0642
     train: epoch 25 loss 0.160854  auc  0.0000 MAE  0.0850 rmse  0.1219  df(ActivateDay.Avg) 0.0159
               valid loss 4.349766  auc  0.0000 MAE  0.0837 rmse  0.1214  df(ActivateDay.Avg) 0.0292
