{'model_name': 'LR', 'embedding_size': 32, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 2, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.2, 'device': device(type='cuda', index=2), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23234,  6098,  3407,  2410,  1978,  1630,  1340,  1008,   816,
         651,   496,   359,   271,   194,   143,    95,    81,    65,
          32,    27,    21,    15,    10,    15])}
      train: epoch 0 loss 0.687300  auc  0.0000 MAE  0.1355 rmse  0.2519  df(ActivateDay.Avg) 0.0725
               valid loss 2.673877  auc  0.0000 MAE  0.4477 rmse  0.4693  df(ActivateDay.Avg) 5.1304
                test loss 7.084034  auc  0.0000 MAE  0.4484 rmse  0.4694  df(ActivateDay.Avg) 5.1683
      train: epoch 1 loss 0.554807  auc  0.0000 MAE  0.1225 rmse  0.2264  df(ActivateDay.Avg) 0.0020
               valid loss 2.496939  auc  0.0000 MAE  0.4395 rmse  0.4565  df(ActivateDay.Avg) 5.1086
                test loss 6.615113  auc  0.0000 MAE  0.4401 rmse  0.4565  df(ActivateDay.Avg) 5.1445
      train: epoch 2 loss 0.899311  auc  0.0000 MAE  0.1345 rmse  0.2882  df(ActivateDay.Avg) 0.0040
               valid loss 2.458142  auc  0.0000 MAE  0.4380 rmse  0.4538  df(ActivateDay.Avg) 5.0992
                test loss 6.521919  auc  0.0000 MAE  0.4388 rmse  0.4539  df(ActivateDay.Avg) 5.1357
      train: epoch 3 loss 0.299433  auc  0.0000 MAE  0.1014 rmse  0.1663  df(ActivateDay.Avg) 0.0009
               valid loss 2.497206  auc  0.0000 MAE  0.4392 rmse  0.4561  df(ActivateDay.Avg) 5.1037
      train: epoch 4 loss 0.306911  auc  0.0000 MAE  0.1036 rmse  0.1684  df(ActivateDay.Avg) 0.0006
               valid loss 2.486919  auc  0.0000 MAE  0.4391 rmse  0.4558  df(ActivateDay.Avg) 5.1055
      train: epoch 5 loss 0.371986  auc  0.0000 MAE  0.1093 rmse  0.1853  df(ActivateDay.Avg) 0.0039
               valid loss 2.484185  auc  0.0000 MAE  0.4414 rmse  0.4583  df(ActivateDay.Avg) 5.1276
      train: epoch 6 loss 0.940187  auc  0.0000 MAE  0.1431 rmse  0.2947  df(ActivateDay.Avg) 0.0034
               valid loss 2.485204  auc  0.0000 MAE  0.4388 rmse  0.4554  df(ActivateDay.Avg) 5.1023
      train: epoch 7 loss 0.273510  auc  0.0000 MAE  0.0985 rmse  0.1589  df(ActivateDay.Avg) 0.0004
               valid loss 2.463919  auc  0.0000 MAE  0.4398 rmse  0.4560  df(ActivateDay.Avg) 5.1155
      train: epoch 8 loss 0.803864  auc  0.0000 MAE  0.1225 rmse  0.2725  df(ActivateDay.Avg) 0.0015
               valid loss 2.466029  auc  0.0000 MAE  0.4399 rmse  0.4563  df(ActivateDay.Avg) 5.1147
      train: epoch 9 loss 0.526877  auc  0.0000 MAE  0.1088 rmse  0.2206  df(ActivateDay.Avg) 0.0006
               valid loss 2.563440  auc  0.0000 MAE  0.4425 rmse  0.4618  df(ActivateDay.Avg) 5.1175
     train: epoch 10 loss 0.277271  auc  0.0000 MAE  0.0984 rmse  0.1600  df(ActivateDay.Avg) 0.0012
               valid loss 2.479279  auc  0.0000 MAE  0.4394 rmse  0.4557  df(ActivateDay.Avg) 5.1116
     train: epoch 11 loss 0.267655  auc  0.0000 MAE  0.0963 rmse  0.1572  df(ActivateDay.Avg) 0.0008
               valid loss 2.524458  auc  0.0000 MAE  0.4404 rmse  0.4585  df(ActivateDay.Avg) 5.1095
     train: epoch 12 loss 0.265012  auc  0.0000 MAE  0.0985 rmse  0.1564  df(ActivateDay.Avg) 0.0007
               valid loss 2.496707  auc  0.0000 MAE  0.4398 rmse  0.4566  df(ActivateDay.Avg) 5.1123
     train: epoch 13 loss 0.301856  auc  0.0000 MAE  0.1019 rmse  0.1670  df(ActivateDay.Avg) 0.0005
               valid loss 2.471681  auc  0.0000 MAE  0.4386 rmse  0.4549  df(ActivateDay.Avg) 5.1047
     train: epoch 14 loss 0.304721  auc  0.0000 MAE  0.1016 rmse  0.1678  df(ActivateDay.Avg) 0.0005
               valid loss 2.465243  auc  0.0000 MAE  0.4392 rmse  0.4551  df(ActivateDay.Avg) 5.1129
     train: epoch 15 loss 0.257856  auc  0.0000 MAE  0.0978 rmse  0.1543  df(ActivateDay.Avg) 0.0011
               valid loss 2.485303  auc  0.0000 MAE  0.4404 rmse  0.4569  df(ActivateDay.Avg) 5.1205
     train: epoch 16 loss 0.242599  auc  0.0000 MAE  0.0951 rmse  0.1497  df(ActivateDay.Avg) 0.0018
               valid loss 2.466711  auc  0.0000 MAE  0.4397 rmse  0.4556  df(ActivateDay.Avg) 5.1169
     train: epoch 17 loss 0.518986  auc  0.0000 MAE  0.1087 rmse  0.2189  df(ActivateDay.Avg) 0.0008
               valid loss 2.543511  auc  0.0000 MAE  0.4409 rmse  0.4595  df(ActivateDay.Avg) 5.1093
     train: epoch 18 loss 0.313316  auc  0.0000 MAE  0.1001 rmse  0.1701  df(ActivateDay.Avg) 0.0006
               valid loss 2.466299  auc  0.0000 MAE  0.4389 rmse  0.4548  df(ActivateDay.Avg) 5.1071
     train: epoch 19 loss 0.253363  auc  0.0000 MAE  0.0954 rmse  0.1530  df(ActivateDay.Avg) 0.0018
               valid loss 2.510803  auc  0.0000 MAE  0.4401 rmse  0.4571  df(ActivateDay.Avg) 5.1018
     train: epoch 20 loss 0.241279  auc  0.0000 MAE  0.0949 rmse  0.1493  df(ActivateDay.Avg) 0.0017
               valid loss 2.493307  auc  0.0000 MAE  0.4395 rmse  0.4562  df(ActivateDay.Avg) 5.1098
     train: epoch 21 loss 0.268691  auc  0.0000 MAE  0.0973 rmse  0.1575  df(ActivateDay.Avg) 0.0010
               valid loss 2.477633  auc  0.0000 MAE  0.4399 rmse  0.4562  df(ActivateDay.Avg) 5.1182
     train: epoch 22 loss 0.276766  auc  0.0000 MAE  0.0974 rmse  0.1599  df(ActivateDay.Avg) 0.0005
               valid loss 2.488314  auc  0.0000 MAE  0.4399 rmse  0.4564  df(ActivateDay.Avg) 5.1156
     train: epoch 23 loss 0.216494  auc  0.0000 MAE  0.0920 rmse  0.1414  df(ActivateDay.Avg) 0.0010
               valid loss 2.474403  auc  0.0000 MAE  0.4392 rmse  0.4553  df(ActivateDay.Avg) 5.1095
     train: epoch 24 loss 0.258193  auc  0.0000 MAE  0.0943 rmse  0.1544  df(ActivateDay.Avg) 0.0006
               valid loss 2.482501  auc  0.0000 MAE  0.4394 rmse  0.4558  df(ActivateDay.Avg) 5.1121
     train: epoch 25 loss 0.255355  auc  0.0000 MAE  0.0939 rmse  0.1536  df(ActivateDay.Avg) 0.0008
               valid loss 2.462558  auc  0.0000 MAE  0.4387 rmse  0.4546  df(ActivateDay.Avg) 5.1069
     train: epoch 26 loss 0.213947  auc  0.0000 MAE  0.0916 rmse  0.1406  df(ActivateDay.Avg) 0.0020
               valid loss 2.462820  auc  0.0000 MAE  0.4398 rmse  0.4557  df(ActivateDay.Avg) 5.1199
     train: epoch 27 loss 0.224300  auc  0.0000 MAE  0.0931 rmse  0.1439  df(ActivateDay.Avg) 0.0027
               valid loss 2.467340  auc  0.0000 MAE  0.4389 rmse  0.4549  df(ActivateDay.Avg) 5.1102
     train: epoch 28 loss 0.196480  auc  0.0000 MAE  0.0894 rmse  0.1347  df(ActivateDay.Avg) 0.0013
               valid loss 2.462558  auc  0.0000 MAE  0.4380 rmse  0.4539  df(ActivateDay.Avg) 5.0994
     train: epoch 29 loss 0.203299  auc  0.0000 MAE  0.0893 rmse  0.1370  df(ActivateDay.Avg) 0.0021
