{'model_name': 'LSCNN', 'embedding_size': 64, 'hidden_size': 8, 'lstm_2_input_size': 100, 'lscnn_conv2_kernel': 3, 'lscnn_conv2_outputsize': 20, 'lscnn_pool_kernel': 2, 'dropout_p': 0.1, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 6, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=6), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23234,  6098,  3407,  2410,  1978,  1630,  1340,  1008,   816,
         651,   496,   359,   271,   194,   143,    95,    81,    65,
          32,    27,    21,    15,    10,    15])}
      train: epoch 0 loss 0.177472  auc  0.0000 MAE  0.0889 rmse  0.1280  df(ActivateDay.Avg) 0.0864
               valid loss 4.302086  auc  0.0000 MAE  0.0828 rmse  0.1202  df(ActivateDay.Avg) 0.0010
                test loss 11.485978  auc  0.0000 MAE  0.0818 rmse  0.1191  df(ActivateDay.Avg) 0.0136
      train: epoch 1 loss 0.154770  auc  0.0000 MAE  0.0818 rmse  0.1196  df(ActivateDay.Avg) 0.0007
               valid loss 4.385828  auc  0.0000 MAE  0.0814 rmse  0.1197  df(ActivateDay.Avg) 0.0521
                test loss 11.706744  auc  0.0000 MAE  0.0804 rmse  0.1184  df(ActivateDay.Avg) 0.0408
      train: epoch 2 loss 0.154658  auc  0.0000 MAE  0.0819 rmse  0.1195  df(ActivateDay.Avg) 0.0017
               valid loss 4.262384  auc  0.0000 MAE  0.0828 rmse  0.1197  df(ActivateDay.Avg) 0.0287
                test loss 11.387094  auc  0.0000 MAE  0.0817 rmse  0.1181  df(ActivateDay.Avg) 0.0371
      train: epoch 3 loss 0.153470  auc  0.0000 MAE  0.0813 rmse  0.1191  df(ActivateDay.Avg) 0.0003
               valid loss 4.312292  auc  0.0000 MAE  0.0818 rmse  0.1193  df(ActivateDay.Avg) 0.0085
                test loss 11.538829  auc  0.0000 MAE  0.0808 rmse  0.1180  df(ActivateDay.Avg) 0.0027
      train: epoch 4 loss 0.152928  auc  0.0000 MAE  0.0812 rmse  0.1188  df(ActivateDay.Avg) 0.0003
               valid loss 4.392749  auc  0.0000 MAE  0.0809 rmse  0.1195  df(ActivateDay.Avg) 0.0624
      train: epoch 5 loss 0.152578  auc  0.0000 MAE  0.0811 rmse  0.1187  df(ActivateDay.Avg) 0.0002
               valid loss 4.269017  auc  0.0000 MAE  0.0824 rmse  0.1194  df(ActivateDay.Avg) 0.0223
      train: epoch 6 loss 0.152947  auc  0.0000 MAE  0.0812 rmse  0.1188  df(ActivateDay.Avg) 0.0000
               valid loss 4.394323  auc  0.0000 MAE  0.0804 rmse  0.1194  df(ActivateDay.Avg) 0.0384
      train: epoch 7 loss 0.152710  auc  0.0000 MAE  0.0811 rmse  0.1188  df(ActivateDay.Avg) 0.0002
               valid loss 4.459370  auc  0.0000 MAE  0.0796 rmse  0.1193  df(ActivateDay.Avg) 0.0869
      train: epoch 8 loss 0.152348  auc  0.0000 MAE  0.0811 rmse  0.1186  df(ActivateDay.Avg) 0.0004
               valid loss 4.146629  auc  0.0000 MAE  0.0844 rmse  0.1194  df(ActivateDay.Avg) 0.0944
      train: epoch 9 loss 0.152434  auc  0.0000 MAE  0.0811 rmse  0.1186  df(ActivateDay.Avg) 0.0010
               valid loss 4.282353  auc  0.0000 MAE  0.0820 rmse  0.1194  df(ActivateDay.Avg) 0.0247
     train: epoch 10 loss 0.151817  auc  0.0000 MAE  0.0809 rmse  0.1184  df(ActivateDay.Avg) 0.0008
               valid loss 4.262360  auc  0.0000 MAE  0.0821 rmse  0.1192  df(ActivateDay.Avg) 0.0323
                test loss 11.375628  auc  0.0000 MAE  0.0814 rmse  0.1180  df(ActivateDay.Avg) 0.0461
     train: epoch 11 loss 0.152061  auc  0.0000 MAE  0.0810 rmse  0.1185  df(ActivateDay.Avg) 0.0021
               valid loss 4.344072  auc  0.0000 MAE  0.0810 rmse  0.1194  df(ActivateDay.Avg) 0.0155
     train: epoch 12 loss 0.151972  auc  0.0000 MAE  0.0809 rmse  0.1185  df(ActivateDay.Avg) 0.0011
               valid loss 4.418406  auc  0.0000 MAE  0.0801 rmse  0.1192  df(ActivateDay.Avg) 0.0723
     train: epoch 13 loss 0.151942  auc  0.0000 MAE  0.0810 rmse  0.1185  df(ActivateDay.Avg) 0.0028
               valid loss 4.365749  auc  0.0000 MAE  0.0804 rmse  0.1194  df(ActivateDay.Avg) 0.0228
     train: epoch 14 loss 0.151741  auc  0.0000 MAE  0.0809 rmse  0.1184  df(ActivateDay.Avg) 0.0030
               valid loss 4.364899  auc  0.0000 MAE  0.0807 rmse  0.1190  df(ActivateDay.Avg) 0.0413
                test loss 11.648945  auc  0.0000 MAE  0.0798 rmse  0.1177  df(ActivateDay.Avg) 0.0293
     train: epoch 15 loss 0.151966  auc  0.0000 MAE  0.0809 rmse  0.1185  df(ActivateDay.Avg) 0.0005
               valid loss 4.264017  auc  0.0000 MAE  0.0825 rmse  0.1191  df(ActivateDay.Avg) 0.0144
     train: epoch 16 loss 0.151688  auc  0.0000 MAE  0.0809 rmse  0.1184  df(ActivateDay.Avg) 0.0043
               valid loss 4.390801  auc  0.0000 MAE  0.0808 rmse  0.1194  df(ActivateDay.Avg) 0.0577
     train: epoch 17 loss 0.151410  auc  0.0000 MAE  0.0808 rmse  0.1182  df(ActivateDay.Avg) 0.0030
               valid loss 4.229992  auc  0.0000 MAE  0.0825 rmse  0.1191  df(ActivateDay.Avg) 0.0432
     train: epoch 18 loss 0.151383  auc  0.0000 MAE  0.0809 rmse  0.1182  df(ActivateDay.Avg) 0.0049
               valid loss 4.260240  auc  0.0000 MAE  0.0821 rmse  0.1191  df(ActivateDay.Avg) 0.0211
     train: epoch 19 loss 0.151133  auc  0.0000 MAE  0.0808 rmse  0.1181  df(ActivateDay.Avg) 0.0053
               valid loss 4.291820  auc  0.0000 MAE  0.0815 rmse  0.1190  df(ActivateDay.Avg) 0.0042
                test loss 11.443163  auc  0.0000 MAE  0.0807 rmse  0.1177  df(ActivateDay.Avg) 0.0179
     train: epoch 20 loss 0.150853  auc  0.0000 MAE  0.0806 rmse  0.1180  df(ActivateDay.Avg) 0.0030
               valid loss 4.228580  auc  0.0000 MAE  0.0827 rmse  0.1191  df(ActivateDay.Avg) 0.0388
     train: epoch 21 loss 0.150877  auc  0.0000 MAE  0.0808 rmse  0.1180  df(ActivateDay.Avg) 0.0068
               valid loss 4.334456  auc  0.0000 MAE  0.0807 rmse  0.1188  df(ActivateDay.Avg) 0.0281
                test loss 11.550878  auc  0.0000 MAE  0.0799 rmse  0.1175  df(ActivateDay.Avg) 0.0130
     train: epoch 22 loss 0.150555  auc  0.0000 MAE  0.0806 rmse  0.1179  df(ActivateDay.Avg) 0.0054
               valid loss 4.192863  auc  0.0000 MAE  0.0833 rmse  0.1189  df(ActivateDay.Avg) 0.0523
     train: epoch 23 loss 0.150237  auc  0.0000 MAE  0.0805 rmse  0.1178  df(ActivateDay.Avg) 0.0067
               valid loss 4.297055  auc  0.0000 MAE  0.0815 rmse  0.1189  df(ActivateDay.Avg) 0.0115
     train: epoch 24 loss 0.150464  auc  0.0000 MAE  0.0805 rmse  0.1179  df(ActivateDay.Avg) 0.0059
               valid loss 4.301217  auc  0.0000 MAE  0.0810 rmse  0.1191  df(ActivateDay.Avg) 0.0002
     train: epoch 25 loss 0.149907  auc  0.0000 MAE  0.0804 rmse  0.1177  df(ActivateDay.Avg) 0.0065
               valid loss 4.239758  auc  0.0000 MAE  0.0819 rmse  0.1190  df(ActivateDay.Avg) 0.0353
     train: epoch 26 loss 0.149902  auc  0.0000 MAE  0.0804 rmse  0.1177  df(ActivateDay.Avg) 0.0078
               valid loss 4.017481  auc  0.0000 MAE  0.0873 rmse  0.1198  df(ActivateDay.Avg) 0.1656
     train: epoch 27 loss 0.149672  auc  0.0000 MAE  0.0804 rmse  0.1176  df(ActivateDay.Avg) 0.0077
               valid loss 4.153059  auc  0.0000 MAE  0.0835 rmse  0.1190  df(ActivateDay.Avg) 0.0818
     train: epoch 28 loss 0.149582  auc  0.0000 MAE  0.0804 rmse  0.1175  df(ActivateDay.Avg) 0.0059
               valid loss 4.002822  auc  0.0000 MAE  0.0870 rmse  0.1202  df(ActivateDay.Avg) 0.1822
     train: epoch 29 loss 0.149626  auc  0.0000 MAE  0.0804 rmse  0.1176  df(ActivateDay.Avg) 0.0081
               valid loss 4.321199  auc  0.0000 MAE  0.0805 rmse  0.1187  df(ActivateDay.Avg) 0.0213
