{'model_name': 'RNN', 'input_size': 7, 'hidden_size': 64, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'day_numpy_train': array([23234,  6098,  3407,  2410,  1978,  1630,  1340,  1008,   816,
         651,   496,   359,   271,   194,   143,    95,    81,    65,
          32,    27,    21,    15,    10,    15])}
      train: epoch 0 loss 0.190086  auc  0.0000 MAE  0.0937 rmse  0.1325  df(ActivateDay.Avg) 0.1426
               valid loss 4.271414  auc  0.0000 MAE  0.0863 rmse  0.1229  df(ActivateDay.Avg) 0.0153
                test loss 11.435915  auc  0.0000 MAE  0.0850 rmse  0.1210  df(ActivateDay.Avg) 0.0198
      train: epoch 1 loss 0.162431  auc  0.0000 MAE  0.0869 rmse  0.1225  df(ActivateDay.Avg) 0.0502
               valid loss 4.019796  auc  0.0000 MAE  0.0908 rmse  0.1235  df(ActivateDay.Avg) 0.1888
      train: epoch 2 loss 0.160492  auc  0.0000 MAE  0.0861 rmse  0.1217  df(ActivateDay.Avg) 0.0462
               valid loss 4.120560  auc  0.0000 MAE  0.0886 rmse  0.1221  df(ActivateDay.Avg) 0.1081
                test loss 11.029481  auc  0.0000 MAE  0.0873 rmse  0.1205  df(ActivateDay.Avg) 0.1132
      train: epoch 3 loss 0.161259  auc  0.0000 MAE  0.0860 rmse  0.1220  df(ActivateDay.Avg) 0.0444
               valid loss 4.195273  auc  0.0000 MAE  0.0866 rmse  0.1219  df(ActivateDay.Avg) 0.0637
                test loss 11.241431  auc  0.0000 MAE  0.0852 rmse  0.1202  df(ActivateDay.Avg) 0.0661
      train: epoch 4 loss 0.160350  auc  0.0000 MAE  0.0860 rmse  0.1217  df(ActivateDay.Avg) 0.0465
