{'model_name': 'CFIN', 'conv_size': 256, 'context_size': 32, 'embedding_size': 64, 'deep_layers': [100, 50], 'attn_enable': 1, 'attn_size': 128, 'kernel_size': 5, 'stride': 5, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'dropout_p': 0.1, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 0.215204  auc  0.0000 MAE  0.0858 rmse  0.1410  df(ActivateDay.Avg) 0.2728
               valid loss 4.656556  auc  0.0000 MAE  0.0794 rmse  0.1250  df(ActivateDay.Avg) 0.1075
                test loss 12.755432  auc  0.0000 MAE  0.0794 rmse  0.1255  df(ActivateDay.Avg) 0.1276
      train: epoch 1 loss 0.175717  auc  0.0000 MAE  0.0849 rmse  0.1274  df(ActivateDay.Avg) 0.0492
               valid loss 4.430140  auc  0.0000 MAE  0.0813 rmse  0.1231  df(ActivateDay.Avg) 0.0651
                test loss 12.054690  auc  0.0000 MAE  0.0811 rmse  0.1230  df(ActivateDay.Avg) 0.0771
      train: epoch 2 loss 0.169750  auc  0.0000 MAE  0.0846 rmse  0.1252  df(ActivateDay.Avg) 0.0318
               valid loss 3.977536  auc  0.0000 MAE  0.0910 rmse  0.1234  df(ActivateDay.Avg) 0.1640
      train: epoch 3 loss 0.167909  auc  0.0000 MAE  0.0844 rmse  0.1245  df(ActivateDay.Avg) 0.0258
               valid loss 4.257372  auc  0.0000 MAE  0.0827 rmse  0.1215  df(ActivateDay.Avg) 0.0090
                test loss 11.597925  auc  0.0000 MAE  0.0823 rmse  0.1212  df(ActivateDay.Avg) 0.0074
      train: epoch 4 loss 0.167601  auc  0.0000 MAE  0.0844 rmse  0.1244  df(ActivateDay.Avg) 0.0276
               valid loss 4.336373  auc  0.0000 MAE  0.0815 rmse  0.1216  df(ActivateDay.Avg) 0.0427
      train: epoch 5 loss 0.166618  auc  0.0000 MAE  0.0844 rmse  0.1240  df(ActivateDay.Avg) 0.0202
               valid loss 4.245815  auc  0.0000 MAE  0.0828 rmse  0.1228  df(ActivateDay.Avg) 0.0379
      train: epoch 6 loss 0.166859  auc  0.0000 MAE  0.0845 rmse  0.1241  df(ActivateDay.Avg) 0.0219
               valid loss 4.263794  auc  0.0000 MAE  0.0824 rmse  0.1214  df(ActivateDay.Avg) 0.0039
                test loss 11.632712  auc  0.0000 MAE  0.0821 rmse  0.1210  df(ActivateDay.Avg) 0.0227
      train: epoch 7 loss 0.166854  auc  0.0000 MAE  0.0843 rmse  0.1241  df(ActivateDay.Avg) 0.0233
