{'model_name': 'CLSA', 'clas_conv2_kernel': 3, 'clsa_conv2_output_size': 7, 'clas_pool_kernel': 2, 'lstm_input_size': 100, 'hidden_size': 14, 'attention_input_size': 28, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 2, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=2), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 0.233676  auc  0.0000 MAE  0.1019 rmse  0.1469  df(ActivateDay.Avg) 0.1221
               valid loss 4.121695  auc  0.0000 MAE  0.0896 rmse  0.1249  df(ActivateDay.Avg) 0.1118
                test loss 11.237569  auc  0.0000 MAE  0.0895 rmse  0.1251  df(ActivateDay.Avg) 0.0942
      train: epoch 1 loss 0.170130  auc  0.0000 MAE  0.0880 rmse  0.1253  df(ActivateDay.Avg) 0.0017
               valid loss 4.478843  auc  0.0000 MAE  0.0820 rmse  0.1235  df(ActivateDay.Avg) 0.1074
                test loss 12.202170  auc  0.0000 MAE  0.0823 rmse  0.1239  df(ActivateDay.Avg) 0.1178
      train: epoch 2 loss 0.168245  auc  0.0000 MAE  0.0872 rmse  0.1247  df(ActivateDay.Avg) 0.0022
               valid loss 4.283906  auc  0.0000 MAE  0.0846 rmse  0.1230  df(ActivateDay.Avg) 0.0052
                test loss 11.655292  auc  0.0000 MAE  0.0848 rmse  0.1232  df(ActivateDay.Avg) 0.0049
      train: epoch 3 loss 0.167568  auc  0.0000 MAE  0.0869 rmse  0.1244  df(ActivateDay.Avg) 0.0026
               valid loss 4.327594  auc  0.0000 MAE  0.0836 rmse  0.1226  df(ActivateDay.Avg) 0.0251
                test loss 11.758179  auc  0.0000 MAE  0.0840 rmse  0.1229  df(ActivateDay.Avg) 0.0309
      train: epoch 4 loss 0.166343  auc  0.0000 MAE  0.0866 rmse  0.1239  df(ActivateDay.Avg) 0.0012
               valid loss 4.126883  auc  0.0000 MAE  0.0884 rmse  0.1227  df(ActivateDay.Avg) 0.0842
      train: epoch 5 loss 0.166083  auc  0.0000 MAE  0.0865 rmse  0.1238  df(ActivateDay.Avg) 0.0004
               valid loss 4.353946  auc  0.0000 MAE  0.0832 rmse  0.1225  df(ActivateDay.Avg) 0.0465
                test loss 11.818589  auc  0.0000 MAE  0.0835 rmse  0.1225  df(ActivateDay.Avg) 0.0503
      train: epoch 6 loss 0.165226  auc  0.0000 MAE  0.0862 rmse  0.1235  df(ActivateDay.Avg) 0.0004
               valid loss 4.353363  auc  0.0000 MAE  0.0835 rmse  0.1226  df(ActivateDay.Avg) 0.0525
      train: epoch 7 loss 0.165149  auc  0.0000 MAE  0.0860 rmse  0.1235  df(ActivateDay.Avg) 0.0033
               valid loss 4.190018  auc  0.0000 MAE  0.0863 rmse  0.1222  df(ActivateDay.Avg) 0.0500
                test loss 11.356620  auc  0.0000 MAE  0.0866 rmse  0.1222  df(ActivateDay.Avg) 0.0478
      train: epoch 8 loss 0.164883  auc  0.0000 MAE  0.0860 rmse  0.1234  df(ActivateDay.Avg) 0.0001
               valid loss 4.288465  auc  0.0000 MAE  0.0840 rmse  0.1221  df(ActivateDay.Avg) 0.0077
                test loss 11.625304  auc  0.0000 MAE  0.0844 rmse  0.1222  df(ActivateDay.Avg) 0.0082
      train: epoch 9 loss 0.164579  auc  0.0000 MAE  0.0859 rmse  0.1233  df(ActivateDay.Avg) 0.0016
               valid loss 4.702833  auc  0.0000 MAE  0.0788 rmse  0.1237  df(ActivateDay.Avg) 0.2110
     train: epoch 10 loss 0.164223  auc  0.0000 MAE  0.0858 rmse  0.1232  df(ActivateDay.Avg) 0.0013
               valid loss 4.168446  auc  0.0000 MAE  0.0864 rmse  0.1220  df(ActivateDay.Avg) 0.0594
                test loss 11.294916  auc  0.0000 MAE  0.0867 rmse  0.1220  df(ActivateDay.Avg) 0.0597
     train: epoch 11 loss 0.163935  auc  0.0000 MAE  0.0858 rmse  0.1230  df(ActivateDay.Avg) 0.0006
               valid loss 4.281989  auc  0.0000 MAE  0.0844 rmse  0.1223  df(ActivateDay.Avg) 0.0057
     train: epoch 12 loss 0.163685  auc  0.0000 MAE  0.0857 rmse  0.1229  df(ActivateDay.Avg) 0.0017
               valid loss 4.399494  auc  0.0000 MAE  0.0822 rmse  0.1223  df(ActivateDay.Avg) 0.0764
     train: epoch 13 loss 0.163425  auc  0.0000 MAE  0.0855 rmse  0.1229  df(ActivateDay.Avg) 0.0006
               valid loss 4.304534  auc  0.0000 MAE  0.0832 rmse  0.1218  df(ActivateDay.Avg) 0.0191
                test loss 11.659576  auc  0.0000 MAE  0.0837 rmse  0.1218  df(ActivateDay.Avg) 0.0159
     train: epoch 14 loss 0.163554  auc  0.0000 MAE  0.0856 rmse  0.1229  df(ActivateDay.Avg) 0.0006
               valid loss 4.208091  auc  0.0000 MAE  0.0854 rmse  0.1218  df(ActivateDay.Avg) 0.0322
     train: epoch 15 loss 0.163411  auc  0.0000 MAE  0.0855 rmse  0.1228  df(ActivateDay.Avg) 0.0016
               valid loss 4.401968  auc  0.0000 MAE  0.0817 rmse  0.1221  df(ActivateDay.Avg) 0.0667
     train: epoch 16 loss 0.163261  auc  0.0000 MAE  0.0856 rmse  0.1228  df(ActivateDay.Avg) 0.0013
               valid loss 4.520979  auc  0.0000 MAE  0.0801 rmse  0.1223  df(ActivateDay.Avg) 0.1286
     train: epoch 17 loss 0.163151  auc  0.0000 MAE  0.0853 rmse  0.1227  df(ActivateDay.Avg) 0.0033
               valid loss 4.072355  auc  0.0000 MAE  0.0880 rmse  0.1221  df(ActivateDay.Avg) 0.1265
     train: epoch 18 loss 0.163036  auc  0.0000 MAE  0.0855 rmse  0.1227  df(ActivateDay.Avg) 0.0014
               valid loss 4.259864  auc  0.0000 MAE  0.0835 rmse  0.1222  df(ActivateDay.Avg) 0.0293
     train: epoch 19 loss 0.162880  auc  0.0000 MAE  0.0854 rmse  0.1226  df(ActivateDay.Avg) 0.0005
               valid loss 4.127940  auc  0.0000 MAE  0.0866 rmse  0.1220  df(ActivateDay.Avg) 0.0919
