{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.2, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 6, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=6), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 0.189570  auc  0.0000 MAE  0.0875 rmse  0.1323  df(ActivateDay.Avg) 0.1227
               valid loss 4.097402  auc  0.0000 MAE  0.0871 rmse  0.1209  df(ActivateDay.Avg) 0.0915
                test loss 11.144700  auc  0.0000 MAE  0.0873 rmse  0.1211  df(ActivateDay.Avg) 0.0784
      train: epoch 1 loss 0.163547  auc  0.0000 MAE  0.0858 rmse  0.1229  df(ActivateDay.Avg) 0.0103
               valid loss 4.690992  auc  0.0000 MAE  0.0778 rmse  0.1223  df(ActivateDay.Avg) 0.2189
      train: epoch 2 loss 0.163049  auc  0.0000 MAE  0.0857 rmse  0.1227  df(ActivateDay.Avg) 0.0112
               valid loss 3.898165  auc  0.0000 MAE  0.0915 rmse  0.1219  df(ActivateDay.Avg) 0.2445
      train: epoch 3 loss 0.162834  auc  0.0000 MAE  0.0856 rmse  0.1226  df(ActivateDay.Avg) 0.0113
               valid loss 4.215896  auc  0.0000 MAE  0.0840 rmse  0.1203  df(ActivateDay.Avg) 0.0170
                test loss 11.466039  auc  0.0000 MAE  0.0844 rmse  0.1206  df(ActivateDay.Avg) 0.0062
      train: epoch 4 loss 0.162796  auc  0.0000 MAE  0.0856 rmse  0.1226  df(ActivateDay.Avg) 0.0108
               valid loss 4.236462  auc  0.0000 MAE  0.0834 rmse  0.1203  df(ActivateDay.Avg) 0.0069
                test loss 11.526175  auc  0.0000 MAE  0.0838 rmse  0.1207  df(ActivateDay.Avg) 0.0039
      train: epoch 5 loss 0.162528  auc  0.0000 MAE  0.0855 rmse  0.1225  df(ActivateDay.Avg) 0.0102
               valid loss 4.279142  auc  0.0000 MAE  0.0829 rmse  0.1204  df(ActivateDay.Avg) 0.0208
      train: epoch 6 loss 0.162262  auc  0.0000 MAE  0.0856 rmse  0.1224  df(ActivateDay.Avg) 0.0141
               valid loss 4.478152  auc  0.0000 MAE  0.0805 rmse  0.1216  df(ActivateDay.Avg) 0.1347
      train: epoch 7 loss 0.162649  auc  0.0000 MAE  0.0855 rmse  0.1226  df(ActivateDay.Avg) 0.0107
               valid loss 4.074058  auc  0.0000 MAE  0.0870 rmse  0.1204  df(ActivateDay.Avg) 0.1093
      train: epoch 8 loss 0.161979  auc  0.0000 MAE  0.0856 rmse  0.1223  df(ActivateDay.Avg) 0.0155
               valid loss 4.037678  auc  0.0000 MAE  0.0872 rmse  0.1206  df(ActivateDay.Avg) 0.1426
      train: epoch 9 loss 0.162285  auc  0.0000 MAE  0.0856 rmse  0.1224  df(ActivateDay.Avg) 0.0127
               valid loss 3.782497  auc  0.0000 MAE  0.0959 rmse  0.1232  df(ActivateDay.Avg) 0.3353
     train: epoch 10 loss 0.162225  auc  0.0000 MAE  0.0856 rmse  0.1224  df(ActivateDay.Avg) 0.0161
               valid loss 4.361076  auc  0.0000 MAE  0.0810 rmse  0.1202  df(ActivateDay.Avg) 0.0603
                test loss 11.868043  auc  0.0000 MAE  0.0816 rmse  0.1207  df(ActivateDay.Avg) 0.0698
     train: epoch 11 loss 0.161933  auc  0.0000 MAE  0.0855 rmse  0.1223  df(ActivateDay.Avg) 0.0137
               valid loss 4.584290  auc  0.0000 MAE  0.0784 rmse  0.1212  df(ActivateDay.Avg) 0.1712
     train: epoch 12 loss 0.162129  auc  0.0000 MAE  0.0855 rmse  0.1224  df(ActivateDay.Avg) 0.0126
               valid loss 4.113008  auc  0.0000 MAE  0.0857 rmse  0.1202  df(ActivateDay.Avg) 0.0868
                test loss 11.185876  auc  0.0000 MAE  0.0861 rmse  0.1205  df(ActivateDay.Avg) 0.0759
     train: epoch 13 loss 0.161617  auc  0.0000 MAE  0.0856 rmse  0.1222  df(ActivateDay.Avg) 0.0171
               valid loss 4.605032  auc  0.0000 MAE  0.0782 rmse  0.1213  df(ActivateDay.Avg) 0.1808
     train: epoch 14 loss 0.161954  auc  0.0000 MAE  0.0856 rmse  0.1223  df(ActivateDay.Avg) 0.0157
               valid loss 4.169970  auc  0.0000 MAE  0.0843 rmse  0.1201  df(ActivateDay.Avg) 0.0529
                test loss 11.346832  auc  0.0000 MAE  0.0847 rmse  0.1206  df(ActivateDay.Avg) 0.0418
     train: epoch 15 loss 0.161693  auc  0.0000 MAE  0.0855 rmse  0.1222  df(ActivateDay.Avg) 0.0156
               valid loss 4.238813  auc  0.0000 MAE  0.0830 rmse  0.1200  df(ActivateDay.Avg) 0.0086
