{'model_name': 'LR', 'embedding_size': 32, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 3, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.2, 'device': device(type='cuda', index=3), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 0.672550  auc  0.0000 MAE  0.1270 rmse  0.2492  df(ActivateDay.Avg) 0.0990
               valid loss 2.538754  auc  0.0000 MAE  0.4417 rmse  0.4608  df(ActivateDay.Avg) 5.2179
                test loss 6.727661  auc  0.0000 MAE  0.4407 rmse  0.4597  df(ActivateDay.Avg) 5.1274
      train: epoch 1 loss 0.527006  auc  0.0000 MAE  0.1197 rmse  0.2206  df(ActivateDay.Avg) 0.0015
               valid loss 2.522959  auc  0.0000 MAE  0.4431 rmse  0.4602  df(ActivateDay.Avg) 5.2414
                test loss 6.710540  auc  0.0000 MAE  0.4423 rmse  0.4592  df(ActivateDay.Avg) 5.1474
      train: epoch 2 loss 1.127033  auc  0.0000 MAE  0.1421 rmse  0.3226  df(ActivateDay.Avg) 0.0032
               valid loss 2.467812  auc  0.0000 MAE  0.4411 rmse  0.4564  df(ActivateDay.Avg) 5.2373
                test loss 6.545104  auc  0.0000 MAE  0.4400 rmse  0.4553  df(ActivateDay.Avg) 5.1493
      train: epoch 3 loss 0.220723  auc  0.0000 MAE  0.0939 rmse  0.1428  df(ActivateDay.Avg) 0.0030
               valid loss 2.467493  auc  0.0000 MAE  0.4419 rmse  0.4573  df(ActivateDay.Avg) 5.2479
      train: epoch 4 loss 0.621142  auc  0.0000 MAE  0.1236 rmse  0.2395  df(ActivateDay.Avg) 0.0031
               valid loss 2.465773  auc  0.0000 MAE  0.4408 rmse  0.4562  df(ActivateDay.Avg) 5.2349
                test loss 6.535745  auc  0.0000 MAE  0.4398 rmse  0.4551  df(ActivateDay.Avg) 5.1476
      train: epoch 5 loss 0.915095  auc  0.0000 MAE  0.1367 rmse  0.2907  df(ActivateDay.Avg) 0.0007
               valid loss 2.439096  auc  0.0000 MAE  0.4407 rmse  0.4558  df(ActivateDay.Avg) 5.2358
                test loss 6.483115  auc  0.0000 MAE  0.4395 rmse  0.4546  df(ActivateDay.Avg) 5.1448
      train: epoch 6 loss 2.007114  auc  0.0000 MAE  0.1344 rmse  0.4305  df(ActivateDay.Avg) 0.0102
               valid loss 2.584352  auc  0.0000 MAE  0.4477 rmse  0.4665  df(ActivateDay.Avg) 5.2704
      train: epoch 7 loss 0.310387  auc  0.0000 MAE  0.0999 rmse  0.1693  df(ActivateDay.Avg) 0.0044
               valid loss 2.480552  auc  0.0000 MAE  0.4414 rmse  0.4571  df(ActivateDay.Avg) 5.2385
      train: epoch 8 loss 0.189540  auc  0.0000 MAE  0.0897 rmse  0.1323  df(ActivateDay.Avg) 0.0014
               valid loss 2.481797  auc  0.0000 MAE  0.4413 rmse  0.4570  df(ActivateDay.Avg) 5.2360
      train: epoch 9 loss 0.252561  auc  0.0000 MAE  0.0978 rmse  0.1527  df(ActivateDay.Avg) 0.0020
               valid loss 2.474521  auc  0.0000 MAE  0.4418 rmse  0.4573  df(ActivateDay.Avg) 5.2449
     train: epoch 10 loss 0.226772  auc  0.0000 MAE  0.0955 rmse  0.1447  df(ActivateDay.Avg) 0.0003
               valid loss 2.475919  auc  0.0000 MAE  0.4417 rmse  0.4574  df(ActivateDay.Avg) 5.2429
     train: epoch 11 loss 0.332348  auc  0.0000 MAE  0.1028 rmse  0.1752  df(ActivateDay.Avg) 0.0007
               valid loss 2.460705  auc  0.0000 MAE  0.4408 rmse  0.4560  df(ActivateDay.Avg) 5.2339
     train: epoch 12 loss 0.714054  auc  0.0000 MAE  0.1260 rmse  0.2568  df(ActivateDay.Avg) 0.0007
               valid loss 2.472078  auc  0.0000 MAE  0.4415 rmse  0.4570  df(ActivateDay.Avg) 5.2414
     train: epoch 13 loss 0.239488  auc  0.0000 MAE  0.0946 rmse  0.1487  df(ActivateDay.Avg) 0.0013
               valid loss 2.467748  auc  0.0000 MAE  0.4423 rmse  0.4576  df(ActivateDay.Avg) 5.2522
     train: epoch 14 loss 0.271560  auc  0.0000 MAE  0.0974 rmse  0.1584  df(ActivateDay.Avg) 0.0030
               valid loss 2.473234  auc  0.0000 MAE  0.4408 rmse  0.4563  df(ActivateDay.Avg) 5.2329
     train: epoch 15 loss 0.564170  auc  0.0000 MAE  0.1099 rmse  0.2283  df(ActivateDay.Avg) 0.0025
               valid loss 2.494596  auc  0.0000 MAE  0.4432 rmse  0.4592  df(ActivateDay.Avg) 5.2552
     train: epoch 16 loss 0.233499  auc  0.0000 MAE  0.0946 rmse  0.1468  df(ActivateDay.Avg) 0.0027
               valid loss 2.478582  auc  0.0000 MAE  0.4406 rmse  0.4562  df(ActivateDay.Avg) 5.2281
     train: epoch 17 loss 0.521484  auc  0.0000 MAE  0.1046 rmse  0.2195  df(ActivateDay.Avg) 0.0080
               valid loss 2.495148  auc  0.0000 MAE  0.4434 rmse  0.4605  df(ActivateDay.Avg) 5.2465
     train: epoch 18 loss 0.366028  auc  0.0000 MAE  0.1053 rmse  0.1839  df(ActivateDay.Avg) 0.0065
               valid loss 2.486547  auc  0.0000 MAE  0.4420 rmse  0.4578  df(ActivateDay.Avg) 5.2449
     train: epoch 19 loss 0.301045  auc  0.0000 MAE  0.0979 rmse  0.1667  df(ActivateDay.Avg) 0.0002
               valid loss 2.500176  auc  0.0000 MAE  0.4427 rmse  0.4589  df(ActivateDay.Avg) 5.2485
     train: epoch 20 loss 0.231390  auc  0.0000 MAE  0.0931 rmse  0.1462  df(ActivateDay.Avg) 0.0014
               valid loss 2.483877  auc  0.0000 MAE  0.4414 rmse  0.4572  df(ActivateDay.Avg) 5.2387
     train: epoch 21 loss 0.500303  auc  0.0000 MAE  0.1104 rmse  0.2150  df(ActivateDay.Avg) 0.0028
               valid loss 2.474098  auc  0.0000 MAE  0.4392 rmse  0.4548  df(ActivateDay.Avg) 5.2107
                test loss 6.557678  auc  0.0000 MAE  0.4380 rmse  0.4536  df(ActivateDay.Avg) 5.1228
     train: epoch 22 loss 0.486216  auc  0.0000 MAE  0.0993 rmse  0.2119  df(ActivateDay.Avg) 0.0023
               valid loss 2.484258  auc  0.0000 MAE  0.4416 rmse  0.4574  df(ActivateDay.Avg) 5.2408
     train: epoch 23 loss 0.177974  auc  0.0000 MAE  0.0875 rmse  0.1282  df(ActivateDay.Avg) 0.0020
               valid loss 2.478911  auc  0.0000 MAE  0.4403 rmse  0.4560  df(ActivateDay.Avg) 5.2242
     train: epoch 24 loss 0.181611  auc  0.0000 MAE  0.0874 rmse  0.1295  df(ActivateDay.Avg) 0.0027
               valid loss 2.476830  auc  0.0000 MAE  0.4414 rmse  0.4570  df(ActivateDay.Avg) 5.2401
     train: epoch 25 loss 0.332156  auc  0.0000 MAE  0.0985 rmse  0.1751  df(ActivateDay.Avg) 0.0008
               valid loss 2.470303  auc  0.0000 MAE  0.4408 rmse  0.4562  df(ActivateDay.Avg) 5.2333
     train: epoch 26 loss 0.223604  auc  0.0000 MAE  0.0899 rmse  0.1437  df(ActivateDay.Avg) 0.0010
               valid loss 2.476574  auc  0.0000 MAE  0.4417 rmse  0.4573  df(ActivateDay.Avg) 5.2441
     train: epoch 27 loss 0.186665  auc  0.0000 MAE  0.0878 rmse  0.1313  df(ActivateDay.Avg) 0.0010
               valid loss 2.477886  auc  0.0000 MAE  0.4418 rmse  0.4576  df(ActivateDay.Avg) 5.2414
     train: epoch 28 loss 0.202004  auc  0.0000 MAE  0.0895 rmse  0.1366  df(ActivateDay.Avg) 0.0009
               valid loss 2.475250  auc  0.0000 MAE  0.4411 rmse  0.4566  df(ActivateDay.Avg) 5.2362
     train: epoch 29 loss 0.468100  auc  0.0000 MAE  0.1033 rmse  0.2079  df(ActivateDay.Avg) 0.0006
               valid loss 2.469346  auc  0.0000 MAE  0.4415 rmse  0.4568  df(ActivateDay.Avg) 5.2414
     train: epoch 30 loss 0.198175  auc  0.0000 MAE  0.0880 rmse  0.1353  df(ActivateDay.Avg) 0.0011
               valid loss 2.468459  auc  0.0000 MAE  0.4416 rmse  0.4569  df(ActivateDay.Avg) 5.2442
     train: epoch 31 loss 0.190613  auc  0.0000 MAE  0.0888 rmse  0.1327  df(ActivateDay.Avg) 0.0006
               valid loss 2.480012  auc  0.0000 MAE  0.4421 rmse  0.4578  df(ActivateDay.Avg) 5.2469
     train: epoch 32 loss 0.262708  auc  0.0000 MAE  0.0923 rmse  0.1558  df(ActivateDay.Avg) 0.0002
