{'model_name': 'RNN', 'input_size': 7, 'hidden_size': 64, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 1, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=1), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 0.201264  auc  0.0000 MAE  0.0962 rmse  0.1363  df(ActivateDay.Avg) 0.1633
               valid loss 4.041528  auc  0.0000 MAE  0.0883 rmse  0.1214  df(ActivateDay.Avg) 0.1404
                test loss 11.006092  auc  0.0000 MAE  0.0882 rmse  0.1214  df(ActivateDay.Avg) 0.1227
      train: epoch 1 loss 0.163094  auc  0.0000 MAE  0.0874 rmse  0.1227  df(ActivateDay.Avg) 0.0482
               valid loss 3.800829  auc  0.0000 MAE  0.0945 rmse  0.1241  df(ActivateDay.Avg) 0.3310
      train: epoch 2 loss 0.163015  auc  0.0000 MAE  0.0870 rmse  0.1227  df(ActivateDay.Avg) 0.0435
               valid loss 4.632344  auc  0.0000 MAE  0.0788 rmse  0.1227  df(ActivateDay.Avg) 0.2036
      train: epoch 3 loss 0.162609  auc  0.0000 MAE  0.0868 rmse  0.1225  df(ActivateDay.Avg) 0.0419
               valid loss 3.679764  auc  0.0000 MAE  0.0995 rmse  0.1251  df(ActivateDay.Avg) 0.4282
      train: epoch 4 loss 0.161727  auc  0.0000 MAE  0.0867 rmse  0.1222  df(ActivateDay.Avg) 0.0437
               valid loss 4.063542  auc  0.0000 MAE  0.0873 rmse  0.1207  df(ActivateDay.Avg) 0.1202
                test loss 11.058566  auc  0.0000 MAE  0.0873 rmse  0.1207  df(ActivateDay.Avg) 0.1077
      train: epoch 5 loss 0.161341  auc  0.0000 MAE  0.0866 rmse  0.1221  df(ActivateDay.Avg) 0.0459
               valid loss 3.829351  auc  0.0000 MAE  0.0928 rmse  0.1220  df(ActivateDay.Avg) 0.2964
      train: epoch 6 loss 0.161432  auc  0.0000 MAE  0.0865 rmse  0.1221  df(ActivateDay.Avg) 0.0448
               valid loss 4.104876  auc  0.0000 MAE  0.0871 rmse  0.1206  df(ActivateDay.Avg) 0.0821
                test loss 11.167919  auc  0.0000 MAE  0.0869 rmse  0.1203  df(ActivateDay.Avg) 0.0667
      train: epoch 7 loss 0.160964  auc  0.0000 MAE  0.0863 rmse  0.1219  df(ActivateDay.Avg) 0.0448
               valid loss 3.888746  auc  0.0000 MAE  0.0912 rmse  0.1218  df(ActivateDay.Avg) 0.2508
      train: epoch 8 loss 0.160506  auc  0.0000 MAE  0.0864 rmse  0.1218  df(ActivateDay.Avg) 0.0469
               valid loss 4.636678  auc  0.0000 MAE  0.0779 rmse  0.1218  df(ActivateDay.Avg) 0.2035
      train: epoch 9 loss 0.161422  auc  0.0000 MAE  0.0863 rmse  0.1221  df(ActivateDay.Avg) 0.0411
               valid loss 4.101048  auc  0.0000 MAE  0.0858 rmse  0.1198  df(ActivateDay.Avg) 0.0901
                test loss 11.163861  auc  0.0000 MAE  0.0858 rmse  0.1197  df(ActivateDay.Avg) 0.0762
     train: epoch 10 loss 0.160389  auc  0.0000 MAE  0.0861 rmse  0.1217  df(ActivateDay.Avg) 0.0428
               valid loss 3.832059  auc  0.0000 MAE  0.0936 rmse  0.1220  df(ActivateDay.Avg) 0.2897
     train: epoch 11 loss 0.161242  auc  0.0000 MAE  0.0865 rmse  0.1220  df(ActivateDay.Avg) 0.0478
               valid loss 4.480208  auc  0.0000 MAE  0.0791 rmse  0.1212  df(ActivateDay.Avg) 0.1058
     train: epoch 12 loss 0.161125  auc  0.0000 MAE  0.0863 rmse  0.1220  df(ActivateDay.Avg) 0.0415
               valid loss 3.850760  auc  0.0000 MAE  0.0942 rmse  0.1224  df(ActivateDay.Avg) 0.2757
     train: epoch 13 loss 0.160370  auc  0.0000 MAE  0.0864 rmse  0.1217  df(ActivateDay.Avg) 0.0490
               valid loss 3.914281  auc  0.0000 MAE  0.0908 rmse  0.1209  df(ActivateDay.Avg) 0.2218
     train: epoch 14 loss 0.160263  auc  0.0000 MAE  0.0861 rmse  0.1217  df(ActivateDay.Avg) 0.0429
               valid loss 3.978086  auc  0.0000 MAE  0.0881 rmse  0.1212  df(ActivateDay.Avg) 0.1929
     train: epoch 15 loss 0.160971  auc  0.0000 MAE  0.0862 rmse  0.1219  df(ActivateDay.Avg) 0.0413
               valid loss 3.912123  auc  0.0000 MAE  0.0928 rmse  0.1221  df(ActivateDay.Avg) 0.2219
     train: epoch 16 loss 0.160393  auc  0.0000 MAE  0.0863 rmse  0.1217  df(ActivateDay.Avg) 0.0485
               valid loss 4.006690  auc  0.0000 MAE  0.0881 rmse  0.1202  df(ActivateDay.Avg) 0.1549
     train: epoch 17 loss 0.160364  auc  0.0000 MAE  0.0862 rmse  0.1217  df(ActivateDay.Avg) 0.0466
               valid loss 4.467188  auc  0.0000 MAE  0.0804 rmse  0.1214  df(ActivateDay.Avg) 0.1343
     train: epoch 18 loss 0.160292  auc  0.0000 MAE  0.0861 rmse  0.1217  df(ActivateDay.Avg) 0.0426
               valid loss 4.278682  auc  0.0000 MAE  0.0817 rmse  0.1207  df(ActivateDay.Avg) 0.0002
     train: epoch 19 loss 0.160418  auc  0.0000 MAE  0.0862 rmse  0.1217  df(ActivateDay.Avg) 0.0459
               valid loss 3.974727  auc  0.0000 MAE  0.0890 rmse  0.1203  df(ActivateDay.Avg) 0.1762
     train: epoch 20 loss 0.160381  auc  0.0000 MAE  0.0861 rmse  0.1217  df(ActivateDay.Avg) 0.0471
               valid loss 4.204214  auc  0.0000 MAE  0.0831 rmse  0.1197  df(ActivateDay.Avg) 0.0297
