{'model_name': 'CFIN', 'conv_size': 256, 'context_size': 32, 'embedding_size': 64, 'deep_layers': [100, 50], 'attn_enable': 1, 'attn_size': 128, 'kernel_size': 5, 'stride': 5, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'dropout_p': 0.1, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 1, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=1), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 0.212733  auc  0.0000 MAE  0.0866 rmse  0.1402  df(ActivateDay.Avg) 0.2145
               valid loss 4.772495  auc  0.0000 MAE  0.0796 rmse  0.1256  df(ActivateDay.Avg) 0.1562
                test loss 12.724004  auc  0.0000 MAE  0.0793 rmse  0.1254  df(ActivateDay.Avg) 0.1530
      train: epoch 1 loss 0.173931  auc  0.0000 MAE  0.0845 rmse  0.1267  df(ActivateDay.Avg) 0.0486
               valid loss 4.208991  auc  0.0000 MAE  0.0862 rmse  0.1246  df(ActivateDay.Avg) 0.1037
                test loss 11.242390  auc  0.0000 MAE  0.0857 rmse  0.1243  df(ActivateDay.Avg) 0.1010
      train: epoch 2 loss 0.170329  auc  0.0000 MAE  0.0844 rmse  0.1254  df(ActivateDay.Avg) 0.0330
               valid loss 4.339033  auc  0.0000 MAE  0.0837 rmse  0.1225  df(ActivateDay.Avg) 0.0222
                test loss 11.575025  auc  0.0000 MAE  0.0832 rmse  0.1222  df(ActivateDay.Avg) 0.0219
      train: epoch 3 loss 0.168972  auc  0.0000 MAE  0.0846 rmse  0.1249  df(ActivateDay.Avg) 0.0237
               valid loss 4.325676  auc  0.0000 MAE  0.0855 rmse  0.1225  df(ActivateDay.Avg) 0.0158
                test loss 11.534537  auc  0.0000 MAE  0.0851 rmse  0.1226  df(ActivateDay.Avg) 0.0145
      train: epoch 4 loss 0.167309  auc  0.0000 MAE  0.0842 rmse  0.1243  df(ActivateDay.Avg) 0.0208
               valid loss 4.701309  auc  0.0000 MAE  0.0793 rmse  0.1235  df(ActivateDay.Avg) 0.1903
      train: epoch 5 loss 0.166904  auc  0.0000 MAE  0.0840 rmse  0.1242  df(ActivateDay.Avg) 0.0213
               valid loss 4.283033  auc  0.0000 MAE  0.0836 rmse  0.1214  df(ActivateDay.Avg) 0.0271
                test loss 11.422498  auc  0.0000 MAE  0.0832 rmse  0.1212  df(ActivateDay.Avg) 0.0303
      train: epoch 6 loss 0.166461  auc  0.0000 MAE  0.0841 rmse  0.1240  df(ActivateDay.Avg) 0.0196
               valid loss 4.647099  auc  0.0000 MAE  0.0799 rmse  0.1238  df(ActivateDay.Avg) 0.0748
      train: epoch 7 loss 0.166314  auc  0.0000 MAE  0.0842 rmse  0.1239  df(ActivateDay.Avg) 0.0174
               valid loss 4.352210  auc  0.0000 MAE  0.0823 rmse  0.1214  df(ActivateDay.Avg) 0.0037
                test loss 11.625890  auc  0.0000 MAE  0.0824 rmse  0.1223  df(ActivateDay.Avg) 0.0095
      train: epoch 8 loss 0.165872  auc  0.0000 MAE  0.0843 rmse  0.1238  df(ActivateDay.Avg) 0.0161
               valid loss 4.194519  auc  0.0000 MAE  0.0867 rmse  0.1219  df(ActivateDay.Avg) 0.0533
      train: epoch 9 loss 0.165951  auc  0.0000 MAE  0.0842 rmse  0.1238  df(ActivateDay.Avg) 0.0181
               valid loss 4.252204  auc  0.0000 MAE  0.0837 rmse  0.1209  df(ActivateDay.Avg) 0.0491
                test loss 11.361231  auc  0.0000 MAE  0.0833 rmse  0.1209  df(ActivateDay.Avg) 0.0512
     train: epoch 10 loss 0.165423  auc  0.0000 MAE  0.0842 rmse  0.1236  df(ActivateDay.Avg) 0.0146
               valid loss 4.236597  auc  0.0000 MAE  0.0877 rmse  0.1224  df(ActivateDay.Avg) 0.0445
     train: epoch 11 loss 0.165683  auc  0.0000 MAE  0.0843 rmse  0.1237  df(ActivateDay.Avg) 0.0136
               valid loss 4.667340  auc  0.0000 MAE  0.0784 rmse  0.1215  df(ActivateDay.Avg) 0.1381
     train: epoch 12 loss 0.165343  auc  0.0000 MAE  0.0842 rmse  0.1236  df(ActivateDay.Avg) 0.0135
               valid loss 4.388787  auc  0.0000 MAE  0.0824 rmse  0.1210  df(ActivateDay.Avg) 0.0483
     train: epoch 13 loss 0.165628  auc  0.0000 MAE  0.0842 rmse  0.1237  df(ActivateDay.Avg) 0.0167
               valid loss 4.372689  auc  0.0000 MAE  0.0818 rmse  0.1208  df(ActivateDay.Avg) 0.0221
                test loss 11.701158  auc  0.0000 MAE  0.0815 rmse  0.1209  df(ActivateDay.Avg) 0.0228
     train: epoch 14 loss 0.164823  auc  0.0000 MAE  0.0841 rmse  0.1234  df(ActivateDay.Avg) 0.0138
               valid loss 4.099573  auc  0.0000 MAE  0.0878 rmse  0.1216  df(ActivateDay.Avg) 0.1261
     train: epoch 15 loss 0.165920  auc  0.0000 MAE  0.0845 rmse  0.1238  df(ActivateDay.Avg) 0.0113
               valid loss 4.326695  auc  0.0000 MAE  0.0829 rmse  0.1206  df(ActivateDay.Avg) 0.0091
                test loss 11.555540  auc  0.0000 MAE  0.0826 rmse  0.1210  df(ActivateDay.Avg) 0.0064
     train: epoch 16 loss 0.165514  auc  0.0000 MAE  0.0842 rmse  0.1236  df(ActivateDay.Avg) 0.0117
               valid loss 4.327256  auc  0.0000 MAE  0.0834 rmse  0.1209  df(ActivateDay.Avg) 0.0206
     train: epoch 17 loss 0.165084  auc  0.0000 MAE  0.0841 rmse  0.1235  df(ActivateDay.Avg) 0.0121
               valid loss 4.092305  auc  0.0000 MAE  0.0891 rmse  0.1224  df(ActivateDay.Avg) 0.1282
     train: epoch 18 loss 0.164806  auc  0.0000 MAE  0.0842 rmse  0.1234  df(ActivateDay.Avg) 0.0108
               valid loss 4.293343  auc  0.0000 MAE  0.0834 rmse  0.1224  df(ActivateDay.Avg) 0.0660
     train: epoch 19 loss 0.165321  auc  0.0000 MAE  0.0843 rmse  0.1236  df(ActivateDay.Avg) 0.0094
               valid loss 4.319210  auc  0.0000 MAE  0.0829 rmse  0.1208  df(ActivateDay.Avg) 0.0038
     train: epoch 20 loss 0.164832  auc  0.0000 MAE  0.0842 rmse  0.1234  df(ActivateDay.Avg) 0.0096
               valid loss 4.260855  auc  0.0000 MAE  0.0837 rmse  0.1207  df(ActivateDay.Avg) 0.0421
     train: epoch 21 loss 0.164376  auc  0.0000 MAE  0.0841 rmse  0.1232  df(ActivateDay.Avg) 0.0105
               valid loss 4.090857  auc  0.0000 MAE  0.0890 rmse  0.1216  df(ActivateDay.Avg) 0.1249
     train: epoch 22 loss 0.164391  auc  0.0000 MAE  0.0842 rmse  0.1232  df(ActivateDay.Avg) 0.0095
               valid loss 4.307111  auc  0.0000 MAE  0.0829 rmse  0.1206  df(ActivateDay.Avg) 0.0077
                test loss 11.513412  auc  0.0000 MAE  0.0827 rmse  0.1208  df(ActivateDay.Avg) 0.0094
     train: epoch 23 loss 0.164277  auc  0.0000 MAE  0.0842 rmse  0.1232  df(ActivateDay.Avg) 0.0046
               valid loss 4.367947  auc  0.0000 MAE  0.0825 rmse  0.1208  df(ActivateDay.Avg) 0.0392
     train: epoch 24 loss 0.164156  auc  0.0000 MAE  0.0841 rmse  0.1231  df(ActivateDay.Avg) 0.0092
               valid loss 4.361936  auc  0.0000 MAE  0.0822 rmse  0.1222  df(ActivateDay.Avg) 0.0168
     train: epoch 25 loss 0.164410  auc  0.0000 MAE  0.0842 rmse  0.1232  df(ActivateDay.Avg) 0.0090
               valid loss 4.153542  auc  0.0000 MAE  0.0884 rmse  0.1219  df(ActivateDay.Avg) 0.0817
     train: epoch 26 loss 0.164228  auc  0.0000 MAE  0.0841 rmse  0.1232  df(ActivateDay.Avg) 0.0083
               valid loss 4.247676  auc  0.0000 MAE  0.0839 rmse  0.1209  df(ActivateDay.Avg) 0.0545
     train: epoch 27 loss 0.164243  auc  0.0000 MAE  0.0842 rmse  0.1232  df(ActivateDay.Avg) 0.0066
               valid loss 4.206333  auc  0.0000 MAE  0.0861 rmse  0.1218  df(ActivateDay.Avg) 0.0540
     train: epoch 28 loss 0.164176  auc  0.0000 MAE  0.0841 rmse  0.1231  df(ActivateDay.Avg) 0.0068
               valid loss 4.140751  auc  0.0000 MAE  0.0877 rmse  0.1213  df(ActivateDay.Avg) 0.0920
     train: epoch 29 loss 0.164035  auc  0.0000 MAE  0.0841 rmse  0.1231  df(ActivateDay.Avg) 0.0059
               valid loss 4.338309  auc  0.0000 MAE  0.0848 rmse  0.1230  df(ActivateDay.Avg) 0.0313
     train: epoch 30 loss 0.164063  auc  0.0000 MAE  0.0841 rmse  0.1231  df(ActivateDay.Avg) 0.0079
               valid loss 4.183944  auc  0.0000 MAE  0.0891 rmse  0.1229  df(ActivateDay.Avg) 0.0581
     train: epoch 31 loss 0.164318  auc  0.0000 MAE  0.0841 rmse  0.1232  df(ActivateDay.Avg) 0.0061
               valid loss 4.203469  auc  0.0000 MAE  0.0880 rmse  0.1224  df(ActivateDay.Avg) 0.0439
     train: epoch 32 loss 0.163982  auc  0.0000 MAE  0.0841 rmse  0.1231  df(ActivateDay.Avg) 0.0072
               valid loss 4.331980  auc  0.0000 MAE  0.0825 rmse  0.1213  df(ActivateDay.Avg) 0.0170
     train: epoch 33 loss 0.163666  auc  0.0000 MAE  0.0840 rmse  0.1229  df(ActivateDay.Avg) 0.0061
               valid loss 4.241574  auc  0.0000 MAE  0.0842 rmse  0.1205  df(ActivateDay.Avg) 0.0422
                test loss 11.302837  auc  0.0000 MAE  0.0841 rmse  0.1206  df(ActivateDay.Avg) 0.0495
     train: epoch 34 loss 0.163208  auc  0.0000 MAE  0.0840 rmse  0.1228  df(ActivateDay.Avg) 0.0040
               valid loss 4.147854  auc  0.0000 MAE  0.0868 rmse  0.1212  df(ActivateDay.Avg) 0.0911
     train: epoch 35 loss 0.164217  auc  0.0000 MAE  0.0842 rmse  0.1231  df(ActivateDay.Avg) 0.0062
               valid loss 4.303614  auc  0.0000 MAE  0.0827 rmse  0.1210  df(ActivateDay.Avg) 0.0278
     train: epoch 36 loss 0.164307  auc  0.0000 MAE  0.0842 rmse  0.1232  df(ActivateDay.Avg) 0.0063
