{'model_name': 'CLSA', 'clas_conv2_kernel': 3, 'clsa_conv2_output_size': 7, 'clas_pool_kernel': 2, 'lstm_input_size': 100, 'hidden_size': 14, 'attention_input_size': 28, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 3, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=3), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 0.202185  auc  0.0000 MAE  0.0954 rmse  0.1366  df(ActivateDay.Avg) 0.0633
               valid loss 4.197642  auc  0.0000 MAE  0.0896 rmse  0.1237  df(ActivateDay.Avg) 0.0946
                test loss 11.139712  auc  0.0000 MAE  0.0895 rmse  0.1239  df(ActivateDay.Avg) 0.1060
      train: epoch 1 loss 0.168211  auc  0.0000 MAE  0.0868 rmse  0.1246  df(ActivateDay.Avg) 0.0017
               valid loss 4.636614  auc  0.0000 MAE  0.0818 rmse  0.1238  df(ActivateDay.Avg) 0.1562
      train: epoch 2 loss 0.166743  auc  0.0000 MAE  0.0862 rmse  0.1241  df(ActivateDay.Avg) 0.0006
               valid loss 4.321809  auc  0.0000 MAE  0.0866 rmse  0.1228  df(ActivateDay.Avg) 0.0040
                test loss 11.433882  auc  0.0000 MAE  0.0867 rmse  0.1227  df(ActivateDay.Avg) 0.0228
      train: epoch 3 loss 0.165616  auc  0.0000 MAE  0.0860 rmse  0.1237  df(ActivateDay.Avg) 0.0001
               valid loss 4.415635  auc  0.0000 MAE  0.0843 rmse  0.1226  df(ActivateDay.Avg) 0.0437
                test loss 11.667019  auc  0.0000 MAE  0.0845 rmse  0.1224  df(ActivateDay.Avg) 0.0216
      train: epoch 4 loss 0.165215  auc  0.0000 MAE  0.0857 rmse  0.1235  df(ActivateDay.Avg) 0.0017
               valid loss 4.331453  auc  0.0000 MAE  0.0871 rmse  0.1231  df(ActivateDay.Avg) 0.0091
      train: epoch 5 loss 0.164403  auc  0.0000 MAE  0.0856 rmse  0.1232  df(ActivateDay.Avg) 0.0010
               valid loss 4.510413  auc  0.0000 MAE  0.0830 rmse  0.1230  df(ActivateDay.Avg) 0.1014
      train: epoch 6 loss 0.164260  auc  0.0000 MAE  0.0855 rmse  0.1232  df(ActivateDay.Avg) 0.0005
               valid loss 4.387366  auc  0.0000 MAE  0.0846 rmse  0.1223  df(ActivateDay.Avg) 0.0294
                test loss 11.587424  auc  0.0000 MAE  0.0847 rmse  0.1221  df(ActivateDay.Avg) 0.0062
      train: epoch 7 loss 0.164134  auc  0.0000 MAE  0.0853 rmse  0.1231  df(ActivateDay.Avg) 0.0012
               valid loss 4.281611  auc  0.0000 MAE  0.0867 rmse  0.1223  df(ActivateDay.Avg) 0.0278
                test loss 11.317170  auc  0.0000 MAE  0.0869 rmse  0.1222  df(ActivateDay.Avg) 0.0504
