{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.2, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 7, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=7), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 0.187251  auc  0.0000 MAE  0.0869 rmse  0.1315  df(ActivateDay.Avg) 0.0987
               valid loss 4.259544  auc  0.0000 MAE  0.0842 rmse  0.1202  df(ActivateDay.Avg) 0.0356
                test loss 11.340734  auc  0.0000 MAE  0.0844 rmse  0.1205  df(ActivateDay.Avg) 0.0439
      train: epoch 1 loss 0.162692  auc  0.0000 MAE  0.0853 rmse  0.1226  df(ActivateDay.Avg) 0.0144
               valid loss 4.452644  auc  0.0000 MAE  0.0814 rmse  0.1205  df(ActivateDay.Avg) 0.0719
      train: epoch 2 loss 0.162648  auc  0.0000 MAE  0.0852 rmse  0.1226  df(ActivateDay.Avg) 0.0108
               valid loss 4.656963  auc  0.0000 MAE  0.0790 rmse  0.1212  df(ActivateDay.Avg) 0.1668
      train: epoch 3 loss 0.162375  auc  0.0000 MAE  0.0853 rmse  0.1225  df(ActivateDay.Avg) 0.0116
               valid loss 3.935330  auc  0.0000 MAE  0.0930 rmse  0.1224  df(ActivateDay.Avg) 0.2572
      train: epoch 4 loss 0.162968  auc  0.0000 MAE  0.0852 rmse  0.1227  df(ActivateDay.Avg) 0.0090
               valid loss 3.838604  auc  0.0000 MAE  0.0963 rmse  0.1236  df(ActivateDay.Avg) 0.3331
      train: epoch 5 loss 0.161630  auc  0.0000 MAE  0.0852 rmse  0.1222  df(ActivateDay.Avg) 0.0185
               valid loss 4.413437  auc  0.0000 MAE  0.0827 rmse  0.1207  df(ActivateDay.Avg) 0.0626
      train: epoch 6 loss 0.161765  auc  0.0000 MAE  0.0851 rmse  0.1222  df(ActivateDay.Avg) 0.0152
               valid loss 3.948432  auc  0.0000 MAE  0.0924 rmse  0.1221  df(ActivateDay.Avg) 0.2454
      train: epoch 7 loss 0.162146  auc  0.0000 MAE  0.0852 rmse  0.1224  df(ActivateDay.Avg) 0.0135
               valid loss 4.286466  auc  0.0000 MAE  0.0838 rmse  0.1203  df(ActivateDay.Avg) 0.0274
      train: epoch 8 loss 0.161487  auc  0.0000 MAE  0.0852 rmse  0.1221  df(ActivateDay.Avg) 0.0176
               valid loss 4.235007  auc  0.0000 MAE  0.0849 rmse  0.1203  df(ActivateDay.Avg) 0.0518
      train: epoch 9 loss 0.161954  auc  0.0000 MAE  0.0852 rmse  0.1223  df(ActivateDay.Avg) 0.0142
               valid loss 4.855869  auc  0.0000 MAE  0.0778 rmse  0.1227  df(ActivateDay.Avg) 0.2614
     train: epoch 10 loss 0.161557  auc  0.0000 MAE  0.0851 rmse  0.1221  df(ActivateDay.Avg) 0.0143
               valid loss 4.378983  auc  0.0000 MAE  0.0821 rmse  0.1202  df(ActivateDay.Avg) 0.0232
     train: epoch 11 loss 0.161547  auc  0.0000 MAE  0.0851 rmse  0.1221  df(ActivateDay.Avg) 0.0165
               valid loss 4.130580  auc  0.0000 MAE  0.0873 rmse  0.1204  df(ActivateDay.Avg) 0.1157
     train: epoch 12 loss 0.161406  auc  0.0000 MAE  0.0852 rmse  0.1221  df(ActivateDay.Avg) 0.0170
               valid loss 4.663491  auc  0.0000 MAE  0.0792 rmse  0.1213  df(ActivateDay.Avg) 0.1766
     train: epoch 13 loss 0.161199  auc  0.0000 MAE  0.0851 rmse  0.1220  df(ActivateDay.Avg) 0.0182
