{'model_name': 'LSCNN', 'embedding_size': 64, 'hidden_size': 8, 'lstm_2_input_size': 100, 'lscnn_conv2_kernel': 3, 'lscnn_conv2_outputsize': 20, 'lscnn_pool_kernel': 2, 'dropout_p': 0.1, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 0.161255  auc  0.0000 MAE  0.0840 rmse  0.1220  df(ActivateDay.Avg) 0.0173
               valid loss 4.436414  auc  0.0000 MAE  0.0803 rmse  0.1193  df(ActivateDay.Avg) 0.0701
                test loss 11.759883  auc  0.0000 MAE  0.0802 rmse  0.1186  df(ActivateDay.Avg) 0.0529
      train: epoch 1 loss 0.155347  auc  0.0000 MAE  0.0820 rmse  0.1198  df(ActivateDay.Avg) 0.0005
               valid loss 4.319521  auc  0.0000 MAE  0.0815 rmse  0.1187  df(ActivateDay.Avg) 0.0049
                test loss 11.467650  auc  0.0000 MAE  0.0814 rmse  0.1182  df(ActivateDay.Avg) 0.0106
      train: epoch 2 loss 0.154405  auc  0.0000 MAE  0.0818 rmse  0.1194  df(ActivateDay.Avg) 0.0033
               valid loss 4.399329  auc  0.0000 MAE  0.0800 rmse  0.1185  df(ActivateDay.Avg) 0.0537
                test loss 11.684309  auc  0.0000 MAE  0.0799 rmse  0.1180  df(ActivateDay.Avg) 0.0398
      train: epoch 3 loss 0.154362  auc  0.0000 MAE  0.0817 rmse  0.1194  df(ActivateDay.Avg) 0.0031
