{'model_name': 'MLP', 'embedding_size': 64, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'deep_layers': [100, 50], 'dropout_p': 0.2, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 5, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=5), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23273,  6098,  3348,  2442,  1930,  1635,  1322,  1028,   842,
         639,   485,   370,   288,   199,   134,   100,    81,    57,
          37,    27,    24,    16,    10,    11])}
      train: epoch 0 loss 0.197602  auc  0.0000 MAE  0.0845 rmse  0.1351  df(ActivateDay.Avg) 0.1433
               valid loss 4.269137  auc  0.0000 MAE  0.0864 rmse  0.1244  df(ActivateDay.Avg) 0.0922
                test loss 11.280547  auc  0.0000 MAE  0.0867 rmse  0.1236  df(ActivateDay.Avg) 0.1202
      train: epoch 1 loss 0.170597  auc  0.0000 MAE  0.0829 rmse  0.1255  df(ActivateDay.Avg) 0.0573
               valid loss 4.544720  auc  0.0000 MAE  0.0804 rmse  0.1218  df(ActivateDay.Avg) 0.0503
                test loss 12.011347  auc  0.0000 MAE  0.0805 rmse  0.1209  df(ActivateDay.Avg) 0.0212
      train: epoch 2 loss 0.164484  auc  0.0000 MAE  0.0828 rmse  0.1232  df(ActivateDay.Avg) 0.0326
               valid loss 4.385237  auc  0.0000 MAE  0.0820 rmse  0.1206  df(ActivateDay.Avg) 0.0179
                test loss 11.653098  auc  0.0000 MAE  0.0820 rmse  0.1201  df(ActivateDay.Avg) 0.0337
      train: epoch 3 loss 0.161866  auc  0.0000 MAE  0.0829 rmse  0.1223  df(ActivateDay.Avg) 0.0200
               valid loss 4.524834  auc  0.0000 MAE  0.0796 rmse  0.1198  df(ActivateDay.Avg) 0.1061
                test loss 12.027990  auc  0.0000 MAE  0.0796 rmse  0.1194  df(ActivateDay.Avg) 0.0940
      train: epoch 4 loss 0.160870  auc  0.0000 MAE  0.0830 rmse  0.1219  df(ActivateDay.Avg) 0.0155
               valid loss 4.295564  auc  0.0000 MAE  0.0826 rmse  0.1199  df(ActivateDay.Avg) 0.0328
      train: epoch 5 loss 0.159750  auc  0.0000 MAE  0.0829 rmse  0.1215  df(ActivateDay.Avg) 0.0116
               valid loss 4.486732  auc  0.0000 MAE  0.0797 rmse  0.1200  df(ActivateDay.Avg) 0.0617
      train: epoch 6 loss 0.160707  auc  0.0000 MAE  0.0833 rmse  0.1218  df(ActivateDay.Avg) 0.0122
               valid loss 4.322996  auc  0.0000 MAE  0.0820 rmse  0.1197  df(ActivateDay.Avg) 0.0090
                test loss 11.518162  auc  0.0000 MAE  0.0821 rmse  0.1195  df(ActivateDay.Avg) 0.0173
      train: epoch 7 loss 0.160464  auc  0.0000 MAE  0.0830 rmse  0.1217  df(ActivateDay.Avg) 0.0119
               valid loss 4.355084  auc  0.0000 MAE  0.0827 rmse  0.1206  df(ActivateDay.Avg) 0.0232
      train: epoch 8 loss 0.160452  auc  0.0000 MAE  0.0832 rmse  0.1217  df(ActivateDay.Avg) 0.0102
               valid loss 4.176346  auc  0.0000 MAE  0.0850 rmse  0.1198  df(ActivateDay.Avg) 0.0786
      train: epoch 9 loss 0.160234  auc  0.0000 MAE  0.0831 rmse  0.1216  df(ActivateDay.Avg) 0.0093
               valid loss 4.329580  auc  0.0000 MAE  0.0819 rmse  0.1193  df(ActivateDay.Avg) 0.0047
                test loss 11.534118  auc  0.0000 MAE  0.0818 rmse  0.1190  df(ActivateDay.Avg) 0.0043
     train: epoch 10 loss 0.160635  auc  0.0000 MAE  0.0833 rmse  0.1218  df(ActivateDay.Avg) 0.0081
               valid loss 4.253148  auc  0.0000 MAE  0.0830 rmse  0.1194  df(ActivateDay.Avg) 0.0402
     train: epoch 11 loss 0.160428  auc  0.0000 MAE  0.0833 rmse  0.1217  df(ActivateDay.Avg) 0.0083
               valid loss 4.244042  auc  0.0000 MAE  0.0831 rmse  0.1199  df(ActivateDay.Avg) 0.0669
     train: epoch 12 loss 0.160398  auc  0.0000 MAE  0.0832 rmse  0.1217  df(ActivateDay.Avg) 0.0078
               valid loss 4.387853  auc  0.0000 MAE  0.0809 rmse  0.1195  df(ActivateDay.Avg) 0.0296
     train: epoch 13 loss 0.160304  auc  0.0000 MAE  0.0832 rmse  0.1217  df(ActivateDay.Avg) 0.0098
               valid loss 4.217811  auc  0.0000 MAE  0.0836 rmse  0.1196  df(ActivateDay.Avg) 0.0656
     train: epoch 14 loss 0.160313  auc  0.0000 MAE  0.0833 rmse  0.1217  df(ActivateDay.Avg) 0.0071
               valid loss 4.363972  auc  0.0000 MAE  0.0811 rmse  0.1192  df(ActivateDay.Avg) 0.0128
                test loss 11.620691  auc  0.0000 MAE  0.0812 rmse  0.1192  df(ActivateDay.Avg) 0.0015
     train: epoch 15 loss 0.160228  auc  0.0000 MAE  0.0831 rmse  0.1216  df(ActivateDay.Avg) 0.0092
               valid loss 4.310741  auc  0.0000 MAE  0.0824 rmse  0.1198  df(ActivateDay.Avg) 0.0026
     train: epoch 16 loss 0.160006  auc  0.0000 MAE  0.0831 rmse  0.1216  df(ActivateDay.Avg) 0.0067
               valid loss 4.325246  auc  0.0000 MAE  0.0822 rmse  0.1197  df(ActivateDay.Avg) 0.0048
     train: epoch 17 loss 0.160099  auc  0.0000 MAE  0.0832 rmse  0.1216  df(ActivateDay.Avg) 0.0080
               valid loss 4.394524  auc  0.0000 MAE  0.0809 rmse  0.1194  df(ActivateDay.Avg) 0.0401
     train: epoch 18 loss 0.159963  auc  0.0000 MAE  0.0831 rmse  0.1215  df(ActivateDay.Avg) 0.0066
               valid loss 4.316566  auc  0.0000 MAE  0.0823 rmse  0.1197  df(ActivateDay.Avg) 0.0017
     train: epoch 19 loss 0.159837  auc  0.0000 MAE  0.0832 rmse  0.1215  df(ActivateDay.Avg) 0.0041
               valid loss 4.464138  auc  0.0000 MAE  0.0801 rmse  0.1198  df(ActivateDay.Avg) 0.0819
     train: epoch 20 loss 0.159354  auc  0.0000 MAE  0.0831 rmse  0.1213  df(ActivateDay.Avg) 0.0068
               valid loss 4.318885  auc  0.0000 MAE  0.0827 rmse  0.1206  df(ActivateDay.Avg) 0.0097
     train: epoch 21 loss 0.160050  auc  0.0000 MAE  0.0832 rmse  0.1216  df(ActivateDay.Avg) 0.0066
               valid loss 4.398832  auc  0.0000 MAE  0.0808 rmse  0.1193  df(ActivateDay.Avg) 0.0419
     train: epoch 22 loss 0.159686  auc  0.0000 MAE  0.0833 rmse  0.1214  df(ActivateDay.Avg) 0.0035
               valid loss 4.495991  auc  0.0000 MAE  0.0794 rmse  0.1195  df(ActivateDay.Avg) 0.0889
     train: epoch 23 loss 0.160320  auc  0.0000 MAE  0.0833 rmse  0.1217  df(ActivateDay.Avg) 0.0077
               valid loss 4.327054  auc  0.0000 MAE  0.0818 rmse  0.1192  df(ActivateDay.Avg) 0.0045
                test loss 11.529098  auc  0.0000 MAE  0.0818 rmse  0.1191  df(ActivateDay.Avg) 0.0033
     train: epoch 24 loss 0.160082  auc  0.0000 MAE  0.0833 rmse  0.1216  df(ActivateDay.Avg) 0.0047
               valid loss 4.336650  auc  0.0000 MAE  0.0817 rmse  0.1192  df(ActivateDay.Avg) 0.0123
     train: epoch 25 loss 0.159904  auc  0.0000 MAE  0.0831 rmse  0.1215  df(ActivateDay.Avg) 0.0071
