{'model_name': 'CFIN', 'conv_size': 256, 'context_size': 32, 'embedding_size': 64, 'deep_layers': [100, 50], 'attn_enable': 1, 'attn_size': 128, 'kernel_size': 5, 'stride': 5, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'dropout_p': 0.1, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 2, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=2), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
      train: epoch 0 loss 0.222192  auc  0.0000 MAE  0.0863 rmse  0.1432  df(ActivateDay.Avg) 0.2785
               valid loss 4.622202  auc  0.0000 MAE  0.0836 rmse  0.1275  df(ActivateDay.Avg) 0.0939
                test loss 12.379650  auc  0.0000 MAE  0.0828 rmse  0.1270  df(ActivateDay.Avg) 0.0991
      train: epoch 1 loss 0.173345  auc  0.0000 MAE  0.0842 rmse  0.1265  df(ActivateDay.Avg) 0.0476
               valid loss 4.604438  auc  0.0000 MAE  0.0803 rmse  0.1242  df(ActivateDay.Avg) 0.1082
                test loss 12.364374  auc  0.0000 MAE  0.0796 rmse  0.1238  df(ActivateDay.Avg) 0.1162
      train: epoch 2 loss 0.169978  auc  0.0000 MAE  0.0842 rmse  0.1253  df(ActivateDay.Avg) 0.0355
               valid loss 4.254784  auc  0.0000 MAE  0.0849 rmse  0.1221  df(ActivateDay.Avg) 0.0324
                test loss 11.367218  auc  0.0000 MAE  0.0843 rmse  0.1215  df(ActivateDay.Avg) 0.0290
      train: epoch 3 loss 0.167871  auc  0.0000 MAE  0.0841 rmse  0.1245  df(ActivateDay.Avg) 0.0257
               valid loss 4.249144  auc  0.0000 MAE  0.0839 rmse  0.1212  df(ActivateDay.Avg) 0.0387
                test loss 11.390811  auc  0.0000 MAE  0.0835 rmse  0.1211  df(ActivateDay.Avg) 0.0324
      train: epoch 4 loss 0.166707  auc  0.0000 MAE  0.0841 rmse  0.1241  df(ActivateDay.Avg) 0.0245
               valid loss 4.604752  auc  0.0000 MAE  0.0799 rmse  0.1239  df(ActivateDay.Avg) 0.0890
      train: epoch 5 loss 0.166634  auc  0.0000 MAE  0.0841 rmse  0.1241  df(ActivateDay.Avg) 0.0221
               valid loss 4.278805  auc  0.0000 MAE  0.0846 rmse  0.1220  df(ActivateDay.Avg) 0.0030
      train: epoch 6 loss 0.166386  auc  0.0000 MAE  0.0841 rmse  0.1240  df(ActivateDay.Avg) 0.0220
               valid loss 4.482085  auc  0.0000 MAE  0.0804 rmse  0.1213  df(ActivateDay.Avg) 0.0797
      train: epoch 7 loss 0.166152  auc  0.0000 MAE  0.0841 rmse  0.1239  df(ActivateDay.Avg) 0.0208
               valid loss 4.643108  auc  0.0000 MAE  0.0789 rmse  0.1222  df(ActivateDay.Avg) 0.1414
      train: epoch 8 loss 0.165922  auc  0.0000 MAE  0.0840 rmse  0.1238  df(ActivateDay.Avg) 0.0192
               valid loss 4.517513  auc  0.0000 MAE  0.0808 rmse  0.1222  df(ActivateDay.Avg) 0.0799
      train: epoch 9 loss 0.165310  auc  0.0000 MAE  0.0840 rmse  0.1236  df(ActivateDay.Avg) 0.0166
               valid loss 4.714025  auc  0.0000 MAE  0.0785 rmse  0.1233  df(ActivateDay.Avg) 0.1407
     train: epoch 10 loss 0.165144  auc  0.0000 MAE  0.0841 rmse  0.1235  df(ActivateDay.Avg) 0.0165
               valid loss 4.329961  auc  0.0000 MAE  0.0826 rmse  0.1221  df(ActivateDay.Avg) 0.0230
     train: epoch 11 loss 0.165310  auc  0.0000 MAE  0.0841 rmse  0.1236  df(ActivateDay.Avg) 0.0157
               valid loss 4.502264  auc  0.0000 MAE  0.0808 rmse  0.1223  df(ActivateDay.Avg) 0.0421
     train: epoch 12 loss 0.165199  auc  0.0000 MAE  0.0842 rmse  0.1235  df(ActivateDay.Avg) 0.0139
               valid loss 4.346849  auc  0.0000 MAE  0.0822 rmse  0.1213  df(ActivateDay.Avg) 0.0023
     train: epoch 13 loss 0.165003  auc  0.0000 MAE  0.0841 rmse  0.1234  df(ActivateDay.Avg) 0.0144
