{'model_name': 'LR', 'embedding_size': 32, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 5, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.2, 'device': device(type='cuda', index=5), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
      train: epoch 0 loss 0.558956  auc  0.0000 MAE  0.1240 rmse  0.2272  df(ActivateDay.Avg) 0.0618
               valid loss 2.494880  auc  0.0000 MAE  0.4407 rmse  0.4570  df(ActivateDay.Avg) 5.2009
                test loss 6.618913  auc  0.0000 MAE  0.4405 rmse  0.4567  df(ActivateDay.Avg) 5.1450
      train: epoch 1 loss 0.393299  auc  0.0000 MAE  0.1101 rmse  0.1906  df(ActivateDay.Avg) 0.0015
               valid loss 2.503815  auc  0.0000 MAE  0.4432 rmse  0.4595  df(ActivateDay.Avg) 5.2221
      train: epoch 2 loss 1.808610  auc  0.0000 MAE  0.1517 rmse  0.4087  df(ActivateDay.Avg) 0.0138
               valid loss 2.484389  auc  0.0000 MAE  0.4392 rmse  0.4560  df(ActivateDay.Avg) 5.1659
                test loss 6.616067  auc  0.0000 MAE  0.4388 rmse  0.4556  df(ActivateDay.Avg) 5.1076
      train: epoch 3 loss 0.532880  auc  0.0000 MAE  0.1091 rmse  0.2218  df(ActivateDay.Avg) 0.0122
               valid loss 2.452434  auc  0.0000 MAE  0.4403 rmse  0.4555  df(ActivateDay.Avg) 5.2028
                test loss 6.498197  auc  0.0000 MAE  0.4400 rmse  0.4551  df(ActivateDay.Avg) 5.1505
      train: epoch 4 loss 0.376956  auc  0.0000 MAE  0.1039 rmse  0.1866  df(ActivateDay.Avg) 0.0014
               valid loss 2.463945  auc  0.0000 MAE  0.4403 rmse  0.4556  df(ActivateDay.Avg) 5.2024
      train: epoch 5 loss 0.509946  auc  0.0000 MAE  0.1105 rmse  0.2170  df(ActivateDay.Avg) 0.0006
               valid loss 2.466145  auc  0.0000 MAE  0.4397 rmse  0.4550  df(ActivateDay.Avg) 5.1954
                test loss 6.541119  auc  0.0000 MAE  0.4392 rmse  0.4545  df(ActivateDay.Avg) 5.1393
      train: epoch 6 loss 0.249981  auc  0.0000 MAE  0.0959 rmse  0.1519  df(ActivateDay.Avg) 0.0004
               valid loss 2.459279  auc  0.0000 MAE  0.4400 rmse  0.4552  df(ActivateDay.Avg) 5.2016
      train: epoch 7 loss 0.548265  auc  0.0000 MAE  0.1161 rmse  0.2250  df(ActivateDay.Avg) 0.0011
               valid loss 2.489170  auc  0.0000 MAE  0.4406 rmse  0.4565  df(ActivateDay.Avg) 5.1999
      train: epoch 8 loss 0.313898  auc  0.0000 MAE  0.1023 rmse  0.1703  df(ActivateDay.Avg) 0.0016
               valid loss 2.435268  auc  0.0000 MAE  0.4387 rmse  0.4546  df(ActivateDay.Avg) 5.1871
                test loss 6.454884  auc  0.0000 MAE  0.4384 rmse  0.4542  df(ActivateDay.Avg) 5.1345
      train: epoch 9 loss 1.082455  auc  0.0000 MAE  0.1253 rmse  0.3162  df(ActivateDay.Avg) 0.0010
               valid loss 2.754238  auc  0.0000 MAE  0.4422 rmse  0.4694  df(ActivateDay.Avg) 5.1108
     train: epoch 10 loss 1.367611  auc  0.0000 MAE  0.1339 rmse  0.3554  df(ActivateDay.Avg) 0.0021
               valid loss 2.488469  auc  0.0000 MAE  0.4398 rmse  0.4557  df(ActivateDay.Avg) 5.1907
     train: epoch 11 loss 0.238726  auc  0.0000 MAE  0.0923 rmse  0.1485  df(ActivateDay.Avg) 0.0050
               valid loss 2.472372  auc  0.0000 MAE  0.4412 rmse  0.4567  df(ActivateDay.Avg) 5.2126
     train: epoch 12 loss 0.254412  auc  0.0000 MAE  0.0953 rmse  0.1533  df(ActivateDay.Avg) 0.0041
               valid loss 2.458648  auc  0.0000 MAE  0.4393 rmse  0.4544  df(ActivateDay.Avg) 5.1919
                test loss 6.517751  auc  0.0000 MAE  0.4387 rmse  0.4538  df(ActivateDay.Avg) 5.1366
     train: epoch 13 loss 0.407121  auc  0.0000 MAE  0.1038 rmse  0.1939  df(ActivateDay.Avg) 0.0007
               valid loss 2.469001  auc  0.0000 MAE  0.4398 rmse  0.4552  df(ActivateDay.Avg) 5.1961
     train: epoch 14 loss 0.300877  auc  0.0000 MAE  0.0974 rmse  0.1667  df(ActivateDay.Avg) 0.0027
               valid loss 2.464190  auc  0.0000 MAE  0.4413 rmse  0.4566  df(ActivateDay.Avg) 5.2158
     train: epoch 15 loss 0.268646  auc  0.0000 MAE  0.0973 rmse  0.1575  df(ActivateDay.Avg) 0.0020
               valid loss 2.468578  auc  0.0000 MAE  0.4396 rmse  0.4550  df(ActivateDay.Avg) 5.1931
     train: epoch 16 loss 0.786583  auc  0.0000 MAE  0.1152 rmse  0.2695  df(ActivateDay.Avg) 0.0025
               valid loss 2.467223  auc  0.0000 MAE  0.4411 rmse  0.4565  df(ActivateDay.Avg) 5.2118
     train: epoch 17 loss 0.238685  auc  0.0000 MAE  0.0926 rmse  0.1485  df(ActivateDay.Avg) 0.0035
               valid loss 2.486520  auc  0.0000 MAE  0.4403 rmse  0.4562  df(ActivateDay.Avg) 5.1988
     train: epoch 18 loss 0.241031  auc  0.0000 MAE  0.0942 rmse  0.1492  df(ActivateDay.Avg) 0.0011
               valid loss 2.492964  auc  0.0000 MAE  0.4402 rmse  0.4565  df(ActivateDay.Avg) 5.1927
     train: epoch 19 loss 0.229791  auc  0.0000 MAE  0.0927 rmse  0.1457  df(ActivateDay.Avg) 0.0005
               valid loss 2.468854  auc  0.0000 MAE  0.4407 rmse  0.4561  df(ActivateDay.Avg) 5.2051
     train: epoch 20 loss 0.212993  auc  0.0000 MAE  0.0918 rmse  0.1403  df(ActivateDay.Avg) 0.0010
               valid loss 2.481450  auc  0.0000 MAE  0.4406 rmse  0.4563  df(ActivateDay.Avg) 5.2021
     train: epoch 21 loss 0.244637  auc  0.0000 MAE  0.0944 rmse  0.1503  df(ActivateDay.Avg) 0.0008
               valid loss 2.463605  auc  0.0000 MAE  0.4401 rmse  0.4553  df(ActivateDay.Avg) 5.2016
     train: epoch 22 loss 0.277751  auc  0.0000 MAE  0.0963 rmse  0.1602  df(ActivateDay.Avg) 0.0010
               valid loss 2.498274  auc  0.0000 MAE  0.4407 rmse  0.4569  df(ActivateDay.Avg) 5.1923
     train: epoch 23 loss 0.268038  auc  0.0000 MAE  0.0957 rmse  0.1573  df(ActivateDay.Avg) 0.0027
               valid loss 2.459930  auc  0.0000 MAE  0.4407 rmse  0.4559  df(ActivateDay.Avg) 5.2093
     train: epoch 24 loss 0.416098  auc  0.0000 MAE  0.1016 rmse  0.1960  df(ActivateDay.Avg) 0.0002
               valid loss 2.470514  auc  0.0000 MAE  0.4408 rmse  0.4562  df(ActivateDay.Avg) 5.2069
     train: epoch 25 loss 0.246126  auc  0.0000 MAE  0.0905 rmse  0.1508  df(ActivateDay.Avg) 0.0004
               valid loss 2.460217  auc  0.0000 MAE  0.4410 rmse  0.4562  df(ActivateDay.Avg) 5.2129
     train: epoch 26 loss 0.195231  auc  0.0000 MAE  0.0888 rmse  0.1343  df(ActivateDay.Avg) 0.0002
               valid loss 2.454397  auc  0.0000 MAE  0.4402 rmse  0.4551  df(ActivateDay.Avg) 5.2029
     train: epoch 27 loss 0.191908  auc  0.0000 MAE  0.0890 rmse  0.1331  df(ActivateDay.Avg) 0.0016
               valid loss 2.489451  auc  0.0000 MAE  0.4412 rmse  0.4570  df(ActivateDay.Avg) 5.2078
     train: epoch 28 loss 0.261305  auc  0.0000 MAE  0.0959 rmse  0.1553  df(ActivateDay.Avg) 0.0003
               valid loss 2.490149  auc  0.0000 MAE  0.4409 rmse  0.4568  df(ActivateDay.Avg) 5.2043
     train: epoch 29 loss 0.205141  auc  0.0000 MAE  0.0894 rmse  0.1376  df(ActivateDay.Avg) 0.0003
               valid loss 2.474822  auc  0.0000 MAE  0.4400 rmse  0.4555  df(ActivateDay.Avg) 5.1983
     train: epoch 30 loss 0.315581  auc  0.0000 MAE  0.0941 rmse  0.1707  df(ActivateDay.Avg) 0.0007
               valid loss 2.479129  auc  0.0000 MAE  0.4409 rmse  0.4565  df(ActivateDay.Avg) 5.2062
     train: epoch 31 loss 0.212246  auc  0.0000 MAE  0.0894 rmse  0.1400  df(ActivateDay.Avg) 0.0010
               valid loss 2.480126  auc  0.0000 MAE  0.4404 rmse  0.4560  df(ActivateDay.Avg) 5.2005
     train: epoch 32 loss 0.209185  auc  0.0000 MAE  0.0886 rmse  0.1390  df(ActivateDay.Avg) 0.0014
               valid loss 2.480121  auc  0.0000 MAE  0.4407 rmse  0.4564  df(ActivateDay.Avg) 5.2044
     train: epoch 33 loss 0.182863  auc  0.0000 MAE  0.0872 rmse  0.1300  df(ActivateDay.Avg) 0.0006
               valid loss 2.477737  auc  0.0000 MAE  0.4400 rmse  0.4556  df(ActivateDay.Avg) 5.1967
     train: epoch 34 loss 0.210117  auc  0.0000 MAE  0.0894 rmse  0.1393  df(ActivateDay.Avg) 0.0002
               valid loss 2.474917  auc  0.0000 MAE  0.4405 rmse  0.4560  df(ActivateDay.Avg) 5.2041
     train: epoch 35 loss 0.195016  auc  0.0000 MAE  0.0877 rmse  0.1342  df(ActivateDay.Avg) 0.0002
               valid loss 2.478399  auc  0.0000 MAE  0.4402 rmse  0.4560  df(ActivateDay.Avg) 5.1958
     train: epoch 36 loss 0.207731  auc  0.0000 MAE  0.0891 rmse  0.1385  df(ActivateDay.Avg) 0.0005
