{'model_name': 'LSCNN', 'embedding_size': 64, 'hidden_size': 8, 'lstm_2_input_size': 100, 'lscnn_conv2_kernel': 3, 'lscnn_conv2_outputsize': 20, 'lscnn_pool_kernel': 2, 'dropout_p': 0.1, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 1, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=1), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
      train: epoch 0 loss 0.181314  auc  0.0000 MAE  0.0892 rmse  0.1294  df(ActivateDay.Avg) 0.0790
               valid loss 4.217982  auc  0.0000 MAE  0.0834 rmse  0.1195  df(ActivateDay.Avg) 0.0698
                test loss 11.267372  auc  0.0000 MAE  0.0834 rmse  0.1191  df(ActivateDay.Avg) 0.0717
      train: epoch 1 loss 0.156394  auc  0.0000 MAE  0.0824 rmse  0.1202  df(ActivateDay.Avg) 0.0011
               valid loss 4.252009  auc  0.0000 MAE  0.0824 rmse  0.1188  df(ActivateDay.Avg) 0.0383
                test loss 11.349036  auc  0.0000 MAE  0.0824 rmse  0.1184  df(ActivateDay.Avg) 0.0425
      train: epoch 2 loss 0.155294  auc  0.0000 MAE  0.0823 rmse  0.1198  df(ActivateDay.Avg) 0.0061
               valid loss 4.307459  auc  0.0000 MAE  0.0809 rmse  0.1184  df(ActivateDay.Avg) 0.0123
                test loss 11.486800  auc  0.0000 MAE  0.0812 rmse  0.1182  df(ActivateDay.Avg) 0.0203
      train: epoch 3 loss 0.154651  auc  0.0000 MAE  0.0819 rmse  0.1195  df(ActivateDay.Avg) 0.0008
               valid loss 4.287734  auc  0.0000 MAE  0.0812 rmse  0.1185  df(ActivateDay.Avg) 0.0274
      train: epoch 4 loss 0.154097  auc  0.0000 MAE  0.0818 rmse  0.1193  df(ActivateDay.Avg) 0.0037
               valid loss 4.202824  auc  0.0000 MAE  0.0829 rmse  0.1185  df(ActivateDay.Avg) 0.0636
      train: epoch 5 loss 0.154083  auc  0.0000 MAE  0.0815 rmse  0.1193  df(ActivateDay.Avg) 0.0016
               valid loss 4.148854  auc  0.0000 MAE  0.0840 rmse  0.1188  df(ActivateDay.Avg) 0.1036
      train: epoch 6 loss 0.153617  auc  0.0000 MAE  0.0816 rmse  0.1191  df(ActivateDay.Avg) 0.0026
               valid loss 4.195721  auc  0.0000 MAE  0.0830 rmse  0.1182  df(ActivateDay.Avg) 0.0648
                test loss 11.174605  auc  0.0000 MAE  0.0831 rmse  0.1180  df(ActivateDay.Avg) 0.0744
      train: epoch 7 loss 0.153577  auc  0.0000 MAE  0.0815 rmse  0.1191  df(ActivateDay.Avg) 0.0015
               valid loss 4.287847  auc  0.0000 MAE  0.0815 rmse  0.1184  df(ActivateDay.Avg) 0.0023
      train: epoch 8 loss 0.153107  auc  0.0000 MAE  0.0814 rmse  0.1189  df(ActivateDay.Avg) 0.0031
               valid loss 4.296275  auc  0.0000 MAE  0.0808 rmse  0.1181  df(ActivateDay.Avg) 0.0088
                test loss 11.450303  auc  0.0000 MAE  0.0810 rmse  0.1178  df(ActivateDay.Avg) 0.0169
      train: epoch 9 loss 0.152666  auc  0.0000 MAE  0.0814 rmse  0.1187  df(ActivateDay.Avg) 0.0058
               valid loss 4.587351  auc  0.0000 MAE  0.0774 rmse  0.1190  df(ActivateDay.Avg) 0.1462
     train: epoch 10 loss 0.152781  auc  0.0000 MAE  0.0813 rmse  0.1188  df(ActivateDay.Avg) 0.0009
               valid loss 4.619800  auc  0.0000 MAE  0.0769 rmse  0.1189  df(ActivateDay.Avg) 0.1601
     train: epoch 11 loss 0.152794  auc  0.0000 MAE  0.0813 rmse  0.1188  df(ActivateDay.Avg) 0.0031
               valid loss 4.029841  auc  0.0000 MAE  0.0863 rmse  0.1205  df(ActivateDay.Avg) 0.1981
     train: epoch 12 loss 0.152437  auc  0.0000 MAE  0.0813 rmse  0.1187  df(ActivateDay.Avg) 0.0064
               valid loss 4.401152  auc  0.0000 MAE  0.0788 rmse  0.1180  df(ActivateDay.Avg) 0.0540
                test loss 11.732426  auc  0.0000 MAE  0.0789 rmse  0.1175  df(ActivateDay.Avg) 0.0465
     train: epoch 13 loss 0.151981  auc  0.0000 MAE  0.0810 rmse  0.1185  df(ActivateDay.Avg) 0.0031
               valid loss 4.214705  auc  0.0000 MAE  0.0820 rmse  0.1179  df(ActivateDay.Avg) 0.0453
                test loss 11.221980  auc  0.0000 MAE  0.0821 rmse  0.1176  df(ActivateDay.Avg) 0.0554
     train: epoch 14 loss 0.151762  auc  0.0000 MAE  0.0811 rmse  0.1184  df(ActivateDay.Avg) 0.0082
               valid loss 4.345558  auc  0.0000 MAE  0.0794 rmse  0.1179  df(ActivateDay.Avg) 0.0286
     train: epoch 15 loss 0.151635  auc  0.0000 MAE  0.0809 rmse  0.1183  df(ActivateDay.Avg) 0.0070
               valid loss 4.260720  auc  0.0000 MAE  0.0813 rmse  0.1179  df(ActivateDay.Avg) 0.0146
     train: epoch 16 loss 0.151506  auc  0.0000 MAE  0.0810 rmse  0.1183  df(ActivateDay.Avg) 0.0063
               valid loss 4.316519  auc  0.0000 MAE  0.0798 rmse  0.1180  df(ActivateDay.Avg) 0.0086
     train: epoch 17 loss 0.151069  auc  0.0000 MAE  0.0809 rmse  0.1181  df(ActivateDay.Avg) 0.0085
               valid loss 4.295165  auc  0.0000 MAE  0.0800 rmse  0.1183  df(ActivateDay.Avg) 0.0151
     train: epoch 18 loss 0.150976  auc  0.0000 MAE  0.0808 rmse  0.1181  df(ActivateDay.Avg) 0.0077
               valid loss 4.273209  auc  0.0000 MAE  0.0806 rmse  0.1178  df(ActivateDay.Avg) 0.0061
                test loss 11.402557  auc  0.0000 MAE  0.0803 rmse  0.1171  df(ActivateDay.Avg) 0.0116
     train: epoch 19 loss 0.151066  auc  0.0000 MAE  0.0808 rmse  0.1181  df(ActivateDay.Avg) 0.0061
               valid loss 4.381432  auc  0.0000 MAE  0.0791 rmse  0.1179  df(ActivateDay.Avg) 0.0588
