{'model_name': 'MLP', 'embedding_size': 64, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'deep_layers': [100, 50], 'dropout_p': 0.2, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 6, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=6), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
      train: epoch 0 loss 0.201029  auc  0.0000 MAE  0.0851 rmse  0.1363  df(ActivateDay.Avg) 0.1319
               valid loss 4.810766  auc  0.0000 MAE  0.0793 rmse  0.1244  df(ActivateDay.Avg) 0.1314
                test loss 12.839086  auc  0.0000 MAE  0.0795 rmse  0.1241  df(ActivateDay.Avg) 0.1245
      train: epoch 1 loss 0.172167  auc  0.0000 MAE  0.0826 rmse  0.1261  df(ActivateDay.Avg) 0.0678
               valid loss 4.347659  auc  0.0000 MAE  0.0833 rmse  0.1217  df(ActivateDay.Avg) 0.0364
                test loss 11.612276  auc  0.0000 MAE  0.0831 rmse  0.1209  df(ActivateDay.Avg) 0.0398
      train: epoch 2 loss 0.165752  auc  0.0000 MAE  0.0829 rmse  0.1237  df(ActivateDay.Avg) 0.0359
               valid loss 4.504738  auc  0.0000 MAE  0.0801 rmse  0.1205  df(ActivateDay.Avg) 0.0515
                test loss 12.039262  auc  0.0000 MAE  0.0800 rmse  0.1199  df(ActivateDay.Avg) 0.0476
      train: epoch 3 loss 0.162571  auc  0.0000 MAE  0.0827 rmse  0.1225  df(ActivateDay.Avg) 0.0265
               valid loss 4.340976  auc  0.0000 MAE  0.0821 rmse  0.1202  df(ActivateDay.Avg) 0.0153
                test loss 11.609159  auc  0.0000 MAE  0.0817 rmse  0.1194  df(ActivateDay.Avg) 0.0153
      train: epoch 4 loss 0.161228  auc  0.0000 MAE  0.0828 rmse  0.1220  df(ActivateDay.Avg) 0.0174
               valid loss 4.327592  auc  0.0000 MAE  0.0821 rmse  0.1197  df(ActivateDay.Avg) 0.0022
                test loss 11.589958  auc  0.0000 MAE  0.0818 rmse  0.1193  df(ActivateDay.Avg) 0.0011
      train: epoch 5 loss 0.160477  auc  0.0000 MAE  0.0831 rmse  0.1217  df(ActivateDay.Avg) 0.0133
               valid loss 4.319110  auc  0.0000 MAE  0.0824 rmse  0.1201  df(ActivateDay.Avg) 0.0011
      train: epoch 6 loss 0.160555  auc  0.0000 MAE  0.0833 rmse  0.1218  df(ActivateDay.Avg) 0.0119
               valid loss 4.490902  auc  0.0000 MAE  0.0797 rmse  0.1200  df(ActivateDay.Avg) 0.0826
      train: epoch 7 loss 0.159997  auc  0.0000 MAE  0.0831 rmse  0.1216  df(ActivateDay.Avg) 0.0114
               valid loss 4.544162  auc  0.0000 MAE  0.0795 rmse  0.1206  df(ActivateDay.Avg) 0.1212
      train: epoch 8 loss 0.160807  auc  0.0000 MAE  0.0833 rmse  0.1219  df(ActivateDay.Avg) 0.0109
               valid loss 4.253357  auc  0.0000 MAE  0.0832 rmse  0.1200  df(ActivateDay.Avg) 0.0467
      train: epoch 9 loss 0.160607  auc  0.0000 MAE  0.0833 rmse  0.1218  df(ActivateDay.Avg) 0.0086
               valid loss 4.407519  auc  0.0000 MAE  0.0807 rmse  0.1197  df(ActivateDay.Avg) 0.0462
                test loss 11.796226  auc  0.0000 MAE  0.0803 rmse  0.1191  df(ActivateDay.Avg) 0.0483
     train: epoch 10 loss 0.159897  auc  0.0000 MAE  0.0831 rmse  0.1215  df(ActivateDay.Avg) 0.0092
               valid loss 4.517487  auc  0.0000 MAE  0.0793 rmse  0.1200  df(ActivateDay.Avg) 0.0977
     train: epoch 11 loss 0.159908  auc  0.0000 MAE  0.0831 rmse  0.1215  df(ActivateDay.Avg) 0.0105
               valid loss 4.373446  auc  0.0000 MAE  0.0812 rmse  0.1198  df(ActivateDay.Avg) 0.0233
     train: epoch 12 loss 0.160675  auc  0.0000 MAE  0.0833 rmse  0.1218  df(ActivateDay.Avg) 0.0101
               valid loss 4.330393  auc  0.0000 MAE  0.0818 rmse  0.1195  df(ActivateDay.Avg) 0.0098
                test loss 11.593447  auc  0.0000 MAE  0.0814 rmse  0.1190  df(ActivateDay.Avg) 0.0138
     train: epoch 13 loss 0.160418  auc  0.0000 MAE  0.0833 rmse  0.1217  df(ActivateDay.Avg) 0.0069
               valid loss 4.492021  auc  0.0000 MAE  0.0798 rmse  0.1202  df(ActivateDay.Avg) 0.0887
     train: epoch 14 loss 0.160478  auc  0.0000 MAE  0.0834 rmse  0.1217  df(ActivateDay.Avg) 0.0063
               valid loss 4.373739  auc  0.0000 MAE  0.0818 rmse  0.1203  df(ActivateDay.Avg) 0.0491
     train: epoch 15 loss 0.160123  auc  0.0000 MAE  0.0832 rmse  0.1216  df(ActivateDay.Avg) 0.0118
               valid loss 4.204110  auc  0.0000 MAE  0.0843 rmse  0.1200  df(ActivateDay.Avg) 0.0620
     train: epoch 16 loss 0.159760  auc  0.0000 MAE  0.0832 rmse  0.1215  df(ActivateDay.Avg) 0.0062
               valid loss 4.222921  auc  0.0000 MAE  0.0837 rmse  0.1198  df(ActivateDay.Avg) 0.0566
     train: epoch 17 loss 0.159557  auc  0.0000 MAE  0.0830 rmse  0.1214  df(ActivateDay.Avg) 0.0087
               valid loss 4.285684  auc  0.0000 MAE  0.0828 rmse  0.1201  df(ActivateDay.Avg) 0.0242
     train: epoch 18 loss 0.160051  auc  0.0000 MAE  0.0832 rmse  0.1216  df(ActivateDay.Avg) 0.0083
               valid loss 4.391570  auc  0.0000 MAE  0.0809 rmse  0.1198  df(ActivateDay.Avg) 0.0304
     train: epoch 19 loss 0.160161  auc  0.0000 MAE  0.0832 rmse  0.1216  df(ActivateDay.Avg) 0.0052
               valid loss 4.306499  auc  0.0000 MAE  0.0824 rmse  0.1199  df(ActivateDay.Avg) 0.0058
     train: epoch 20 loss 0.159370  auc  0.0000 MAE  0.0830 rmse  0.1213  df(ActivateDay.Avg) 0.0053
               valid loss 4.437169  auc  0.0000 MAE  0.0806 rmse  0.1201  df(ActivateDay.Avg) 0.0699
     train: epoch 21 loss 0.159630  auc  0.0000 MAE  0.0832 rmse  0.1214  df(ActivateDay.Avg) 0.0056
               valid loss 4.282564  auc  0.0000 MAE  0.0829 rmse  0.1200  df(ActivateDay.Avg) 0.0184
     train: epoch 22 loss 0.159715  auc  0.0000 MAE  0.0831 rmse  0.1214  df(ActivateDay.Avg) 0.0067
               valid loss 4.301366  auc  0.0000 MAE  0.0827 rmse  0.1201  df(ActivateDay.Avg) 0.0101
     train: epoch 23 loss 0.159707  auc  0.0000 MAE  0.0832 rmse  0.1214  df(ActivateDay.Avg) 0.0032
               valid loss 4.441819  auc  0.0000 MAE  0.0804 rmse  0.1199  df(ActivateDay.Avg) 0.0701
     train: epoch 24 loss 0.160241  auc  0.0000 MAE  0.0834 rmse  0.1216  df(ActivateDay.Avg) 0.0057
