{'model_name': 'RNN', 'input_size': 7, 'hidden_size': 64, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 3, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'dropout_p': 0.1, 'device': device(type='cuda', index=3), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
      train: epoch 0 loss 0.206526  auc  0.0000 MAE  0.0974 rmse  0.1381  df(ActivateDay.Avg) 0.1851
               valid loss 4.162709  auc  0.0000 MAE  0.0872 rmse  0.1212  df(ActivateDay.Avg) 0.0940
                test loss 11.140103  auc  0.0000 MAE  0.0869 rmse  0.1211  df(ActivateDay.Avg) 0.0905
      train: epoch 1 loss 0.163322  auc  0.0000 MAE  0.0872 rmse  0.1228  df(ActivateDay.Avg) 0.0514
               valid loss 4.261168  auc  0.0000 MAE  0.0856 rmse  0.1209  df(ActivateDay.Avg) 0.0220
                test loss 11.398846  auc  0.0000 MAE  0.0853 rmse  0.1206  df(ActivateDay.Avg) 0.0188
      train: epoch 2 loss 0.162285  auc  0.0000 MAE  0.0865 rmse  0.1224  df(ActivateDay.Avg) 0.0428
               valid loss 3.921516  auc  0.0000 MAE  0.0928 rmse  0.1230  df(ActivateDay.Avg) 0.2736
      train: epoch 3 loss 0.162080  auc  0.0000 MAE  0.0864 rmse  0.1223  df(ActivateDay.Avg) 0.0438
               valid loss 4.288661  auc  0.0000 MAE  0.0840 rmse  0.1202  df(ActivateDay.Avg) 0.0079
                test loss 11.475233  auc  0.0000 MAE  0.0838 rmse  0.1200  df(ActivateDay.Avg) 0.0045
