{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.2, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 5, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 1, 'bce_weight': 1.0, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'fine_grained': 1, 'device': device(type='cuda', index=1), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23230,  6089,  3359,  2442,  1971,  1626,  1357,  1037,   829,
         629,   498,   367,   272,   209,   122,    98,    78,    61,
          35,    28,    20,    16,    10,    13])}
      train: epoch 0 loss 0.184947  auc  0.0000 MAE  0.0866 rmse  0.1307  df(ActivateDay.Avg) 0.0989
               valid loss 4.362146  auc  0.0000 MAE  0.0838 rmse  0.1221  df(ActivateDay.Avg) 0.0374
                test loss 11.642238  auc  0.0000 MAE  0.0833 rmse  0.1209  df(ActivateDay.Avg) 0.0296
      train: epoch 1 loss 0.162107  auc  0.0000 MAE  0.0851 rmse  0.1224  df(ActivateDay.Avg) 0.0090
               valid loss 4.751415  auc  0.0000 MAE  0.0787 rmse  0.1233  df(ActivateDay.Avg) 0.2050
      train: epoch 2 loss 0.162055  auc  0.0000 MAE  0.0850 rmse  0.1223  df(ActivateDay.Avg) 0.0070
               valid loss 4.080057  auc  0.0000 MAE  0.0891 rmse  0.1225  df(ActivateDay.Avg) 0.1473
      train: epoch 3 loss 0.161732  auc  0.0000 MAE  0.0851 rmse  0.1222  df(ActivateDay.Avg) 0.0104
               valid loss 4.387587  auc  0.0000 MAE  0.0830 rmse  0.1218  df(ActivateDay.Avg) 0.0456
                test loss 11.707680  auc  0.0000 MAE  0.0824 rmse  0.1206  df(ActivateDay.Avg) 0.0372
      train: epoch 4 loss 0.160982  auc  0.0000 MAE  0.0848 rmse  0.1219  df(ActivateDay.Avg) 0.0105
               valid loss 4.176078  auc  0.0000 MAE  0.0870 rmse  0.1218  df(ActivateDay.Avg) 0.0752
                test loss 11.143721  auc  0.0000 MAE  0.0865 rmse  0.1207  df(ActivateDay.Avg) 0.0842
      train: epoch 5 loss 0.161632  auc  0.0000 MAE  0.0850 rmse  0.1222  df(ActivateDay.Avg) 0.0096
               valid loss 3.981647  auc  0.0000 MAE  0.0926 rmse  0.1231  df(ActivateDay.Avg) 0.2086
      train: epoch 6 loss 0.161280  auc  0.0000 MAE  0.0850 rmse  0.1220  df(ActivateDay.Avg) 0.0127
               valid loss 4.665086  auc  0.0000 MAE  0.0796 rmse  0.1229  df(ActivateDay.Avg) 0.1784
      train: epoch 7 loss 0.160937  auc  0.0000 MAE  0.0849 rmse  0.1219  df(ActivateDay.Avg) 0.0127
               valid loss 4.033705  auc  0.0000 MAE  0.0905 rmse  0.1224  df(ActivateDay.Avg) 0.1729
      train: epoch 8 loss 0.160952  auc  0.0000 MAE  0.0849 rmse  0.1219  df(ActivateDay.Avg) 0.0128
               valid loss 4.024873  auc  0.0000 MAE  0.0906 rmse  0.1226  df(ActivateDay.Avg) 0.1826
      train: epoch 9 loss 0.160815  auc  0.0000 MAE  0.0850 rmse  0.1219  df(ActivateDay.Avg) 0.0157
               valid loss 4.569867  auc  0.0000 MAE  0.0808 rmse  0.1225  df(ActivateDay.Avg) 0.1463
     train: epoch 10 loss 0.160515  auc  0.0000 MAE  0.0848 rmse  0.1218  df(ActivateDay.Avg) 0.0127
               valid loss 4.566617  auc  0.0000 MAE  0.0807 rmse  0.1225  df(ActivateDay.Avg) 0.1393
     train: epoch 11 loss 0.160766  auc  0.0000 MAE  0.0850 rmse  0.1218  df(ActivateDay.Avg) 0.0154
               valid loss 4.144171  auc  0.0000 MAE  0.0873 rmse  0.1221  df(ActivateDay.Avg) 0.1058
     train: epoch 12 loss 0.160967  auc  0.0000 MAE  0.0848 rmse  0.1219  df(ActivateDay.Avg) 0.0125
               valid loss 4.348849  auc  0.0000 MAE  0.0835 rmse  0.1218  df(ActivateDay.Avg) 0.0177
     train: epoch 13 loss 0.160149  auc  0.0000 MAE  0.0848 rmse  0.1216  df(ActivateDay.Avg) 0.0162
               valid loss 4.012192  auc  0.0000 MAE  0.0913 rmse  0.1226  df(ActivateDay.Avg) 0.1865
     train: epoch 14 loss 0.160737  auc  0.0000 MAE  0.0850 rmse  0.1218  df(ActivateDay.Avg) 0.0138
               valid loss 3.942049  auc  0.0000 MAE  0.0930 rmse  0.1231  df(ActivateDay.Avg) 0.2420
     train: epoch 15 loss 0.160386  auc  0.0000 MAE  0.0849 rmse  0.1217  df(ActivateDay.Avg) 0.0150
               valid loss 4.257152  auc  0.0000 MAE  0.0853 rmse  0.1215  df(ActivateDay.Avg) 0.0226
                test loss 11.358933  auc  0.0000 MAE  0.0849 rmse  0.1204  df(ActivateDay.Avg) 0.0318
     train: epoch 16 loss 0.160414  auc  0.0000 MAE  0.0849 rmse  0.1217  df(ActivateDay.Avg) 0.0163
               valid loss 4.342948  auc  0.0000 MAE  0.0836 rmse  0.1215  df(ActivateDay.Avg) 0.0226
     train: epoch 17 loss 0.159950  auc  0.0000 MAE  0.0849 rmse  0.1215  df(ActivateDay.Avg) 0.0157
               valid loss 4.409950  auc  0.0000 MAE  0.0829 rmse  0.1219  df(ActivateDay.Avg) 0.0655
     train: epoch 18 loss 0.160578  auc  0.0000 MAE  0.0850 rmse  0.1218  df(ActivateDay.Avg) 0.0162
               valid loss 3.950683  auc  0.0000 MAE  0.0932 rmse  0.1232  df(ActivateDay.Avg) 0.2324
     train: epoch 19 loss 0.160686  auc  0.0000 MAE  0.0849 rmse  0.1218  df(ActivateDay.Avg) 0.0152
               valid loss 4.321211  auc  0.0000 MAE  0.0840 rmse  0.1217  df(ActivateDay.Avg) 0.0098
     train: epoch 20 loss 0.160514  auc  0.0000 MAE  0.0849 rmse  0.1218  df(ActivateDay.Avg) 0.0142
               valid loss 4.400065  auc  0.0000 MAE  0.0826 rmse  0.1217  df(ActivateDay.Avg) 0.0492
     train: epoch 21 loss 0.160265  auc  0.0000 MAE  0.0848 rmse  0.1217  df(ActivateDay.Avg) 0.0162
               valid loss 4.056214  auc  0.0000 MAE  0.0900 rmse  0.1222  df(ActivateDay.Avg) 0.1568
     train: epoch 22 loss 0.160085  auc  0.0000 MAE  0.0850 rmse  0.1216  df(ActivateDay.Avg) 0.0189
               valid loss 4.164004  auc  0.0000 MAE  0.0869 rmse  0.1219  df(ActivateDay.Avg) 0.0915
     train: epoch 23 loss 0.160337  auc  0.0000 MAE  0.0849 rmse  0.1217  df(ActivateDay.Avg) 0.0158
               valid loss 4.156400  auc  0.0000 MAE  0.0870 rmse  0.1219  df(ActivateDay.Avg) 0.0973
     train: epoch 24 loss 0.160476  auc  0.0000 MAE  0.0849 rmse  0.1217  df(ActivateDay.Avg) 0.0171
               valid loss 4.230112  auc  0.0000 MAE  0.0856 rmse  0.1216  df(ActivateDay.Avg) 0.0462
     train: epoch 25 loss 0.160211  auc  0.0000 MAE  0.0849 rmse  0.1216  df(ActivateDay.Avg) 0.0160
               valid loss 4.475106  auc  0.0000 MAE  0.0815 rmse  0.1221  df(ActivateDay.Avg) 0.0776
     train: epoch 26 loss 0.160252  auc  0.0000 MAE  0.0849 rmse  0.1217  df(ActivateDay.Avg) 0.0167
               valid loss 4.331124  auc  0.0000 MAE  0.0840 rmse  0.1217  df(ActivateDay.Avg) 0.0186
     train: epoch 27 loss 0.160135  auc  0.0000 MAE  0.0848 rmse  0.1216  df(ActivateDay.Avg) 0.0156
               valid loss 4.161323  auc  0.0000 MAE  0.0873 rmse  0.1218  df(ActivateDay.Avg) 0.0868
     train: epoch 28 loss 0.160126  auc  0.0000 MAE  0.0849 rmse  0.1216  df(ActivateDay.Avg) 0.0173
               valid loss 4.259575  auc  0.0000 MAE  0.0850 rmse  0.1217  df(ActivateDay.Avg) 0.0284
     train: epoch 29 loss 0.160251  auc  0.0000 MAE  0.0850 rmse  0.1217  df(ActivateDay.Avg) 0.0182
               valid loss 4.169580  auc  0.0000 MAE  0.0872 rmse  0.1220  df(ActivateDay.Avg) 0.0842
     train: epoch 30 loss 0.160165  auc  0.0000 MAE  0.0848 rmse  0.1216  df(ActivateDay.Avg) 0.0149
