{'model_name': 'FLTADP', 'week_embedding_size': 30, 'week_num': 7, 'time_interval_embedding_size': 30, 'u_embedding_size': 64, 'embedding_size': 64, 'hidden_size': 20, 'num_attention_head': 1, 'batch_norm_decay': 0.095, 'dimension_1': 60, 'deep_layers': [100, 50], 'context_size': 32, 'dropout_p': 0.1, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'imbalance_stratage': {'label_smooth_kernel': 'gaussian', 'label_smooth_size': 3, 'label_smooth_sigma': 2, 'feature_smooth_kernel': 'gaussian', 'feature_smooth_size': 15, 'feature_smooth_sigma': 5}, 'seed': 2, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 7, 'bce_weight': 1.0, 'fine_grained': 1, 'device': device(type='cuda', index=7), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23135,  6106,  3418,  2411,  1960,  1667,  1342,  1033,   849,
         643,   486,   360,   292,   201,   139,    97,    77,    64,
          32,    25,    23,     8,    10,    18])}
      train: epoch 0 loss 2.159327  MAE  0.0781  rmse  0.1271  df(ActivateDay.Avg) 0.1995
               valid loss 0.607523  MAE  0.0721  rmse  0.1069  df(ActivateDay.Avg) 0.1032
                test loss 0.709082  MAE  0.1363  rmse  0.1890  df(ActivateDay.Avg) 0.5062
      train: epoch 1 loss 1.867564  MAE  0.0716  rmse  0.1085  df(ActivateDay.Avg) 0.0294
               valid loss 0.602119  MAE  0.0730  rmse  0.1063  df(ActivateDay.Avg) 0.1588
                test loss 0.701692  MAE  0.1308  rmse  0.1821  df(ActivateDay.Avg) 0.4563
      train: epoch 2 loss 1.855975  MAE  0.0713  rmse  0.1079  df(ActivateDay.Avg) 0.0250
               valid loss 0.600071  MAE  0.0693  rmse  0.1056  df(ActivateDay.Avg) 0.0269
                test loss 0.686999  MAE  0.1359  rmse  0.1891  df(ActivateDay.Avg) 0.5220
      train: epoch 3 loss 1.852724  MAE  0.0708  rmse  0.1081  df(ActivateDay.Avg) 0.0374
               valid loss 0.603158  MAE  0.0677  rmse  0.1058  df(ActivateDay.Avg) 0.0446
      train: epoch 4 loss 1.849956  MAE  0.0710  rmse  0.1077  df(ActivateDay.Avg) 0.0269
               valid loss 0.598420  MAE  0.0663  rmse  0.1063  df(ActivateDay.Avg) 0.1674
      train: epoch 5 loss 1.846649  MAE  0.0708  rmse  0.1075  df(ActivateDay.Avg) 0.0274
               valid loss 0.598089  MAE  0.0694  rmse  0.1056  df(ActivateDay.Avg) 0.0339
      train: epoch 6 loss 1.845166  MAE  0.0707  rmse  0.1074  df(ActivateDay.Avg) 0.0270
               valid loss 0.601210  MAE  0.0719  rmse  0.1058  df(ActivateDay.Avg) 0.1344
      train: epoch 7 loss 1.842211  MAE  0.0704  rmse  0.1071  df(ActivateDay.Avg) 0.0270
               valid loss 0.597376  MAE  0.0658  rmse  0.1054  df(ActivateDay.Avg) 0.1226
                test loss 0.702615  MAE  0.1354  rmse  0.1881  df(ActivateDay.Avg) 0.5153
      train: epoch 8 loss 1.842000  MAE  0.0705  rmse  0.1070  df(ActivateDay.Avg) 0.0252
               valid loss 0.596624  MAE  0.0720  rmse  0.1055  df(ActivateDay.Avg) 0.0713
      train: epoch 9 loss 1.839044  MAE  0.0703  rmse  0.1069  df(ActivateDay.Avg) 0.0249
               valid loss 0.597373  MAE  0.0659  rmse  0.1068  df(ActivateDay.Avg) 0.1399
     train: epoch 10 loss 1.836708  MAE  0.0704  rmse  0.1066  df(ActivateDay.Avg) 0.0197
               valid loss 0.596916  MAE  0.0666  rmse  0.1060  df(ActivateDay.Avg) 0.1409
     train: epoch 11 loss 1.838797  MAE  0.0703  rmse  0.1071  df(ActivateDay.Avg) 0.0281
               valid loss 0.597695  MAE  0.0716  rmse  0.1055  df(ActivateDay.Avg) 0.0448
     train: epoch 12 loss 1.838059  MAE  0.0702  rmse  0.1069  df(ActivateDay.Avg) 0.0293
               valid loss 0.595875  MAE  0.0660  rmse  0.1056  df(ActivateDay.Avg) 0.0816
     train: epoch 13 loss 1.836129  MAE  0.0700  rmse  0.1066  df(ActivateDay.Avg) 0.0278
               valid loss 0.596784  MAE  0.0654  rmse  0.1065  df(ActivateDay.Avg) 0.1463
     train: epoch 14 loss 1.834039  MAE  0.0699  rmse  0.1063  df(ActivateDay.Avg) 0.0213
               valid loss 0.595962  MAE  0.0728  rmse  0.1058  df(ActivateDay.Avg) 0.1488
     train: epoch 15 loss 1.834117  MAE  0.0697  rmse  0.1063  df(ActivateDay.Avg) 0.0295
               valid loss 0.603406  MAE  0.0780  rmse  0.1082  df(ActivateDay.Avg) 0.2962
     train: epoch 16 loss 1.832887  MAE  0.0699  rmse  0.1063  df(ActivateDay.Avg) 0.0237
               valid loss 0.600506  MAE  0.0794  rmse  0.1088  df(ActivateDay.Avg) 0.3208
     train: epoch 17 loss 1.833561  MAE  0.0699  rmse  0.1065  df(ActivateDay.Avg) 0.0237
               valid loss 0.596762  MAE  0.0736  rmse  0.1069  df(ActivateDay.Avg) 0.1674
     train: epoch 18 loss 1.833020  MAE  0.0698  rmse  0.1063  df(ActivateDay.Avg) 0.0247
               valid loss 0.597261  MAE  0.0761  rmse  0.1072  df(ActivateDay.Avg) 0.2270
     train: epoch 19 loss 1.832287  MAE  0.0697  rmse  0.1060  df(ActivateDay.Avg) 0.0220
               valid loss 0.594941  MAE  0.0692  rmse  0.1052  df(ActivateDay.Avg) 0.0026
                test loss 0.675699  MAE  0.1255  rmse  0.1755  df(ActivateDay.Avg) 0.4039
     train: epoch 20 loss 1.830880  MAE  0.0697  rmse  0.1059  df(ActivateDay.Avg) 0.0204
               valid loss 0.595676  MAE  0.0671  rmse  0.1058  df(ActivateDay.Avg) 0.1194
     train: epoch 21 loss 1.830176  MAE  0.0694  rmse  0.1059  df(ActivateDay.Avg) 0.0253
               valid loss 0.597113  MAE  0.0741  rmse  0.1068  df(ActivateDay.Avg) 0.0815
     train: epoch 22 loss 1.830390  MAE  0.0697  rmse  0.1060  df(ActivateDay.Avg) 0.0233
               valid loss 0.595380  MAE  0.0705  rmse  0.1056  df(ActivateDay.Avg) 0.0721
     train: epoch 23 loss 1.830127  MAE  0.0696  rmse  0.1058  df(ActivateDay.Avg) 0.0228
               valid loss 0.596705  MAE  0.0729  rmse  0.1067  df(ActivateDay.Avg) 0.1302
     train: epoch 24 loss 1.830815  MAE  0.0694  rmse  0.1060  df(ActivateDay.Avg) 0.0294
               valid loss 0.596122  MAE  0.0656  rmse  0.1065  df(ActivateDay.Avg) 0.1728
     train: epoch 25 loss 1.831361  MAE  0.0695  rmse  0.1061  df(ActivateDay.Avg) 0.0289
               valid loss 0.597354  MAE  0.0656  rmse  0.1077  df(ActivateDay.Avg) 0.2236
     train: epoch 26 loss 1.830921  MAE  0.0697  rmse  0.1059  df(ActivateDay.Avg) 0.0227
               valid loss 0.598982  MAE  0.0698  rmse  0.1054  df(ActivateDay.Avg) 0.0225
     train: epoch 27 loss 1.830262  MAE  0.0696  rmse  0.1060  df(ActivateDay.Avg) 0.0240
               valid loss 0.597335  MAE  0.0661  rmse  0.1068  df(ActivateDay.Avg) 0.1510
     train: epoch 28 loss 1.829083  MAE  0.0694  rmse  0.1057  df(ActivateDay.Avg) 0.0239
               valid loss 0.598615  MAE  0.0681  rmse  0.1059  df(ActivateDay.Avg) 0.0322
     train: epoch 29 loss 1.828058  MAE  0.0694  rmse  0.1057  df(ActivateDay.Avg) 0.0211
               valid loss 0.598032  MAE  0.0691  rmse  0.1055  df(ActivateDay.Avg) 0.0099
     train: epoch 30 loss 1.829529  MAE  0.0694  rmse  0.1059  df(ActivateDay.Avg) 0.0272
               valid loss 0.595457  MAE  0.0695  rmse  0.1056  df(ActivateDay.Avg) 0.0239
