{'model_name': 'FLTADP', 'week_embedding_size': 30, 'week_num': 7, 'time_interval_embedding_size': 30, 'u_embedding_size': 64, 'embedding_size': 64, 'hidden_size': 20, 'num_attention_head': 1, 'batch_norm_decay': 0.095, 'dimension_1': 60, 'deep_layers': [100, 50], 'context_size': 32, 'dropout_p': 0.1, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'imbalance_stratage': {'label_smooth_kernel': 'gaussian', 'label_smooth_size': 3, 'label_smooth_sigma': 2, 'feature_smooth_kernel': 'gaussian', 'feature_smooth_size': 15, 'feature_smooth_sigma': 5}, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 1, 'bce_weight': 1.0, 'fine_grained': 1, 'device': device(type='cuda', index=1), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
      train: epoch 0 loss 2.133243  MAE  0.0769  rmse  0.1244  df(ActivateDay.Avg) 0.1561
               valid loss 0.615740  MAE  0.0722  rmse  0.1067  df(ActivateDay.Avg) 0.0438
                test loss 0.704210  MAE  0.1382  rmse  0.1915  df(ActivateDay.Avg) 0.5281
      train: epoch 1 loss 1.850316  MAE  0.0712  rmse  0.1082  df(ActivateDay.Avg) 0.0240
               valid loss 0.615065  MAE  0.0717  rmse  0.1063  df(ActivateDay.Avg) 0.0659
                test loss 0.721500  MAE  0.1318  rmse  0.1834  df(ActivateDay.Avg) 0.4688
      train: epoch 2 loss 1.840188  MAE  0.0708  rmse  0.1074  df(ActivateDay.Avg) 0.0182
               valid loss 0.615683  MAE  0.0652  rmse  0.1091  df(ActivateDay.Avg) 0.3053
      train: epoch 3 loss 1.837828  MAE  0.0707  rmse  0.1075  df(ActivateDay.Avg) 0.0228
               valid loss 0.609303  MAE  0.0696  rmse  0.1058  df(ActivateDay.Avg) 0.0145
                test loss 0.683659  MAE  0.1322  rmse  0.1839  df(ActivateDay.Avg) 0.4770
      train: epoch 4 loss 1.834047  MAE  0.0704  rmse  0.1068  df(ActivateDay.Avg) 0.0166
               valid loss 0.609142  MAE  0.0705  rmse  0.1058  df(ActivateDay.Avg) 0.0172
                test loss 0.693811  MAE  0.1303  rmse  0.1820  df(ActivateDay.Avg) 0.4583
      train: epoch 5 loss 1.836904  MAE  0.0705  rmse  0.1074  df(ActivateDay.Avg) 0.0256
