{'model_name': 'FLTADP', 'week_embedding_size': 30, 'week_num': 7, 'time_interval_embedding_size': 30, 'u_embedding_size': 64, 'embedding_size': 64, 'hidden_size': 20, 'num_attention_head': 1, 'batch_norm_decay': 0.095, 'dimension_1': 60, 'deep_layers': [100, 50], 'context_size': 32, 'dropout_p': 0.1, 'multi_task_enable': 1, 'imbalance_stratage_enable': 0, 'imbalance_stratage': {'label_smooth_kernel': 'gaussian', 'label_smooth_size': 3, 'label_smooth_sigma': 2, 'feature_smooth_kernel': 'gaussian', 'feature_smooth_size': 15, 'feature_smooth_sigma': 5}, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 2, 'bce_weight': 1.0, 'fine_grained': 1, 'device': device(type='cuda', index=2), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23230,  6089,  3359,  2442,  1971,  1626,  1357,  1037,   829,
         629,   498,   367,   272,   209,   122,    98,    78,    61,
          35,    28,    20,    16,    10,    13])}
      train: epoch 0 loss 2.155349  MAE  0.0788  rmse  0.1298  df(ActivateDay.Avg) 0.2299
               valid loss 0.620376  MAE  0.0663  rmse  0.1102  df(ActivateDay.Avg) 0.2936
                test loss 0.732260  MAE  0.1540  rmse  0.2100  df(ActivateDay.Avg) 0.6675
      train: epoch 1 loss 1.851719  MAE  0.0711  rmse  0.1082  df(ActivateDay.Avg) 0.0303
               valid loss 0.613448  MAE  0.0718  rmse  0.1073  df(ActivateDay.Avg) 0.0884
                test loss 0.702147  MAE  0.1341  rmse  0.1861  df(ActivateDay.Avg) 0.4862
      train: epoch 2 loss 1.843379  MAE  0.0709  rmse  0.1077  df(ActivateDay.Avg) 0.0249
               valid loss 0.611533  MAE  0.0693  rmse  0.1063  df(ActivateDay.Avg) 0.0491
                test loss 0.692751  MAE  0.1366  rmse  0.1899  df(ActivateDay.Avg) 0.5264
      train: epoch 3 loss 1.839507  MAE  0.0707  rmse  0.1074  df(ActivateDay.Avg) 0.0232
               valid loss 0.613383  MAE  0.0722  rmse  0.1072  df(ActivateDay.Avg) 0.1016
      train: epoch 4 loss 1.835031  MAE  0.0703  rmse  0.1069  df(ActivateDay.Avg) 0.0244
               valid loss 0.615857  MAE  0.0665  rmse  0.1071  df(ActivateDay.Avg) 0.1321
      train: epoch 5 loss 1.834643  MAE  0.0701  rmse  0.1070  df(ActivateDay.Avg) 0.0287
               valid loss 0.612166  MAE  0.0707  rmse  0.1062  df(ActivateDay.Avg) 0.0056
                test loss 0.701727  MAE  0.1324  rmse  0.1845  df(ActivateDay.Avg) 0.4866
      train: epoch 6 loss 1.831757  MAE  0.0700  rmse  0.1067  df(ActivateDay.Avg) 0.0239
               valid loss 0.613683  MAE  0.0650  rmse  0.1090  df(ActivateDay.Avg) 0.2926
      train: epoch 7 loss 1.829700  MAE  0.0699  rmse  0.1065  df(ActivateDay.Avg) 0.0242
               valid loss 0.610118  MAE  0.0693  rmse  0.1072  df(ActivateDay.Avg) 0.1028
      train: epoch 8 loss 1.830715  MAE  0.0701  rmse  0.1067  df(ActivateDay.Avg) 0.0215
               valid loss 0.609414  MAE  0.0696  rmse  0.1062  df(ActivateDay.Avg) 0.0162
      train: epoch 9 loss 1.829594  MAE  0.0701  rmse  0.1066  df(ActivateDay.Avg) 0.0198
               valid loss 0.610504  MAE  0.0674  rmse  0.1066  df(ActivateDay.Avg) 0.1059
     train: epoch 10 loss 1.827535  MAE  0.0698  rmse  0.1064  df(ActivateDay.Avg) 0.0236
               valid loss 0.608284  MAE  0.0698  rmse  0.1061  df(ActivateDay.Avg) 0.0079
                test loss 0.672300  MAE  0.1288  rmse  0.1798  df(ActivateDay.Avg) 0.4463
     train: epoch 11 loss 1.826098  MAE  0.0699  rmse  0.1061  df(ActivateDay.Avg) 0.0176
               valid loss 0.608953  MAE  0.0676  rmse  0.1064  df(ActivateDay.Avg) 0.0926
     train: epoch 12 loss 1.824134  MAE  0.0696  rmse  0.1059  df(ActivateDay.Avg) 0.0205
               valid loss 0.608941  MAE  0.0690  rmse  0.1063  df(ActivateDay.Avg) 0.0363
     train: epoch 13 loss 1.824467  MAE  0.0696  rmse  0.1059  df(ActivateDay.Avg) 0.0198
               valid loss 0.608992  MAE  0.0684  rmse  0.1063  df(ActivateDay.Avg) 0.0764
     train: epoch 14 loss 1.824336  MAE  0.0697  rmse  0.1059  df(ActivateDay.Avg) 0.0209
               valid loss 0.609686  MAE  0.0665  rmse  0.1075  df(ActivateDay.Avg) 0.1696
     train: epoch 15 loss 1.822202  MAE  0.0693  rmse  0.1057  df(ActivateDay.Avg) 0.0196
               valid loss 0.611210  MAE  0.0658  rmse  0.1089  df(ActivateDay.Avg) 0.2521
     train: epoch 16 loss 1.822077  MAE  0.0693  rmse  0.1057  df(ActivateDay.Avg) 0.0213
